run_name,case,num_observation,noise_std,seed,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
wave_equation_coarse_v2_wave_obs128_noise000_seed42,wave_equation,128,0.0,42,0.2160937637090683,0.6727130682224437,0.08695172518491745,0.13615836203098297,0.04021179676055908,0.0016340864597526358,0.04170122529795531
wave_equation_coarse_v2_wave_obs128_noise050_seed42,wave_equation,128,0.05,42,0.21536672115325928,0.6737206245977225,0.08569810539484024,0.1366572231054306,0.039789557456970215,0.0016241603283350563,0.04258357082315555
wave_equation_coarse_v2_wave_obs128_noise100_seed42,wave_equation,128,0.1,42,0.21484000980854034,0.674764327044655,0.08391159027814865,0.13716427981853485,0.03943371772766113,0.0016128002324385753,0.045112993349515865
wave_equation_coarse_v2_wave_obs128_noise150_seed42,wave_equation,128,0.15,42,0.21451935172080994,0.6751573988591464,0.0829039141535759,0.1377287358045578,0.03893214464187622,0.001580150128649836,0.049272857726553716
wave_equation_coarse_v2_wave_obs128_noise200_seed42,wave_equation,128,0.2,42,0.21436895430088043,0.6759331399775393,0.08056043833494186,0.13829559087753296,0.038689494132995605,0.0015654847989537229,0.05499173798739261
wave_equation_coarse_v2_wave_obs16_noise000_seed42,wave_equation,16,0.0,42,0.24151146411895752,0.6554186484485544,0.07859409600496292,0.13136668503284454,0.051128387451171875,0.001991065880825358,0.02843293993965756
wave_equation_coarse_v2_wave_obs16_noise050_seed42,wave_equation,16,0.05,42,0.24792294204235077,0.6562754825973215,0.07340971380472183,0.12970000505447388,0.05345660448074341,0.0010821403704907434,0.027009269263089296
wave_equation_coarse_v2_wave_obs16_noise100_seed42,wave_equation,16,0.1,42,0.25248417258262634,0.6542896372300431,0.07205450534820557,0.1283494085073471,0.054550111293792725,0.0011345667001943288,0.026617585694524788
wave_equation_coarse_v2_wave_obs16_noise150_seed42,wave_equation,16,0.15,42,0.25920572876930237,0.6501111279090294,0.06918789446353912,0.12818636000156403,0.05623847246170044,0.0010540719909288517,0.027313854848449375
wave_equation_coarse_v2_wave_obs16_noise200_seed42,wave_equation,16,0.2,42,0.26686450839042664,0.6447650815104113,0.06666819751262665,0.1282280683517456,0.05773794651031494,0.001085830436082213,0.028953437945412688
wave_equation_coarse_v2_wave_obs256_noise000_seed42,wave_equation,256,0.0,42,0.21509303152561188,0.6779996352772182,0.08253056555986404,0.13242273032665253,0.03907513618469238,0.002521935825842635,0.04054220550201272
wave_equation_coarse_v2_wave_obs256_noise050_seed42,wave_equation,256,0.05,42,0.21470792591571808,0.6777179514748899,0.0833037868142128,0.13300620019435883,0.03876465559005737,0.0024079960803064147,0.041416651167093865
wave_equation_coarse_v2_wave_obs256_noise100_seed42,wave_equation,256,0.1,42,0.2144903838634491,0.677879173468366,0.08270687609910965,0.13367170095443726,0.03863626718521118,0.0022972695984090283,0.04377508808719427
wave_equation_coarse_v2_wave_obs256_noise150_seed42,wave_equation,256,0.15,42,0.2142840027809143,0.6773618202109633,0.08329606056213379,0.13436034321784973,0.03838217258453369,0.0021743236710858142,0.04758120915088879
wave_equation_coarse_v2_wave_obs256_noise200_seed42,wave_equation,256,0.2,42,0.2141360640525818,0.6767030513802443,0.0839080736041069,0.13507017493247986,0.03812837600708008,0.002056226378487866,0.05277966019296335
wave_equation_coarse_v2_wave_obs32_noise000_seed42,wave_equation,32,0.0,42,0.2319464236497879,0.6586371834165419,0.08884459733963013,0.1321297138929367,0.04247128963470459,0.0022882381565621167,0.036766604381248416
wave_equation_coarse_v2_wave_obs32_noise050_seed42,wave_equation,32,0.05,42,0.23462721705436707,0.6571353650074119,0.08395499736070633,0.13523200154304504,0.044226884841918945,0.001632791229267559,0.037754282229879026
wave_equation_coarse_v2_wave_obs32_noise100_seed42,wave_equation,32,0.1,42,0.23174437880516052,0.6568413998064385,0.08381754904985428,0.1376650631427765,0.04514807462692261,0.0016346012201893358,0.04008902856631226
wave_equation_coarse_v2_wave_obs32_noise150_seed42,wave_equation,32,0.15,42,0.22736003994941711,0.6597145117258979,0.08483128249645233,0.13896089792251587,0.0454787015914917,0.0012528222679285763,0.04377820251883537
wave_equation_coarse_v2_wave_obs32_noise200_seed42,wave_equation,32,0.2,42,0.22895656526088715,0.6575072601552401,0.08210178464651108,0.14110067486763,0.04681897163391113,0.0009893916564509054,0.048906668696130716
wave_equation_coarse_v2_wave_obs64_noise000_seed42,wave_equation,64,0.0,42,0.23020249605178833,0.6506012897449274,0.09355498850345612,0.14163240790367126,0.038360655307769775,0.0015833353063308135,0.03720383024895232
wave_equation_coarse_v2_wave_obs64_noise050_seed42,wave_equation,64,0.05,42,0.2295846939086914,0.6489582909038363,0.09753911197185516,0.14181828498840332,0.03901606798171997,0.0013692869609972503,0.03762138596351756
wave_equation_coarse_v2_wave_obs64_noise100_seed42,wave_equation,64,0.1,42,0.22839275002479553,0.6513772014773767,0.09414966404438019,0.142364040017128,0.04033637046813965,0.0012787859111460203,0.03925164794220751
wave_equation_coarse_v2_wave_obs64_noise150_seed42,wave_equation,64,0.15,42,0.22786229848861694,0.6508204637854398,0.09490036964416504,0.14275287091732025,0.04122269153594971,0.0012452839812268194,0.04207896878972947
wave_equation_coarse_v2_wave_obs64_noise200_seed42,wave_equation,64,0.2,42,0.22742632031440735,0.6506677729164075,0.09451169520616531,0.14327208697795868,0.042269110679626465,0.0012037600216757082,0.046051014760257754
wave_equation_coarse_v2_wave_obs8_noise000_seed42,wave_equation,8,0.0,42,0.2948891222476959,0.6406528931921334,0.07234666496515274,0.11601366847753525,0.04403948783874512,0.0016406028035077873,0.032162628396017266
wave_equation_coarse_v2_wave_obs8_noise050_seed42,wave_equation,8,0.05,42,0.3054891526699066,0.6382351712528455,0.07110762596130371,0.11340780556201935,0.04284334182739258,0.001877784885413117,0.03167166399274358
wave_equation_coarse_v2_wave_obs8_noise100_seed42,wave_equation,8,0.1,42,0.3180161416530609,0.637712694256866,0.06620089709758759,0.11095447093248367,0.04167628288269043,0.002003624494574789,0.03166030241982957
wave_equation_coarse_v2_wave_obs8_noise150_seed42,wave_equation,8,0.15,42,0.33321186900138855,0.6373680535296385,0.06042212247848511,0.10881657153367996,0.0407412052154541,0.001929769815124468,0.03229505282386689
wave_equation_coarse_v2_wave_obs8_noise200_seed42,wave_equation,8,0.2,42,0.3500092327594757,0.634972462462833,0.05851547792553902,0.10704862326383591,0.03949016332626343,0.0019072131285413384,0.0335773300987487
