epoch,loss_total,loss_data,loss_physics,loss_boundary
1.0,155.79263305664062,0.8587579131126404,144.62518310546875,0.25798702239990234
2.0,153.18914794921875,0.7149177193641663,144.09706115722656,0.19429126381874084
3.0,150.97996520996094,0.5920838713645935,143.5830841064453,0.14760392904281616
4.0,149.11961364746094,0.4882676303386688,143.07798767089844,0.11589466780424118
5.0,147.5547637939453,0.4009944796562195,142.57350158691406,0.09713134914636612
6.0,146.242919921875,0.32798081636428833,142.06597900390625,0.08971260488033295
7.0,145.1571807861328,0.2677271068096161,141.55532836914062,0.09245810657739639
8.0,144.28036499023438,0.21938283741474152,141.04434204101562,0.10421966016292572
9.0,143.59800720214844,0.18235228955745697,140.5400848388672,0.12344115972518921
10.0,143.09259033203125,0.15586991608142853,140.055419921875,0.14784640073776245
11.0,142.7415771484375,0.1387084424495697,139.6101531982422,0.17443330585956573
12.0,142.51951599121094,0.12917070090770721,139.22933959960938,0.19984814524650574
13.0,142.4017791748047,0.1253492832183838,138.93812561035156,0.22101639211177826
14.0,142.36563110351562,0.12547045946121216,138.75306701660156,0.23578721284866333
15.0,142.38665771484375,0.12810184061527252,138.6718292236328,0.2433805763721466
16.0,142.4318389892578,0.1321256458759308,138.66595458984375,0.24446293711662292
17.0,142.45852661132812,0.13660308718681335,138.68557739257812,0.24069198966026306
18.0,142.42578125,0.14073094725608826,138.67884826660156,0.23396342992782593
19.0,142.3105010986328,0.1439303308725357,138.61276245117188,0.22584395110607147
20.0,142.1150360107422,0.1459415853023529,138.4818115234375,0.21738110482692719
21.0,141.8626251220703,0.14682182669639587,138.30270385742188,0.20916979014873505
22.0,141.58621215820312,0.14685380458831787,138.102783203125,0.2014886438846588
23.0,141.31739807128906,0.14642859995365143,137.9090118408203,0.19441020488739014
24.0,141.07876586914062,0.14594602584838867,137.74053955078125,0.1878773272037506
25.0,140.88088989257812,0.1457476168870926,137.60577392578125,0.18176481127738953
26.0,140.7225341796875,0.14607781171798706,137.5023651123047,0.17593850195407867
27.0,140.59381103515625,0.14706510305404663,137.42005920410156,0.17031002044677734
28.0,140.4801483154297,0.14871610701084137,137.34422302246094,0.1648755520582199
29.0,140.36630249023438,0.1509213149547577,137.2598114013672,0.15972787141799927
30.0,140.23936462402344,0.15347294509410858,137.1542205810547,0.1550411432981491
31.0,140.09043884277344,0.15609195828437805,137.01910400390625,0.15104222297668457
32.0,139.91513061523438,0.1584617644548416,136.85069274902344,0.14798277616500854
33.0,139.71315002441406,0.1602647751569748,136.64930725097656,0.14611944556236267
34.0,139.48744201660156,0.16122235357761383,136.41822814941406,0.1456989347934723
35.0,139.24302673339844,0.16113680601119995,136.16224670410156,0.1469402015209198
36.0,138.9855499267578,0.15993136167526245,135.88616943359375,0.15000537037849426
37.0,138.72006225585938,0.15767782926559448,135.59373474121094,0.1549539417028427
38.0,138.44970703125,0.15460067987442017,135.28689575195312,0.16168087720870972
39.0,138.17498779296875,0.1510464996099472,134.96603393554688,0.16984838247299194
40.0,137.89329528808594,0.14742089807987213,134.63072204589844,0.17883573472499847
41.0,137.59921264648438,0.1441078931093216,134.28067016601562,0.18774500489234924
42.0,137.28575134277344,0.1414024382829666,133.91677856445312,0.19549429416656494
43.0,136.9459991455078,0.1394871473312378,133.5411376953125,0.20100006461143494
44.0,136.57508850097656,0.13845965266227722,133.1564483642578,0.2034049779176712
45.0,136.17152404785156,0.13838417828083038,132.76483154296875,0.2022859752178192
46.0,135.73751831054688,0.13932253420352936,132.36651611328125,0.19777792692184448
47.0,135.27784729003906,0.1413106918334961,131.95901489257812,0.19057321548461914
48.0,134.79776000976562,0.1442769318819046,131.5370330810547,0.1817966103553772
49.0,134.2999725341797,0.14793860912322998,131.09268188476562,0.17279022932052612
50.0,133.7828369140625,0.1517491638660431,130.61668395996094,0.16486692428588867
51.0,133.24050903320312,0.1549716293811798,130.099853515625,0.15909448266029358
52.0,132.6655731201172,0.15690064430236816,129.5349578857422,0.15616130828857422
53.0,132.05335998535156,0.15714961290359497,128.9185028076172,0.1563348025083542
54.0,131.40480041503906,0.1558394581079483,128.25172424316406,0.1594681292772293
55.0,130.7266082763672,0.1535692662000656,127.54096984863281,0.16499480605125427
56.0,130.0277862548828,0.151175856590271,126.79685974121094,0.1719159483909607
57.0,129.31541442871094,0.14941038191318512,126.03256225585938,0.17887523770332336
58.0,128.59243774414062,0.14870232343673706,125.26119995117188,0.18442127108573914
59.0,127.85841369628906,0.14912262558937073,124.49300384521484,0.18741820752620697
60.0,127.11343383789062,0.15052279829978943,123.73417663574219,0.18740300834178925
61.0,126.36234283447266,0.15271838009357452,122.98820495605469,0.18469515442848206
62.0,125.61540222167969,0.1555846929550171,122.25717163085938,0.18023841083049774
63.0,124.88391876220703,0.15900877118110657,121.54084777832031,0.17529866099357605
64.0,124.17350006103516,0.1627352386713028,120.83462524414062,0.1711522340774536
65.0,123.48230743408203,0.16624321043491364,120.1314926147461,0.16883815824985504
66.0,122.80664825439453,0.16883599758148193,119.42842102050781,0.16898663341999054
67.0,122.14710998535156,0.16999980807304382,118.73030090332031,0.1716815084218979
68.0,121.50773620605469,0.16980744898319244,118.04662322998047,0.17630387842655182
69.0,120.88964080810547,0.16899645328521729,117.38522338867188,0.18144556879997253
70.0,120.2865982055664,0.16860038042068481,116.74846649169922,0.18521305918693542
71.0,119.68815612792969,0.1694454550743103,116.13239288330078,0.18613062798976898
72.0,119.0866928100586,0.17180977761745453,115.52742004394531,0.18411678075790405
73.0,118.47871398925781,0.17518028616905212,114.92105865478516,0.18058578670024872
74.0,117.85791015625,0.17822298407554626,114.30057525634766,0.17751099169254303
75.0,117.2119140625,0.1794643998146057,113.65431213378906,0.17629508674144745
76.0,116.5283203125,0.17841438949108124,112.97151947021484,0.1772657334804535
77.0,115.80003356933594,0.17587555944919586,112.24347686767578,0.1797797828912735
78.0,115.02186584472656,0.1731242835521698,111.46488189697266,0.18257415294647217
79.0,114.18585205078125,0.17100945115089417,110.63252258300781,0.1843232810497284
80.0,113.28253936767578,0.16974788904190063,109.74217987060547,0.18428806960582733
81.0,112.3067398071289,0.16918441653251648,108.78845977783203,0.18264372646808624
82.0,111.25762939453125,0.16893650591373444,107.7655029296875,0.18027642369270325
83.0,110.13352966308594,0.16832159459590912,106.6675796508789,0.1782740354537964
84.0,108.93072509765625,0.16648998856544495,105.49146270751953,0.1774362027645111
85.0,107.64616394042969,0.16300547122955322,104.23651123046875,0.17795909941196442
86.0,106.27819061279297,0.1583770364522934,102.90122985839844,0.17931914329528809
87.0,104.82585906982422,0.15381859242916107,101.48332214355469,0.1804354339838028
88.0,103.28882598876953,0.1503482460975647,99.9825439453125,0.1802803874015808
89.0,101.66999053955078,0.1481344848871231,98.40210723876953,0.17865397036075592
90.0,99.97508239746094,0.14660859107971191,96.74606323242188,0.1762930005788803
91.0,98.20903015136719,0.14508342742919922,95.01618957519531,0.1742006093263626
92.0,96.37496185302734,0.14321795105934143,93.21250915527344,0.1730269491672516
93.0,94.47645568847656,0.140972301363945,91.33712768554688,0.17296035587787628
94.0,92.51917266845703,0.13853001594543457,89.39595794677734,0.17379175126552582
95.0,90.50784301757812,0.13643191754817963,87.3948974609375,0.1748625487089157
96.0,88.44377136230469,0.13531354069709778,85.33810424804688,0.1752532571554184
97.0,86.32649993896484,0.13527946174144745,83.22846984863281,0.17452307045459747
98.0,84.15934753417969,0.1358484923839569,81.06990814208984,0.1730954796075821
99.0,81.95034790039062,0.13645508885383606,78.86961364746094,0.17161843180656433
100.0,79.70875549316406,0.13666388392448425,76.63681030273438,0.1705307960510254
101.0,77.4440689086914,0.13621143996715546,74.38135528564453,0.17006012797355652
102.0,75.16814422607422,0.1352633535861969,72.11782836914062,0.16976851224899292
103.0,72.89320373535156,0.13414520025253296,69.86460876464844,0.16871412098407745
104.0,70.62440490722656,0.1329476535320282,67.6305923461914,0.16643372178077698
105.0,68.35982513427734,0.13160745799541473,65.41577911376953,0.1627969592809677
106.0,66.09532165527344,0.13000626862049103,63.21007537841797,0.15851852297782898
107.0,63.82455825805664,0.12812930345535278,60.999568939208984,0.15436965227127075
108.0,61.54144287109375,0.12610892951488495,58.77117919921875,0.1509174406528473
109.0,59.24868392944336,0.12412935495376587,56.524330139160156,0.14830592274665833
110.0,56.95652770996094,0.12255530059337616,54.26572799682617,0.14652474224567413
111.0,54.70262145996094,0.12124381959438324,52.035789489746094,0.14543968439102173
112.0,52.864017486572266,0.12190070748329163,50.19660186767578,0.14484107494354248
113.0,52.300254821777344,0.11844556778669357,49.595008850097656,0.15207895636558533
114.0,49.44942092895508,0.1285097897052765,46.816322326660156,0.13479991257190704
115.0,47.8236198425293,0.12739290297031403,45.188743591308594,0.13609467446804047
116.0,46.1683349609375,0.11768384277820587,43.47220993041992,0.15192876756191254
117.0,44.1392822265625,0.11833478510379791,41.45230484008789,0.1503627747297287
118.0,43.08711624145508,0.1256791651248932,40.43397903442383,0.13963474333286285
119.0,41.029666900634766,0.1248544454574585,38.37313461303711,0.14079907536506653
120.0,40.215187072753906,0.12008237838745117,37.51588821411133,0.14984756708145142
121.0,38.058719635009766,0.12429092824459076,35.39030456542969,0.1425504833459854
122.0,37.45647430419922,0.13063974678516388,34.798377990722656,0.13517017662525177
123.0,35.44572067260742,0.12721483409404755,32.78373718261719,0.13898371160030365
124.0,34.97440719604492,0.1235208734869957,32.272396087646484,0.14668022096157074
125.0,33.10258483886719,0.1285117119550705,30.43955421447754,0.13779163360595703
126.0,32.51231384277344,0.1319270133972168,29.850521087646484,0.13425208628177643
127.0,31.03443145751953,0.12748779356479645,28.35409927368164,0.14054542779922485
128.0,30.233131408691406,0.12694624066352844,27.54156494140625,0.14221036434173584
129.0,29.30025291442871,0.13204585015773773,26.6258487701416,0.1353944092988968
130.0,28.14049530029297,0.13084881007671356,25.461135864257812,0.13708701729774475
131.0,27.66995620727539,0.1274690330028534,24.96015167236328,0.1435113102197647
132.0,26.409931182861328,0.1315130889415741,23.72779083251953,0.1367010772228241
133.0,25.881601333618164,0.13405649363994598,23.206832885742188,0.13342033326625824
134.0,25.064937591552734,0.1308785378932953,22.373950958251953,0.13822011649608612
135.0,24.16024398803711,0.13229668140411377,21.484737396240234,0.1352539360523224
136.0,23.728641510009766,0.13462987542152405,21.072284698486328,0.13100595772266388
137.0,22.84255599975586,0.1307620257139206,20.18198013305664,0.13529543578624725
138.0,22.216880798339844,0.12979350984096527,19.56568145751953,0.13532647490501404
139.0,21.750633239746094,0.13193215429782867,19.127424240112305,0.13038881123065948
