case,n_rows,selection_rule,n_high_risk,low_reliability_rule,n_low_reliability,pc1_explained,pc1_pc2_explained,balanced_accuracy_rel_l2_only,balanced_accuracy_4d,balanced_accuracy_gain_4d_minus_1d,balanced_accuracy_low_R_rel_l2_only,balanced_accuracy_low_R_4d,balanced_accuracy_low_R_gain_4d_minus_1d,r2_physics_vs_rel_l2,r2_training_vs_rel_l2,r2_numerical_vs_rel_l2,r2_structural_vs_rel_l2,r2_R_vs_rel_l2
poisson,30,top_quartile_rel_l2,8,bottom_25pct_R,8,0.5638858032004472,0.8640677543809399,1.0,0.8920454545454546,-0.10795454545454541,0.7613636363636364,0.8920454545454546,0.13068181818181823,0.14559132187246704,0.0012160891161048237,0.9501159333887468,0.4266044580459273,0.37701650631831707
burgers,80,threshold_rel_l2,59,bottom_25pct_R,20,0.7137559779642674,0.9544107925684593,0.8898305084745763,0.7659402744148507,-0.12389023405972566,0.9166666666666667,0.925,0.008333333333333304,0.8448770003097095,0.05737486920930568,0.9584467463978601,0.7810845202270154,0.877437068137184
stokes_poiseuille,56,threshold_rel_l2,8,bottom_25pct_R,14,0.6339800017224749,0.8758905841696828,0.9895833333333333,0.8958333333333333,-0.09375,0.8571428571428572,0.9166666666666667,0.059523809523809534,0.8819633397862023,0.2584970670903973,0.9656234602467648,0.059439272760874906,0.7827818774362
fisher_kpp,30,threshold_rel_l2,13,bottom_25pct_R,8,0.9086628476518558,0.9866603794009781,0.7692307692307692,0.7692307692307692,0.0,0.8522727272727273,0.875,0.022727272727272707,0.9536647110989547,0.5002325596120543,0.9669340825301382,0.8248619014226132,0.8805386098625019
