,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,rel_l2,reliability_raw_recal
physics_consistency_recal,1.0,0.6019822282980177,0.9564593301435407,0.4876364942013104,-0.9564593301435407,0.9151742993848258
training_stability_recal,0.6019822282980177,1.0,0.5334244702665756,0.3676071020205561,-0.5334244702665756,0.7971975393028025
numerical_accuracy_recal,0.9564593301435407,0.5334244702665756,1.0,0.37902219797396497,-1.0,0.868215994531784
structural_stability_recal,0.4876364942013104,0.3676071020205561,0.37902219797396497,1.0,-0.37902219797396497,0.6049659085966775
rel_l2,-0.9564593301435407,-0.5334244702665756,-1.0,-0.37902219797396497,1.0,-0.868215994531784
reliability_raw_recal,0.9151742993848258,0.7971975393028025,0.868215994531784,0.6049659085966775,-0.868215994531784,1.0
