matrix_name,case,num_observation,noise_std,seed,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
coarse_v2_kdv_soliton,kdv_soliton,256,0.0,42,1.0,kdv_soliton_coarse_v2_kdv_soliton_obs256_noise000_seed42,0.02528819814324379,0.9432577558428019,0.027305783703923225,0.003941770177334547,0.00019562244415283203,2.2475939946618875e-05,0.0005568032855695545
coarse_v2_kdv_soliton,kdv_soliton,128,0.0,42,0.5,kdv_soliton_coarse_v2_kdv_soliton_obs128_noise000_seed42,0.04118228703737259,0.9359239528731031,0.03197885677218437,0.00948893092572689,0.0007795095443725586,0.0002210562441712817,0.0008722627790455822
coarse_v2_kdv_soliton,kdv_soliton,64,0.0,42,0.25,kdv_soliton_coarse_v2_kdv_soliton_obs64_noise000_seed42,0.06682088971138,0.918080089742967,0.03020278923213482,0.01383464690297842,0.000644683837890625,0.003370336491145035,0.0006428266965199129
coarse_v2_kdv_soliton,kdv_soliton,32,0.0,42,0.125,kdv_soliton_coarse_v2_kdv_soliton_obs32_noise000_seed42,0.054323237389326096,0.9340021465046298,0.030675498768687248,0.0035815672017633915,0.0005121231079101562,1.4574888577635896e-05,0.0005869888228225635
coarse_v2_kdv_soliton,kdv_soliton,16,0.0,42,0.0625,kdv_soliton_coarse_v2_kdv_soliton_obs16_noise000_seed42,0.04389282315969467,0.9370588904313896,0.030399424955248833,0.004627165850251913,0.0010603666305541992,2.0892704730024668e-05,0.000574050180970591
coarse_v2_kdv_soliton,kdv_soliton,8,0.0,42,0.03125,kdv_soliton_coarse_v2_kdv_soliton_obs8_noise000_seed42,0.11555774509906769,0.8819831717298715,0.03911132737994194,0.01708650030195713,0.002392411231994629,0.004648621609692358,0.0010063161628157897
coarse_v2_kdv_soliton,kdv_soliton,256,0.05,42,1.0,kdv_soliton_coarse_v2_kdv_soliton_obs256_noise050_seed42,0.02810303494334221,0.9425256660975619,0.02753191813826561,0.003574517322704196,0.0003590583801269531,4.0631397577965915e-05,0.001221983068634268
coarse_v2_kdv_soliton,kdv_soliton,128,0.05,42,0.5,kdv_soliton_coarse_v2_kdv_soliton_obs128_noise050_seed42,0.028606446459889412,0.9412123562218327,0.030757756903767586,0.003835221752524376,0.00030285120010375977,1.69956758379923e-05,0.0013724304483843151
coarse_v2_kdv_soliton,kdv_soliton,64,0.05,42,0.25,kdv_soliton_coarse_v2_kdv_soliton_obs64_noise050_seed42,0.05367375910282135,0.923677838871911,0.029750801622867584,0.004766333382576704,0.0002841353416442871,0.003660874629671095,0.002166100909210062
coarse_v2_kdv_soliton,kdv_soliton,32,0.05,42,0.125,kdv_soliton_coarse_v2_kdv_soliton_obs32_noise050_seed42,0.05622341111302376,0.9329120389047446,0.03154180198907852,0.0040105595253407955,0.0006878376007080078,1.4500442668041073e-05,0.00107926620929677
coarse_v2_kdv_soliton,kdv_soliton,16,0.05,42,0.0625,kdv_soliton_coarse_v2_kdv_soliton_obs16_noise050_seed42,0.05257882550358772,0.9331499150398646,0.03288630396127701,0.005401247646659613,0.0017195940017700195,1.9921807660024067e-05,0.0009734089855838688
coarse_v2_kdv_soliton,kdv_soliton,8,0.05,42,0.03125,kdv_soliton_coarse_v2_kdv_soliton_obs8_noise050_seed42,0.1041427031159401,0.9088134957799641,0.036069128662347794,0.005377836059778929,0.001519918441772461,1.1893303722885209e-05,0.0009041016934240879
coarse_v2_kdv_soliton,kdv_soliton,256,0.1,42,1.0,kdv_soliton_coarse_v2_kdv_soliton_obs256_noise100_seed42,0.030615560710430145,0.94183779294178,0.027732858434319496,0.0034964890219271183,0.00046521425247192383,2.8833019937218834e-05,0.0032247417247645528
coarse_v2_kdv_soliton,kdv_soliton,128,0.1,42,0.5,kdv_soliton_coarse_v2_kdv_soliton_obs128_noise100_seed42,0.030785847455263138,0.9398660576735944,0.03272637352347374,0.0037320409901440144,0.0004572868347167969,1.800050123456037e-05,0.003707525320992214
coarse_v2_kdv_soliton,kdv_soliton,64,0.1,42,0.25,kdv_soliton_coarse_v2_kdv_soliton_obs64_noise100_seed42,0.06066804751753807,0.928285325144455,0.03132357448339462,0.007943753153085709,0.001047670841217041,0.0011436619694905389,0.0031602720528830894
coarse_v2_kdv_soliton,kdv_soliton,32,0.1,42,0.125,kdv_soliton_coarse_v2_kdv_soliton_obs32_noise100_seed42,0.06123530492186546,0.9299608295090038,0.033842720091342926,0.004985711071640253,0.0010419487953186035,1.4759343639688234e-05,0.00256421719217222
coarse_v2_kdv_soliton,kdv_soliton,16,0.1,42,0.0625,kdv_soliton_coarse_v2_kdv_soliton_obs16_noise100_seed42,0.06404197961091995,0.9268158995687594,0.03674599900841713,0.008046005852520466,0.002613544464111328,2.0511992375708542e-05,0.0022457678110414958
coarse_v2_kdv_soliton,kdv_soliton,8,0.1,42,0.03125,kdv_soliton_coarse_v2_kdv_soliton_obs8_noise100_seed42,0.09531011432409286,0.9116853550591933,0.040768902748823166,0.0046573206782341,0.0014588236808776855,1.8984793442222853e-05,0.0018439857889187947
coarse_v2_kdv_soliton,kdv_soliton,256,0.15,42,1.0,kdv_soliton_coarse_v2_kdv_soliton_obs256_noise150_seed42,0.03866425156593323,0.938955205439424,0.02870093658566475,0.004387844819575548,0.0008594393730163574,0.00012946798849160422,0.0065371627183041185
coarse_v2_kdv_soliton,kdv_soliton,128,0.15,42,0.5,kdv_soliton_coarse_v2_kdv_soliton_obs128_noise150_seed42,0.03454773873090744,0.93775584900526,0.03524177521467209,0.003867602441459894,0.0006480216979980469,1.9383582786824906e-05,0.007512601595813856
coarse_v2_kdv_soliton,kdv_soliton,64,0.15,42,0.25,kdv_soliton_coarse_v2_kdv_soliton_obs64_noise150_seed42,0.07030412554740906,0.9244410398109142,0.03544535115361214,0.00888624507933855,0.0011876821517944336,0.00030872908545404243,0.005123024483535532
coarse_v2_kdv_soliton,kdv_soliton,32,0.15,42,0.125,kdv_soliton_coarse_v2_kdv_soliton_obs32_noise150_seed42,0.06805433332920074,0.9256771334132015,0.03695712611079216,0.006264354567974806,0.0015575289726257324,1.5686053780379542e-05,0.004991307046073711
coarse_v2_kdv_soliton,kdv_soliton,16,0.15,42,0.0625,kdv_soliton_coarse_v2_kdv_soliton_obs16_noise150_seed42,0.07801119983196259,0.9177666246823761,0.04184647649526596,0.011433830484747887,0.003789067268371582,2.330227878221334e-05,0.004330700515799313
coarse_v2_kdv_soliton,kdv_soliton,8,0.15,42,0.03125,kdv_soliton_coarse_v2_kdv_soliton_obs8_noise150_seed42,0.11683845520019531,0.8748543573048437,0.05897621065378189,0.023279396817088127,0.004510223865509033,0.003078794265049998,0.006756995899050678
coarse_v2_kdv_soliton,kdv_soliton,256,0.2,42,1.0,kdv_soliton_coarse_v2_kdv_soliton_obs256_noise200_seed42,0.04434933513402939,0.9368806201272488,0.029577530920505524,0.0048120757564902306,0.001156151294708252,9.886507118396142e-05,0.011188601451874867
coarse_v2_kdv_soliton,kdv_soliton,128,0.2,42,0.5,kdv_soliton_coarse_v2_kdv_soliton_obs128_noise200_seed42,0.039654143154621124,0.9346133505446053,0.03878861293196678,0.004246936179697514,0.0008806586265563965,2.092472742206639e-05,0.012752015324745784
coarse_v2_kdv_soliton,kdv_soliton,64,0.2,42,0.25,kdv_soliton_coarse_v2_kdv_soliton_obs64_noise200_seed42,0.07926619797945023,0.9192280875113619,0.038956038653850555,0.009274622425436974,0.0020259618759155273,6.11753576146698e-05,0.008719352100333297
coarse_v2_kdv_soliton,kdv_soliton,32,0.2,42,0.125,kdv_soliton_coarse_v2_kdv_soliton_obs32_noise200_seed42,0.07645164430141449,0.9199234009547104,0.040860578417778015,0.00773029075935483,0.0022412538528442383,1.7500483772355714e-05,0.00832463767242048
coarse_v2_kdv_soliton,kdv_soliton,16,0.2,42,0.0625,kdv_soliton_coarse_v2_kdv_soliton_obs16_noise200_seed42,0.09559892117977142,0.870943291634444,0.048363447189331055,0.019602008163928986,0.004977285861968994,0.0069790029926028885,0.01100350454453868
coarse_v2_kdv_soliton,kdv_soliton,8,0.2,42,0.03125,kdv_soliton_coarse_v2_kdv_soliton_obs8_noise200_seed42,0.101697638630867,0.8798435623563045,0.049788329750299454,0.011714543215930462,0.002535581588745117,0.005625670630182491,0.0061885488002485865
