matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2
coarse_v1,poisson,256,0.0,1.0,poisson_coarse_v1_obs256_noise000,0.11385225504636765,0.6751423513184179,0.34102150797843933,0.10569172352552414,0.0012587308883666992,0.002440728981172928,0.0020404737126956357,0.01877412221931571,0.9340668057152085,0.7916723745340678,0.9560561028050798,0.17077838256955147
coarse_v1,poisson,128,0.0,0.5,poisson_coarse_v1_obs128_noise000,0.11423588544130325,0.6758436891538384,0.3320170044898987,0.10617715120315552,0.0012350082397460938,0.0023519311757914853,0.0019738565378885275,0.02137750629531085,0.9352355458290122,0.7906901590558489,0.9560715454351816,0.17077838256955147
coarse_v1,poisson,64,0.0,0.25,poisson_coarse_v1_obs64_noise000,0.1137404814362526,0.6756883479077329,0.33511239290237427,0.10676685720682144,0.0012264251708984375,0.0024157777006919446,0.00199441938759392,0.020318805782454034,0.9343995437074373,0.7919579106982133,0.956077131442827,0.17077838256955147
coarse_v1,poisson,32,0.0,0.125,poisson_coarse_v1_obs32_noise000,0.11223806440830231,0.6801658654044025,0.31121519207954407,0.10638841241598129,0.0010876655578613281,0.001994904558447319,0.0019101306458985411,0.029064955237162033,0.9396631975775176,0.7957679642244143,0.9561673445785163,0.17077838256955147
coarse_v1,poisson,16,0.0,0.0625,poisson_coarse_v1_obs16_noise000,0.11366507411003113,0.6764421057656883,0.3269859254360199,0.10623981803655624,0.0012483596801757812,0.0024057237883108656,0.0020169700290082184,0.023024662078092072,0.9345305235208133,0.7921503827210922,0.9560628547427555,0.17077838256955147
coarse_v1,poisson,8,0.0,0.03125,poisson_coarse_v1_obs8_noise000,0.1150391474366188,0.6734542776528515,0.3406028151512146,0.10547666996717453,0.001131296157836914,0.002726570801014397,0.0020838242724627834,0.018924028478529028,0.930131546265037,0.7886225382034001,0.9561389976644395,0.17077838256955147
coarse_v1,poisson,256,0.05,1.0,poisson_coarse_v1_obs256_noise005,0.1142033189535141,0.6749447297952708,0.340813010931015,0.10569614171981812,0.0012646913528442383,0.0024365899276023407,0.0020464428445284826,0.01883170644926727,0.9341213191160338,0.7907736716825738,0.956052221933208,0.17077838256955147
coarse_v1,poisson,128,0.05,0.5,poisson_coarse_v1_obs128_noise005,0.1148025393486023,0.6755330299473093,0.33176693320274353,0.10603336244821548,0.0012595653533935547,0.002342202643674757,0.0019773989267674037,0.021482104247347505,0.9353613322466426,0.789233123792546,0.9560555595027012,0.17077838256955147
coarse_v1,poisson,64,0.05,0.25,poisson_coarse_v1_obs64_noise005,0.11470887064933777,0.6751339166852781,0.3349900543689728,0.10653045773506165,0.0012440085411071777,0.002400554674628021,0.0019851101287673032,0.02039511528041839,0.9346003786003486,0.7894744857028404,0.956065687157505,0.17077838256955147
coarse_v1,poisson,32,0.05,0.125,poisson_coarse_v1_obs32_noise005,0.11297744512557983,0.6798574874592289,0.3105725049972534,0.10642261058092117,0.0010619759559631348,0.001965443338434581,0.0018975201529894655,0.02933537317194028,0.9400111019500799,0.7938994477125197,0.9561840270023756,0.17077838256955147
coarse_v1,poisson,16,0.05,0.0625,poisson_coarse_v1_obs16_noise005,0.11296416074037552,0.6767932519957376,0.3276512324810028,0.1067478209733963,0.0010963678359985352,0.0024175178991790057,0.0020347192651732813,0.02270403748103449,0.9343741478604326,0.7939331305597443,0.9561616920817388,0.17077838256955147
coarse_v1,poisson,8,0.05,0.03125,poisson_coarse_v1_obs8_noise005,0.11405165493488312,0.6740389158687198,0.34075409173965454,0.10615162551403046,0.0010215044021606445,0.0027354767114244477,0.0020869765789757857,0.018778886095367296,0.9300042090777371,0.7911622719978135,0.9562102963039615,0.17077838256955147
coarse_v1,poisson,256,0.1,1.0,poisson_coarse_v1_obs256_noise010,0.11458795517683029,0.6747127013739278,0.34073004126548767,0.10571816563606262,0.0012721419334411621,0.0024330148669600552,0.002088864250962239,0.018851589174367148,0.9341660896838159,0.7897857562539788,0.9560473703835495,0.17077838256955147
coarse_v1,poisson,128,0.1,0.5,poisson_coarse_v1_obs128_noise010,0.1154077798128128,0.6752137421237305,0.3313332796096802,0.10590517520904541,0.0012816190719604492,0.0023311443493532354,0.002017935291215537,0.02164338761748677,0.9355017067034078,0.7876686756999752,0.9560411984740523,0.17077838256955147
coarse_v1,poisson,64,0.1,0.25,poisson_coarse_v1_obs64_noise010,0.11584524810314178,0.6744586945575061,0.3348819315433502,0.10635329782962799,0.0012614130973815918,0.0023859481720588343,0.002008258067717559,0.02045740448650999,0.9347903964879171,0.7865326208023973,0.9560543564531997,0.17077838256955147
coarse_v1,poisson,32,0.1,0.125,poisson_coarse_v1_obs32_noise010,0.11389180272817612,0.6794167370365722,0.3099822700023651,0.1065412387251854,0.0010367631912231445,0.0019379925131036686,0.0019266309556196916,0.02956489662805181,0.9403303804953423,0.7915712771379776,0.9562003938849168,0.17077838256955147
coarse_v1,poisson,16,0.1,0.0625,poisson_coarse_v1_obs16_noise010,0.11271871626377106,0.6770330472271732,0.32774510979652405,0.1075856164097786,0.0009469985961914062,0.002384615049343301,0.0021017567302482843,0.022516706617413455,0.9348021380094346,0.7945547269966833,0.9562586172851613,0.17077838256955147
coarse_v1,poisson,8,0.1,0.03125,poisson_coarse_v1_obs8_noise010,0.11349544674158096,0.674535406045029,0.3388460874557495,0.10706470906734467,0.0009207725524902344,0.0027281938655280714,0.002095135982993546,0.019175435157987707,0.9301077100829479,0.7925828647792286,0.9562756141599518,0.17077838256955147
coarse_v1,poisson,256,0.15,1.0,poisson_coarse_v1_obs256_noise015,0.11498265713453293,0.6744843430695433,0.3405102491378784,0.10574044287204742,0.0012788176536560059,0.0024288822991268798,0.0021663322703306892,0.01890985959248341,0.9342160563322197,0.7887684333924223,0.9560430229610479,0.17077838256955147
coarse_v1,poisson,128,0.15,0.5,poisson_coarse_v1_obs128_noise015,0.11606264859437943,0.674858860809012,0.33090677857398987,0.10579667240381241,0.0013043880462646484,0.0023198343835691194,0.0020963264756194244,0.021800058960051386,0.9356426054940247,0.7859664117971642,0.9560263669848079,0.17077838256955147
coarse_v1,poisson,64,0.15,0.25,poisson_coarse_v1_obs64_noise015,0.11715707182884216,0.6736405363417454,0.3349549472332001,0.10624011605978012,0.0012816190719604492,0.0023721256140958923,0.0020646781028909583,0.02045403589128693,0.9349674564046997,0.7830994545969424,0.9560411984740523,0.17077838256955147
coarse_v1,poisson,32,0.15,0.125,poisson_coarse_v1_obs32_noise015,0.11497174203395844,0.6788404731555802,0.3094756305217743,0.10674673318862915,0.001012265682220459,0.0019134721352894628,0.0019974724093885054,0.02973809267009012,0.9406108942069488,0.7887966148743641,0.9562162908709176,0.17077838256955147
coarse_v1,poisson,16,0.15,0.0625,poisson_coarse_v1_obs16_noise015,0.11284421384334564,0.6771984479059888,0.3265943229198456,0.10861801356077194,0.000818789005279541,0.0023298861945351443,0.002209895290045784,0.022708837738689976,0.935506230981119,0.7942370739672698,0.9563416489368767,0.17077838256955147
coarse_v1,poisson,8,0.15,0.03125,poisson_coarse_v1_obs8_noise015,0.11318404972553253,0.6748104951749158,0.336963027715683,0.10802178084850311,0.0008383393287658691,0.0027374939004344194,0.0021132879372448327,0.019564134214046715,0.9299737765097673,0.7933750725777134,0.9563289973981358,0.17077838256955147
coarse_v1,poisson,256,0.2,1.0,poisson_coarse_v1_obs256_noise020,0.11542114615440369,0.6742129720217837,0.34039250016212463,0.10578908771276474,0.0012871623039245605,0.00242618828155393,0.002280310553799909,0.01893553834536145,0.9342447312922281,0.7876340303435246,0.9560375881060207,0.17077838256955147
coarse_v1,poisson,128,0.2,0.5,poisson_coarse_v1_obs128_noise020,0.11676213145256042,0.6744676953619039,0.330495148897171,0.10570404678583145,0.0013275146484375,0.002309202838990134,0.002212458867481682,0.021950173400004814,0.9357720768385128,0.7841372335557621,0.9560112976533358,0.17077838256955147
coarse_v1,poisson,64,0.2,0.25,poisson_coarse_v1_obs64_noise020,0.11862161755561829,0.6727153126327152,0.3349098265171051,0.10618703812360764,0.0013000965118408203,0.002358771404360992,0.002152763630113042,0.020476576147456425,0.9351358642744392,0.7792196472951644,0.9560291628138011,0.17077838256955147
coarse_v1,poisson,32,0.2,0.125,poisson_coarse_v1_obs32_noise020,0.11620437353849411,0.6781268555647656,0.3091263175010681,0.10702592134475708,0.0009884834289550781,0.001891765885565447,0.002110079593587995,0.029824357069678373,0.9408546386936152,0.7855967080513487,0.9562317184444203,0.17077838256955147
coarse_v1,poisson,16,0.2,0.0625,poisson_coarse_v1_obs16_noise020,0.11312144249677658,0.6770785099269512,0.3258940577507019,0.1096661314368248,0.000710606575012207,0.002320009180856336,0.002361337433418998,0.022744175440918647,0.9356241931013242,0.7935340776830527,0.9564115934825093,0.17077838256955147
coarse_v1,poisson,8,0.2,0.03125,poisson_coarse_v1_obs8_noise020,0.11291244626045227,0.6748407496631956,0.33634233474731445,0.10887369513511658,0.0007683038711547852,0.0027828797661297814,0.002142385692336086,0.01960518791299642,0.9293192927682352,0.7940642149269929,0.956374303044558,0.17077838256955147
