matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2
coarse_fisher_kpp_v1,fisher_kpp,256,0.0,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise000,0.012573846615850925,0.9484934076346245,0.018688661977648735,0.004912571050226688,0.00016182661056518555,8.900050864960396e-06,9.084725333743727e-05,0.9311043940279771,0.9580334795812463,0.9480709982048667,0.956764758724408,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,128,0.0,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise000,0.012805859558284283,0.9485019937146805,0.0185372494161129,0.004847194068133831,0.00017499923706054688,9.134639251782243e-06,8.930145612808988e-05,0.9313260175065924,0.9580319467631906,0.9478936969662984,0.9567563136226402,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,64,0.0,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise000,0.0116400346159935,0.9492179350294463,0.017340566962957382,0.0040600476786494255,0.000156402587890625,4.1355911669935275e-06,7.045991161417816e-05,0.9332568528004637,0.958067797708546,0.9487788539472463,0.9567682356615292,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,32,0.0,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise000,0.012325855903327465,0.9486906476218706,0.018575496971607208,0.00432689068838954,0.000141143798828125,7.5642236299812085e-06,8.438318273075957e-05,0.9316815439190341,0.958043152210719,0.9482598788544481,0.9567780155032812,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,16,0.0,0.0625,fisher_kpp_coarse_fisher_kpp_v1_obs16_noise000,0.011915691196918488,0.9478073224455072,0.021271226927638054,0.005238549783825874,0.0001500844955444336,5.029327523742167e-06,0.00011216747607960992,0.9278271356230597,0.9580590153112206,0.9485708534642104,0.9567722853835383,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,8,0.0,0.03125,fisher_kpp_coarse_fisher_kpp_v1_obs8_noise000,0.016161823645234108,0.9475320472431099,0.018923796713352203,0.005915184039622545,0.0001633167266845703,6.512370207938662e-06,0.00012051620136975743,0.9300518495019762,0.9580482109857329,0.9452643250095784,0.956763803475152,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,256,0.05,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise005,0.012246125377714634,0.9486902499576195,0.017741279676556587,0.005558248609304428,0.00014698505401611328,9.765288697991788e-06,0.00043238343136594323,0.9316599704164886,0.9580062904771303,0.9483204670296732,0.9567742719071857,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,128,0.05,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise005,0.013381621800363064,0.9477210173693682,0.020294180139899254,0.005649343132972717,0.00018781423568725586,8.790956251226395e-06,0.00046356139751355894,0.9286736202879302,0.9580111202253615,0.9474512326759679,0.9567480962882133,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,64,0.05,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise005,0.011176171712577343,0.9492154399638132,0.01711549237370491,0.004816737957298756,0.0001506805419921875,4.78185322763413e-06,0.0004637061490233343,0.9329238570986002,0.9580389266527495,0.9491270727541369,0.9567719033497665,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,32,0.05,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise005,0.013288319110870361,0.9475522121484482,0.020020578056573868,0.006982830818742514,0.0001589655876159668,1.1600247423610223e-05,0.0004423525268698908,0.9279261542619434,0.9579929270671297,0.9475231745182277,0.9567665927464919,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,16,0.05,0.0625,fisher_kpp_coarse_fisher_kpp_v1_obs16_noise005,0.021828755736351013,0.9445221799273037,0.022993551567196846,0.00883968360722065,0.00017774105072021484,6.1721873922943465e-06,0.0003838406426141154,0.9227611638516755,0.9580342400018533,0.9405387602350567,0.956754555620629,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,8,0.05,0.03125,fisher_kpp_coarse_fisher_kpp_v1_obs8_noise005,0.022115349769592285,0.9454529113669017,0.02138528786599636,0.006266373675316572,0.00038361549377441406,7.3242880884346654e-06,0.00047351581019712405,0.9268787182466416,0.9580206818113502,0.940289887905107,0.9566223575045079,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,256,0.1,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise010,0.012556503526866436,0.948552492472546,0.017390374094247818,0.006354665849357843,0.00014144182205200195,1.0825064463984502e-05,0.0014345206889710997,0.9314112828373062,0.9579366339074488,0.9480842286344542,0.9567778245109747,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,128,0.1,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise010,0.01549149863421917,0.9463399172511303,0.022418303415179253,0.007132272236049175,0.00024384260177612305,9.167432303265899e-06,0.0015844585287758633,0.9249093921647611,0.9579388045748441,0.9457993204388818,0.9567121518260345,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,64,0.1,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise010,0.011187257245182991,0.9488406162078121,0.017438430339097977,0.006167042534798384,0.00014722347259521484,5.781851158136455e-06,0.001618369719905395,0.9315093849592642,0.9579601836613238,0.9491187771098915,0.9567741191007689,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,32,0.1,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise010,0.022560065612196922,0.9438359872710036,0.02298232726752758,0.010881778784096241,0.00045311450958251953,1.7670334661761636e-05,0.001512195576681051,0.9209803233210981,0.9578842087780169,0.9399017739082823,0.956577643076617,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,16,0.1,0.0625,fisher_kpp_coarse_fisher_kpp_v1_obs16_noise010,0.03935040161013603,0.9372074937888552,0.027608465403318405,0.015020889230072498,0.00045490264892578125,8.712350198001439e-06,0.0011295733804409741,0.9108740769934678,0.957970283195494,0.9234091229272289,0.9565764920392298,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,8,0.1,0.03125,fisher_kpp_coarse_fisher_kpp_v1_obs8_noise010,0.03106047213077545,0.9411300752018371,0.0267904344946146,0.008160430006682873,0.0008832216262817383,1.4997611671086385e-05,0.0015434981876002027,0.9183043824633267,0.9579008500384076,0.9320151286835526,0.9562999396220616,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,256,0.2,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise020,0.014857913367450237,0.947333871810282,0.018530717119574547,0.008229936473071575,0.00015795230865478516,1.3559688757821273e-05,0.005402688836743238,0.9285989714463654,0.9576688149453191,0.946300458571277,0.9567672422781668,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,128,0.2,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise020,0.0223239753395319,0.9423513772141103,0.027359716594219208,0.010938907042145729,0.0004876852035522461,1.1743982812177376e-05,0.006033299499287044,0.9151004468281205,0.9576415688967647,0.9401081086069706,0.9565553845245857,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,64,0.2,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise020,0.012548089027404785,0.9472277642429588,0.01945400983095169,0.009571988135576248,0.0001431107521057129,8.854137852338777e-06,0.00621180007281045,0.9263933233488065,0.9576503320732113,0.9480906466106499,0.9567767549391677,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,32,0.2,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise020,0.04620186612010002,0.9321034174628726,0.0319589227437973,0.019441982731223106,0.0018960237503051758,3.643257867185512e-05,0.005777578416415058,0.8997346828656084,0.9574856927610031,0.9155539906710288,0.95563930355385,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,16,0.2,0.0625,fisher_kpp_coarse_fisher_kpp_v1_obs16_noise020,0.07638755440711975,0.9142683639685008,0.04140564054250717,0.02855103649199009,0.0016762018203735352,1.8197746687616826e-05,0.003991921596910976,0.871914448863866,0.9577254171613621,0.8716500952349887,0.9557834946137862,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,8,0.2,0.03125,fisher_kpp_coarse_fisher_kpp_v1_obs8_noise020,0.054579686373472214,0.9239552591400837,0.04625930264592171,0.01379687711596489,0.0032048821449279785,6.669245464970232e-05,0.005713589318150773,0.8788129759884772,0.9572772581330924,0.9049593622052163,0.9547714402335488,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,256,0.3,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise030,0.018598144873976707,0.9450829877567118,0.02169753424823284,0.010300548747181892,0.00020933151245117188,1.712182327157148e-05,0.011932499325642894,0.9230929052346352,0.9572270595260514,0.9432776908091386,0.9567342954570224,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,128,0.3,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise030,0.030873924493789673,0.9370707492875929,0.03296099975705147,0.015153107233345509,0.0009257197380065918,1.669720399781556e-05,0.013342581564406176,0.9026737969065761,0.9571387134957492,0.932198078334361,0.9562724084136853,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,64,0.3,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise030,0.015352543443441391,0.9446640841319847,0.022869134321808815,0.013325137086212635,0.00014394521713256836,1.366215473044831e-05,0.013815437681482204,0.9188414276879395,0.9571290847475789,0.9459096039486332,0.9567762201437872,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,32,0.3,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise030,0.07136251777410507,0.914786878935597,0.04345699027180672,0.028235508129000664,0.004476189613342285,6.543919553937202e-05,0.012820461793229562,0.8682899960724764,0.95683146299514,0.8801130491118855,0.9539130075628859,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,16,0.3,0.0625,fisher_kpp_coarse_fisher_kpp_v1_obs16_noise030,0.11307564377784729,0.8793187822937356,0.05797035992145538,0.04222584888339043,0.0036888718605041504,3.263967389222225e-05,0.008536102006642197,0.81184135970753,0.9573369896003447,0.7936503364634961,0.9544464434035713,0.018860769923776388
coarse_fisher_kpp_v1,fisher_kpp,8,0.3,0.03125,fisher_kpp_coarse_fisher_kpp_v1_obs8_noise030,0.08954227715730667,0.8705911384870575,0.08895780146121979,0.020408278331160545,0.008652687072753906,0.00029210216938432387,0.01187070610055923,0.7290714564068115,0.9552450616425124,0.8470655327390705,0.9509825031598357,0.018860769923776388
