epoch,loss_total,objective_total,loss_data,loss_physics,loss_boundary,weight_data,weight_physics,weight_boundary
1.0,13.687339782714844,13.687339782714844,0.651016891002655,0.003972104284912348,0.717319905757904,10.0,1.0,10.0
2.0,12.200174331665039,12.200174331665039,0.5777348875999451,0.002014885889366269,0.642081081867218,10.0,1.0,10.0
3.0,10.843483924865723,10.843483924865723,0.5107261538505554,0.0010263266740366817,0.5735195875167847,10.0,1.0,10.0
4.0,9.594736099243164,9.594736099243164,0.44875839352607727,0.0009365267469547689,0.5106215476989746,10.0,1.0,10.0
5.0,8.440884590148926,8.440884590148926,0.3910980224609375,0.0016190282767638564,0.4528285562992096,10.0,1.0,10.0
6.0,7.377042770385742,7.377042770385742,0.3375032842159271,0.002929350361227989,0.39990803599357605,10.0,1.0,10.0
7.0,6.405151844024658,6.405151844024658,0.28812122344970703,0.004744535777717829,0.3519195020198822,10.0,1.0,10.0
8.0,5.5331711769104,5.5331711769104,0.24342399835586548,0.006980343256145716,0.3091951012611389,10.0,1.0,10.0
9.0,4.773958206176758,4.773958206176758,0.20414422452449799,0.009603946469724178,0.27229124307632446,10.0,1.0,10.0
10.0,4.142871856689453,4.142871856689453,0.1711519956588745,0.012647596187889576,0.2418704479932785,10.0,1.0,10.0
11.0,3.6538186073303223,3.6538186073303223,0.1452563852071762,0.016220567747950554,0.2185034155845642,10.0,1.0,10.0
12.0,3.3141627311706543,3.3141627311706543,0.12694890797138214,0.020525546744465828,0.20241482555866241,10.0,1.0,10.0
13.0,3.11924409866333,3.11924409866333,0.1161220371723175,0.02587791718542576,0.19321458041667938,10.0,1.0,10.0
14.0,3.048475742340088,3.048475742340088,0.11185574531555176,0.032702017575502396,0.18972164392471313,10.0,1.0,10.0
15.0,3.065929651260376,3.065929651260376,0.11241552978754044,0.041458435356616974,0.19003158807754517,10.0,1.0,10.0
16.0,3.1261966228485107,3.1261966228485107,0.11552421003580093,0.05251353979110718,0.19184410572052002,10.0,1.0,10.0
17.0,3.1836020946502686,3.1836020946502686,0.11883088201284409,0.06601657718420029,0.19292767345905304,10.0,1.0,10.0
18.0,3.202427864074707,3.202427864074707,0.12045282870531082,0.08182372897863388,0.19160759449005127,10.0,1.0,10.0
19.0,3.163883924484253,3.163883924484253,0.11935333162546158,0.09950819611549377,0.18708424270153046,10.0,1.0,10.0
20.0,3.0662240982055664,3.0662240982055664,0.11536294966936111,0.1184084415435791,0.1794186234474182,10.0,1.0,10.0
