noise_std,mean_cross_rate,mean_ci_width,max_ci_width
0.05,0.64,0.6262894713368212,0.6516549444913391
0.1,0.8,0.5701722388179293,0.6516549444913391
0.125,0.9199999999999999,0.4959859835119225,0.5882412616050443
0.15,0.96,0.46523422414754856,0.5882412616050443
0.175,0.96,0.46523422414754856,0.5882412616050443
