case,label,variant,strategy,n_seed,rel_l2_mean,rel_l2_std,cross_rate,reliability_raw_recal_mean,reliability_raw_recal_std,physics_consistency_recal_mean,training_stability_recal_mean,numerical_accuracy_recal_mean,structural_stability_recal_mean
burgers,critical_obs32_noise010,baseline,baseline,3,0.05665655558307966,0.034573316791621116,1,0.5252905335603831,0.3517427180462896,0.5178958106091343,0.379846452846785,0.6086388907314874,0.5947809800541258
burgers,critical_obs32_noise010,baseline,naive_region_aware_v1,3,0.045642320066690445,0.00336362087716829,1,0.4822151765019437,0.08553948239771422,0.3059743560578092,0.27145785622409124,0.7557633098635118,0.5956651838623626
burgers,critical_obs32_noise010,baseline,dim_guided_v2,3,0.04992103576660156,0.009962557148596023,1,0.6554584755802212,0.08653637336773785,0.5430186419396631,0.7897843734244165,0.676422652061553,0.6126082348952522
burgers,critical_obs32_noise010,capacity_v1,baseline,3,0.04278506711125374,0.003118653557482583,1,0.8124564590809906,0.061306957276824045,0.8128250174907521,0.8301542028216012,0.7931928598959151,0.813653756115694
burgers,critical_obs32_noise010,capacity_v1,naive_region_aware_v1,3,0.045387305319309235,0.00762035931570396,1,0.5091598342190867,0.18230437969772753,0.10055377366023015,0.6136966843810477,0.7470450327772044,0.5753438460578647
burgers,critical_obs32_noise010,capacity_v1,dim_guided_v2,3,0.038630458215872444,0.0018878792312869448,1,0.8562891814139951,0.021488502333456148,0.85416506396622,0.8730678713398751,0.8409187873673905,0.8570050029824947
burgers,critical_obs32_noise010,weight_balanced_v2,baseline,3,0.04639544462164243,0.018533288876595187,1,0.7281824794196582,0.26586769621190093,0.6434342748715427,0.7544388312500934,0.6861402075013853,0.8287166040556113
burgers,critical_obs32_noise010,weight_balanced_v2,naive_region_aware_v1,3,0.043988643834988274,0.006736205335399946,1,0.7871788496946219,0.12674356276938623,0.6737411597906066,0.934569066002358,0.7689943652900854,0.771410807695438
burgers,critical_obs32_noise010,weight_balanced_v2,dim_guided_v2,3,0.03280969833334287,0.011119408082861451,0.6666666666666666,0.7843523907346968,0.23245586330222281,0.7323577910464109,0.630720576792997,0.8636931449598494,0.9106380501395296
