matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,reliability_raw_recal
refine_burgers_v1,burgers,128,0.0,1.0,burgers_refine_burgers_v1_obs128_noise000,0.0173284672200679,0.9230001810953764,0.0627797469496727,0.0151767525821924,0.0002889037132263,0.0001631655542015,0.0010115885219787,0.8341138131229947,0.9568823583644338,0.9443213302836542,0.9566832226104236,0.0259927008301019,0.9494185495383347,0.9542741324377563,0.9633672072873471,0.9585654529314479,0.9564063355487216
refine_burgers_v1,burgers,96,0.0,0.75,burgers_refine_burgers_v1_obs96_noise000,0.0162754692137241,0.909030117970844,0.0595655478537082,0.0149391684681177,0.0003640055656433,0.0048604814700903,0.0015696276837206,0.8439440857772773,0.890368288768981,0.9451731311077792,0.9566349662293386,0.0259927008301019,0.962457101048998,0.2524127072373738,0.9660544677050912,0.9573338029180094,0.7845645197273681
refine_burgers_v1,burgers,64,0.0,0.5,burgers_refine_burgers_v1_obs64_noise000,0.02082459628582,0.920343986696583,0.0610175393521785,0.0146612729877233,0.0003329515457153,0.0016694369139939,0.0013546717250856,0.8399298728823423,0.9433880438964012,0.941403103927528,0.9566549260800612,0.0259927008301019,0.9610383919049342,0.8493952286727741,0.9529023890741073,0.9578472660776993,0.9302958189323787
refine_burgers_v1,burgers,48,0.0,0.375,burgers_refine_burgers_v1_obs48_noise000,0.0169382151216268,0.9250019505089608,0.0604257024824619,0.0146666206419467,0.0003247857093811,0.0001428469319038,0.0010126135310222,0.8416801188092575,0.9570290506660002,0.9446384593774952,0.9566601731830904,0.0259927008301019,0.9627747131312168,0.95485828208861,0.9643862036100979,0.9579813002682708,0.9600001247745489
refine_burgers_v1,burgers,40,0.0,0.3125,burgers_refine_burgers_v1_obs40_noise000,0.0176803637295961,0.923349924195284,0.0621302351355552,0.0154861453920602,0.0004678964614868,0.0001483946655834,0.0011365124627649,0.8358163007185118,0.9569813641761836,0.9440339049270962,0.956568126959344,0.0259927008301019,0.9482910300765436,0.9538890537090408,0.9624243601268638,0.9555722472669363,0.9550441727948461
refine_burgers_v1,burgers,32,0.0,0.25,burgers_refine_burgers_v1_obs32_noise000,0.0189520306885242,0.9230843567442614,0.0614497661590576,0.0154576394706964,0.0006632804870605,0.0004127657596967,0.0010113576964498,0.8379004746274754,0.9550112484197422,0.9429835457557212,0.9564421581741066,0.0259927008301019,0.9510752919360239,0.9458589007426496,0.9588190964539959,0.9520699352806554,0.9519558061033312
refine_burgers_v1,burgers,24,0.0,0.1875,burgers_refine_burgers_v1_obs24_noise000,0.0231299437582492,0.9222062369228972,0.0620790980756282,0.0160216130316257,0.0007109642028808,6.879402032622858e-05,0.0012388388504517,0.8354696470266801,0.9575429625111624,0.939400975716588,0.956411362437158,0.0259927008301019,0.9407836411004254,0.9553979991031925,0.944506417381978,0.9511761862617524,0.9479660609618371
refine_burgers_v1,burgers,16,0.0,0.125,burgers_refine_burgers_v1_obs16_noise000,0.0580012165009975,0.8962832692078604,0.0678660422563552,0.0260200444608926,0.0078675150871276,0.0029425462231637,0.0029650228059008,0.8063730705533165,0.9269134493940386,0.9002999546196563,0.95154660226443,0.0259927008301019,0.3060165009559746,0.6139308199538434,0.5545667509698345,0.5139201674237617,0.49710855982585356
refine_burgers_v1,burgers,12,0.0,0.09375,burgers_refine_burgers_v1_obs12_noise000,0.0154039403423666,0.9254995606749568,0.0602192729711532,0.0145294526591897,0.0004562139511108,0.0001263369838514,0.001127943271379,0.8424132289997411,0.9571405289344754,0.9458688368389764,0.9565756479266346,0.0259927008301019,0.9645597208773203,0.954576026033094,0.9681338298419546,0.9557737435588808,0.9607608300778124
refine_burgers_v1,burgers,8,0.0,0.0625,burgers_refine_burgers_v1_obs8_noise000,0.0172600466758012,0.9176872419892984,0.068641074001789,0.0165265165269374,0.0003976225852966,0.0002866839404117,0.0015326377999158,0.8138185369140317,0.9559400279824626,0.9443770539308984,0.9566133491298004,0.0259927008301019,0.8899704436557571,0.9467760795344998,0.9635478674336936,0.9567712276109424,0.9392664045587232
refine_burgers_v1,burgers,128,0.05,1.0,burgers_refine_burgers_v1_obs128_noise005,0.0197959952056407,0.9218049429506618,0.0634504482150077,0.0156130976974964,0.0005934238433837,0.0001630624519556,0.0019370003278273,0.8316307406827251,0.956825534431305,0.9422762602539528,0.9564872364346646,0.0259927008301019,0.9411044110360093,0.9473860797378583,0.9562460190157682,0.9533512655709048,0.9495219438401351
refine_burgers_v1,burgers,96,0.05,0.75,burgers_refine_burgers_v1_obs96_noise005,0.0622336640954017,0.8931552903103179,0.0708187595009803,0.0286639351397752,0.0075586438179016,0.0024749866004266,0.0031977969832855,0.7930584587535332,0.9335398488620352,0.894256038700484,0.9517668149252188,0.0259927008301019,0.1652334275208771,0.7073032288442918,0.47544904658761605,0.5452389054054975,0.4733061520895706
refine_burgers_v1,burgers,64,0.05,0.5,burgers_refine_burgers_v1_obs64_noise005,0.0201235525310039,0.923083759085068,0.0617731139063835,0.0146148931235075,0.0010572671890258,0.0002165250809333,0.0017685289318926,0.8377024364354042,0.9564459778111886,0.9419995379490996,0.95618708414458,0.0259927008301019,0.9589056071174806,0.947187959078684,0.9552065923707992,0.9441957799472588,0.9513739846285557
refine_burgers_v1,burgers,48,0.05,0.375,burgers_refine_burgers_v1_obs48_noise005,0.0197142008692026,0.9240451854278402,0.0607979074120521,0.0146209290251135,0.0008949041366577,0.0001499377486343,0.0018994336539779,0.8406204448432352,0.9569227568315544,0.942345166951784,0.9562923730847877,0.0259927008301019,0.9620806798448887,0.9480874789587704,0.9565019610326195,0.947578356336809,0.9535621190432719
refine_burgers_v1,burgers,40,0.05,0.3125,burgers_refine_burgers_v1_obs40_noise005,0.0215972326695919,0.9218458641663668,0.0628311559557914,0.0151678556576371,0.0008631944656372,0.0002281856527136,0.001643279184202,0.8339635122978928,0.9563679362881136,0.9407391001588166,0.9563129079206444,0.0259927008301019,0.9493016311710154,0.9478233090913422,0.950232496910008,0.9482159779921507,0.948893353791129
refine_burgers_v1,burgers,32,0.05,0.25,burgers_refine_burgers_v1_obs32_noise005,0.0397444553673267,0.8832431242282036,0.0681494995951652,0.020978283137083,0.0029704570770263,0.0065098144298285,0.0021513547148745,0.8110779193151407,0.8439904049593407,0.9229761122001516,0.9549280604381812,0.0259927008301019,0.699374742514226,0.09790475996253331,0.8303837867281224,0.8859000939715825,0.6283908457941161
refine_burgers_v1,burgers,24,0.05,0.1875,burgers_refine_burgers_v1_obs24_noise005,0.0291152466088533,0.9181181933342888,0.0641824603080749,0.016468746587634,0.0006470680236816,0.0005811325166852,0.002389644808779,0.8285300862537248,0.9535895396243852,0.9339005234657872,0.9564526239932584,0.0259927008301019,0.9237316528528834,0.9278926354027072,0.9157158941892107,0.9523702552197781,0.9299276094161448
refine_burgers_v1,burgers,16,0.05,0.125,burgers_refine_burgers_v1_obs16_noise005,0.0413615331053733,0.9145347216692116,0.0617914423346519,0.0177341103553771,0.0052028894424438,0.0011261834286632,0.0017226967008414,0.8346851471358969,0.9488627880129596,0.921175580520158,0.9534153710078312,0.0259927008301019,0.9022700861097454,0.9007802449596435,0.8126120919732167,0.7577890565043298,0.8433628698867339
refine_burgers_v1,burgers,12,0.05,0.09375,burgers_refine_burgers_v1_obs12_noise005,0.0354140177369117,0.9139146141719644,0.068458966910839,0.0153675526380538,0.0023684501647949,0.0001116497520278,0.0016779291226157,0.8155055601865259,0.9572114030253768,0.9276135942884436,0.9553278991875112,0.0259927008301019,0.9091735655009242,0.950986584844958,0.8713694037817445,0.9084318659792966,0.9099903550267308
refine_burgers_v1,burgers,8,0.05,0.0625,burgers_refine_burgers_v1_obs8_noise005,0.0237047802656888,0.9143956031809756,0.0703538879752159,0.0169861260801553,0.0009611845016479,0.0004082764589748,0.0019095693509311,0.8074508498592196,0.9549902747569282,0.9388918672140568,0.9562494208936982,0.0259927008301019,0.861419695033506,0.9394306798330612,0.9422029980708767,0.9462215577595058,0.9223187326742374
refine_burgers_v1,burgers,128,0.075,1.0,burgers_refine_burgers_v1_obs128_noise008,0.021674184128642,0.9211764224083968,0.0636401623487472,0.0157430209219455,0.0007833242416381,0.0001633151518649,0.0030954385409657,0.8309171413559077,0.9567513747361238,0.9406725833320856,0.9563645902094712,0.0259927008301019,0.9384185651015888,0.9353849469187766,0.9499588644593874,0.9497896699302191,0.9433880116024929
refine_burgers_v1,burgers,96,0.075,0.75,burgers_refine_burgers_v1_obs96_noise008,0.0241515319794416,0.8984388438110849,0.0617227256298065,0.0150620322674512,0.0010028481483459,0.005942491828566,0.0034222470112461,0.8374449555378221,0.8615945796877932,0.9384934393629064,0.956222400655818,0.0259927008301019,0.954745243305072,0.13403020004321534,0.9403511567206645,0.9453517934207264,0.7436195983724196
