matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,reliability_raw_recal
coarse_fisher_kpp_v1,fisher_kpp,256,0.0,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise000,0.0125738466158509,0.9484934076346244,0.0186886619776487,0.0049125710502266,0.0001618266105651,8.900050864960396e-06,9.084725333743728e-05,0.9311043940279772,0.9580334795812464,0.9480709982048668,0.956764758724408,0.0188607699237763,0.9482065245043949,0.9400062854172148,0.9489241967225692,0.9487509770882676,0.9464719959331116
coarse_fisher_kpp_v1,fisher_kpp,128,0.0,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise000,0.0128058595582842,0.9485019937146804,0.0185372494161129,0.0048471940681338,0.0001749992370605,9.134639251782243e-06,8.930145612808988e-05,0.9313260175065924,0.9580319467631906,0.9478936969662984,0.9567563136226402,0.0188607699237763,0.9491103063013056,0.9389304529209456,0.9480766895501124,0.947611260605638,0.9459321773445004
coarse_fisher_kpp_v1,fisher_kpp,64,0.0,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise000,0.0116400346159935,0.9492179350294464,0.0173405669629573,0.0040600476786494,0.0001564025878906,4.135591166993528e-06,7.045991161417816e-05,0.9332568528004636,0.958067797708546,0.9487788539472464,0.9567682356615292,0.0188607699237763,0.9569591308787644,0.9564765145950503,0.9522046105665531,0.9492134221975347,0.9537134195594755
coarse_fisher_kpp_v1,fisher_kpp,32,0.0,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise000,0.0123258559033274,0.9486906476218706,0.0185754969716072,0.0043268906883895,0.0001411437988281,7.564223629981208e-06,8.438318273075957e-05,0.931681543919034,0.958043152210719,0.948259878854448,0.9567780155032812,0.0188607699237763,0.9515324675714804,0.9456627063379749,0.9498155882606126,0.9504932687839595,0.9493760077385068
coarse_fisher_kpp_v1,fisher_kpp,16,0.0,0.0625,fisher_kpp_coarse_fisher_kpp_v1_obs16_noise000,0.0119156911969184,0.9478073224455072,0.021271226927638,0.0052385497838258,0.0001500844955444,5.029327523742167e-06,0.0001121674760796,0.9278271356230596,0.9580590153112206,0.9485708534642104,0.9567722853835384,0.0188607699237763,0.9349478115867972,0.9538451860282882,0.9512576410776825,0.9497471143706973,0.9474494382658663
coarse_fisher_kpp_v1,fisher_kpp,8,0.0,0.03125,fisher_kpp_coarse_fisher_kpp_v1_obs8_noise000,0.0161618236452341,0.94753204724311,0.0189237967133522,0.0059151840396225,0.0001633167266845,6.512370207938662e-06,0.0001205162013697,0.9300518495019762,0.9580482109857328,0.9452643250095784,0.956763803475152,0.0188607699237763,0.9414335859871367,0.9492276323410068,0.9342387023935655,0.948623235849403,0.943380789142778
coarse_fisher_kpp_v1,fisher_kpp,256,0.05,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise005,0.0122461253777146,0.9486902499576196,0.0177412796765565,0.0055582486093044,0.0001469850540161,9.765288697991788e-06,0.0004323834313659,0.9316599704164886,0.9580062904771304,0.9483204670296732,0.9567742719071856,0.0188607699237763,0.9478799263207385,0.9335335740237063,0.950099032539152,0.9500069796677754,0.9453798781378431
coarse_fisher_kpp_v1,fisher_kpp,128,0.05,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise005,0.013381621800363,0.9477210173693682,0.0202941801398992,0.0056493431329727,0.0001878142356872,8.790956251226395e-06,0.0004635613975135,0.9286736202879302,0.9580111202253616,0.947451232675968,0.9567480962882132,0.0188607699237763,0.9373424543199979,0.9379596653715528,0.9459157596179165,0.9464795402858904,0.9419243548988394
coarse_fisher_kpp_v1,fisher_kpp,64,0.05,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise005,0.0111761717125773,0.9492154399638132,0.0171154923737049,0.0048167379572987,0.0001506805419921,4.78185322763413e-06,0.0004637061490233,0.9329238570986002,0.9580389266527496,0.9491270727541368,0.9567719033497664,0.0188607699237763,0.9540237931816636,0.9520858069767221,0.9537587960274653,0.9496969938193425,0.9523913475012984
coarse_fisher_kpp_v1,fisher_kpp,32,0.05,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise005,0.0132883191108703,0.9475522121484482,0.0200205780565738,0.0069828308187425,0.0001589655876159,1.1600247423610225e-05,0.0004423525268698,0.9279261542619434,0.9579929270671296,0.9475231745182277,0.956766592746492,0.0188607699237763,0.9291852150779164,0.9230684542152294,0.9462716087438534,0.948995398454364,0.9368801691228408
