matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,reliability_raw_recal
coarse_v1,poisson,256,0.0,1.0,poisson_coarse_v1_obs256_noise000,0.1138522550463676,0.6751423513184179,0.3410215079784393,0.1056917235255241,0.0012587308883666,0.0024407289811729,0.0020404737126956,0.0187741222193157,0.9340668057152084,0.7916723745340678,0.9560561028050798,0.1707783825695514,0.6806827578642242,0.8059168165559764,0.8891862094176789,0.5477634284104973,0.7308873030620942
coarse_v1,poisson,128,0.0,0.5,poisson_coarse_v1_obs128_noise000,0.1142358854413032,0.6758436891538384,0.3320170044898987,0.1061771512031555,0.001235008239746,0.0023519311757914,0.0019738565378885,0.0213775062953108,0.9352355458290122,0.7906901590558489,0.9560715454351816,0.1707783825695514,0.8135857212631229,0.8873924818344421,0.846595456656541,0.5963459925230251,0.7859799130692828
coarse_v1,poisson,64,0.0,0.25,poisson_coarse_v1_obs64_noise000,0.1137404814362526,0.6756883479077329,0.3351123929023742,0.1067668572068214,0.0012264251708984,0.0024157777006919,0.0019944193875939,0.020318805782454,0.9343995437074372,0.7919579106982133,0.956077131442827,0.1707783825695514,0.7052265197080169,0.8479033410932346,0.8994848522530354,0.6135186862218363,0.7665333498190308
coarse_v1,poisson,32,0.0,0.125,poisson_coarse_v1_obs32_noise000,0.1122380644083023,0.6801658654044025,0.311215192079544,0.1063884124159812,0.0010876655578613,0.0019949045584473,0.0019101306458985,0.029064955237162,0.9396631975775176,0.7957679642244143,0.9561673445785164,0.1707783825695514,0.9123759065649177,0.9779145215265902,0.974850180433657,0.8353368184970381,0.9251193567555507
coarse_v1,poisson,16,0.0,0.0625,poisson_coarse_v1_obs16_noise000,0.1136650741100311,0.6764421057656883,0.3269859254360199,0.1062398180365562,0.0012483596801757,0.0024057237883108,0.0020169700290082,0.023024662078092,0.9345305235208132,0.7921503827210922,0.9560628547427557,0.1707783825695514,0.8618372420600475,0.841913948208911,0.9059441797393198,0.5691720796350999,0.7947168624108445
coarse_v1,poisson,8,0.0,0.03125,poisson_coarse_v1_obs8_noise000,0.1150391474366188,0.6734542776528515,0.3406028151512146,0.1054766699671745,0.0011312961578369,0.0027265708010143,0.0020838242724627,0.018924028478529,0.930131546265037,0.7886225382034001,0.9561389976644395,0.1707783825695514,0.6947064637281706,0.5314677819464934,0.7159369412468882,0.7787889564638538,0.6802250358463515
coarse_v1,poisson,256,0.05,1.0,poisson_coarse_v1_obs256_noise005,0.1142033189535141,0.6749447297952708,0.340813010931015,0.1056961417198181,0.0012646913528442,0.0024365899276023,0.0020464428445284,0.0188317064492672,0.9341213191160338,0.7907736716825738,0.956052221933208,0.1707783825695514,0.6849758303627718,0.8033363294330761,0.850676880342266,0.5353738830302772,0.7185907307920978
coarse_v1,poisson,128,0.05,0.5,poisson_coarse_v1_obs128_noise005,0.1148025393486023,0.6755330299473093,0.3317669332027435,0.1060333624482154,0.0012595653533935,0.0023422026436747,0.0019773989267674,0.0214821042473475,0.9353613322466426,0.789233123792546,0.9560555595027012,0.1707783825695514,0.8264387220009913,0.8903778957602126,0.7604696525876065,0.5460320959064546,0.7558295915638162
coarse_v1,poisson,64,0.05,0.25,poisson_coarse_v1_obs64_noise005,0.1147088706493377,0.6751339166852781,0.3349900543689728,0.1065304577350616,0.0012440085411071,0.002400554674628,0.0019851101287673,0.0203951152804183,0.9346003786003486,0.7894744857028404,0.956065687157505,0.1707783825695514,0.7386010949778947,0.8599288737826805,0.7767193039309761,0.5780821240909594,0.7383328491956277
coarse_v1,poisson,32,0.05,0.125,poisson_coarse_v1_obs32_noise005,0.1129774451255798,0.6798574874592289,0.3105725049972534,0.1064226105809211,0.0010619759559631,0.0019654433384345,0.0018975201529894,0.0293353731719402,0.94001110195008,0.7938994477125197,0.9561840270023756,0.1707783825695514,0.9092725399601609,0.9814931798596134,0.9495982877464717,0.8628335584527085,0.9257993915047387
