label,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,rel_l2_min,rel_l2_max,reliability_raw_mean,reliability_raw_std,structure_error_mean,structure_error_std,crosses_threshold_count,crosses_threshold_rate
safe_clean_obs64_noise000,64,0.0,20,0.011522444477304817,0.0023663069050542554,0.008174155838787556,0.016224408522248268,0.9487872486265223,0.0012509217384147333,0.00014525949954986573,6.844517779161605e-05,0,0.0
edge_obs16_noise005,16,0.05,20,0.015547464555129408,0.003362640151891237,0.010603719390928745,0.022728335112333298,0.947141814367075,0.001345437868338978,0.00024246275424957275,0.00012706902177427037,5,0.25
edge_obs32_noise010,32,0.1,20,0.02027485817670822,0.005401706768212005,0.009942629374563694,0.03143501281738281,0.9444036867188271,0.002187923626784468,0.0003637105226516724,0.0002761694987780355,13,0.65
transition_obs128_noise020,128,0.2,20,0.02097369311377406,0.005739868861332012,0.010323201306164265,0.0341033861041069,0.9441380623677051,0.0023402725407165596,0.0004679054021835327,0.0003638275457246946,14,0.7
failure_obs32_noise020,32,0.2,20,0.03511699568480253,0.011706685215127672,0.01397915929555893,0.05812177062034607,0.9342433290829025,0.007012315033342228,0.0010287225246429442,0.0009428312069290342,18,0.9
transition_obs64_noise030,64,0.3,20,0.037044591689482334,0.013330091570824328,0.011549203656613827,0.07008233666419983,0.9340054851118661,0.007679011368890024,0.0009478092193603516,0.0007427829508583196,19,0.95
failure_obs128_noise030,128,0.3,20,0.02883114293217659,0.009090711989760499,0.01254156231880188,0.050617434084415436,0.9394400199134233,0.004650004913404502,0.0008579909801483155,0.0007480900412446769,18,0.9
failure_obs16_noise030,16,0.3,20,0.0582875239662826,0.021014370339433597,0.019603697583079338,0.09385430067777634,0.9137373736466295,0.017782784126056484,0.0023519724607467653,0.0019917781303601433,20,1.0
