probe_name,case,label,num_observation,noise_std,seed,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,threshold_rel_l2,crosses_threshold
burgers_multiseed_anomaly_v1,burgers,obs16_noise000,16,0.0,41,burgers_burgers_multiseed_anomaly_v1_obs16_noise000_seed41,0.030772937461733818,0.9095720975192227,0.07348673045635223,0.01875428482890129,0.002480149269104004,0.00024399401895691761,0.0014671235408381558,0.025992700830101967,1
burgers_multiseed_anomaly_v1,burgers,obs16_noise000,16,0.0,42,burgers_burgers_multiseed_anomaly_v1_obs16_noise000_seed42,0.05800121650099754,0.8962832692078604,0.06786604225635529,0.026020044460892677,0.007867515087127686,0.0029425462231637478,0.002965022805900812,0.025992700830101967,1
burgers_multiseed_anomaly_v1,burgers,obs16_noise000,16,0.0,43,burgers_burgers_multiseed_anomaly_v1_obs16_noise000_seed43,0.05507758632302284,0.8653641064839341,0.08457192033529282,0.02530074492096901,0.006635189056396484,0.00595766197641427,0.0018539727585335385,0.025992700830101967,1
burgers_multiseed_anomaly_v1,burgers,obs16_noise000,16,0.0,44,burgers_burgers_multiseed_anomaly_v1_obs16_noise000_seed44,0.017444752156734467,0.9245953226490538,0.059722378849983215,0.0168901514261961,0.0005769729614257812,0.00027922793200611215,0.0011217905600865612,0.025992700830101967,0
burgers_multiseed_anomaly_v1,burgers,obs16_noise000,16,0.0,45,burgers_burgers_multiseed_anomaly_v1_obs16_noise000_seed45,0.0260703656822443,0.9226589574092513,0.05557437986135483,0.015089830383658409,0.0015350580215454102,0.001698056786866487,0.0013573115201868029,0.025992700830101967,1
burgers_multiseed_anomaly_v1,burgers,obs96_noise005,96,0.05,41,burgers_burgers_multiseed_anomaly_v1_obs96_noise050_seed41,0.02466662973165512,0.9172923013398534,0.06455609202384949,0.018482733517885208,0.0007895231246948242,0.0010632004388398254,0.002699831668060001,0.025992700830101967,0
burgers_multiseed_anomaly_v1,burgers,obs96_noise005,96,0.05,42,burgers_burgers_multiseed_anomaly_v1_obs96_noise050_seed42,0.062233664095401764,0.8931552903103179,0.07081875950098038,0.028663935139775276,0.007558643817901611,0.0024749866004266227,0.0031977969832855196,0.025992700830101967,1
burgers_multiseed_anomaly_v1,burgers,obs96_noise005,96,0.05,43,burgers_burgers_multiseed_anomaly_v1_obs96_noise050_seed43,0.052412137389183044,0.8489653713362494,0.08624397218227386,0.027070749551057816,0.0035027265548706055,0.007737969308354182,0.002668764993653012,0.025992700830101967,1
burgers_multiseed_anomaly_v1,burgers,obs96_noise005,96,0.05,44,burgers_burgers_multiseed_anomaly_v1_obs96_noise050_seed44,0.020978586748242378,0.924932207765741,0.058313872665166855,0.017485361546278,0.00027620792388916016,0.00017873219845442148,0.0023438831309595264,0.025992700830101967,0
burgers_multiseed_anomaly_v1,burgers,obs96_noise005,96,0.05,45,burgers_burgers_multiseed_anomaly_v1_obs96_noise050_seed45,0.019376805052161217,0.9256424346335177,0.059126779437065125,0.01353197731077671,0.0008927583694458008,0.00011423241900158957,0.002278821968123029,0.025992700830101967,0
