epoch,loss_total,objective_total,loss_data,loss_physics,loss_boundary,weight_data,weight_physics,weight_boundary
1.0,5.435827255249023,5.435827255249023,0.2192879319190979,0.5462096333503723,0.26967382431030273,10.0,1.0,10.0
2.0,4.899893760681152,4.899893760681152,0.19133074581623077,0.545333206653595,0.24412529170513153,10.0,1.0,10.0
3.0,4.475396156311035,4.475396156311035,0.1678469330072403,0.5422112345695496,0.22547155618667603,10.0,1.0,10.0
4.0,4.1443939208984375,4.1443939208984375,0.14769712090492249,0.5373052358627319,0.21301177144050598,10.0,1.0,10.0
5.0,3.9026191234588623,3.9026191234588623,0.13058897852897644,0.5310564041137695,0.20656728744506836,10.0,1.0,10.0
6.0,3.7503185272216797,3.7503185272216797,0.11653894931077957,0.523951530456543,0.20609775185585022,10.0,1.0,10.0
7.0,3.6863672733306885,3.6863672733306885,0.10570474714040756,0.5165725350379944,0.21127472817897797,10.0,1.0,10.0
8.0,3.6975769996643066,3.6975769996643066,0.09809888899326324,0.5096169710159302,0.22069710493087769,10.0,1.0,10.0
9.0,3.750885009765625,3.750885009765625,0.09331897646188736,0.5038548111915588,0.2313840389251709,10.0,1.0,10.0
10.0,3.804879903793335,3.804879903793335,0.09063098579645157,0.4998937249183655,0.23986764252185822,10.0,1.0,10.0
11.0,3.8303608894348145,3.8303608894348145,0.0892966240644455,0.49784329533576965,0.24395513534545898,10.0,1.0,10.0
12.0,3.819322109222412,3.819322109222412,0.08884258568286896,0.4974326491355896,0.24334634840488434,10.0,1.0,10.0
13.0,3.7804105281829834,3.7804105281829834,0.08913576602935791,0.4983213245868683,0.23907315731048584,10.0,1.0,10.0
14.0,3.7294936180114746,3.7294936180114746,0.09024372696876526,0.5002108216285706,0.23268456757068634,10.0,1.0,10.0
15.0,3.681727886199951,3.681727886199951,0.09222395718097687,0.5028094053268433,0.22566790878772736,10.0,1.0,10.0
16.0,3.6469357013702393,3.6469357013702393,0.09497407078742981,0.5057750940322876,0.21914198994636536,10.0,1.0,10.0
17.0,3.6283059120178223,3.6283059120178223,0.09821069240570068,0.508704423904419,0.2137494683265686,10.0,1.0,10.0
18.0,3.623703718185425,3.623703718185425,0.10156217217445374,0.5111859440803528,0.20968961715698242,10.0,1.0,10.0
19.0,3.6280269622802734,3.6280269622802734,0.10467860847711563,0.5128950476646423,0.2068345844745636,10.0,1.0,10.0
20.0,3.6352176666259766,3.6352176666259766,0.10728035867214203,0.5136723518371582,0.204874187707901,10.0,1.0,10.0
21.0,3.6397385597229004,3.6397385597229004,0.1091587170958519,0.5135411620140076,0.20346103608608246,10.0,1.0,10.0
22.0,3.63791561126709,3.63791561126709,0.11018560081720352,0.5126630663871765,0.20233964920043945,10.0,1.0,10.0
23.0,3.628781795501709,3.628781795501709,0.11033524572849274,0.5112664103507996,0.20141629874706268,10.0,1.0,10.0
24.0,3.6137759685516357,3.6137759685516357,0.1096801608800888,0.509584367275238,0.20073899626731873,10.0,1.0,10.0
25.0,3.5956034660339355,3.5956034660339355,0.10835953056812286,0.5078161358833313,0.20041920244693756,10.0,1.0,10.0
26.0,3.5771539211273193,3.5771539211273193,0.1065511554479599,0.5061041116714478,0.20055381953716278,10.0,1.0,10.0
27.0,3.5609147548675537,3.5609147548675537,0.1044592410326004,0.5045247077941895,0.20117975771427155,10.0,1.0,10.0
28.0,3.5486254692077637,3.5486254692077637,0.10229840129613876,0.5030956268310547,0.20225457847118378,10.0,1.0,10.0
29.0,3.540825605392456,3.540825605392456,0.10025834292173386,0.5017973184585571,0.20364448428153992,10.0,1.0,10.0
30.0,3.53653883934021,3.53653883934021,0.09846875816583633,0.5005964636802673,0.20512548089027405,10.0,1.0,10.0
31.0,3.5336318016052246,3.5336318016052246,0.0969974473118782,0.4994624853134155,0.20641949772834778,10.0,1.0,10.0
32.0,3.529783248901367,3.529783248901367,0.09587857127189636,0.4983762502670288,0.20726212859153748,10.0,1.0,10.0
33.0,3.5233354568481445,3.5233354568481445,0.09513309597969055,0.4973398745059967,0.20746645331382751,10.0,1.0,10.0
34.0,3.5136194229125977,3.5136194229125977,0.0947646051645279,0.4963884651660919,0.20695850253105164,10.0,1.0,10.0
35.0,3.500995635986328,3.500995635986328,0.0947541818022728,0.49559256434440613,0.2057861089706421,10.0,1.0,10.0
36.0,3.4867470264434814,3.4867470264434814,0.09506869316101074,0.49503612518310547,0.20410239696502686,10.0,1.0,10.0
37.0,3.4726226329803467,3.4726226329803467,0.09566619247198105,0.49477526545524597,0.20211853086948395,10.0,1.0,10.0
38.0,3.460080623626709,3.460080623626709,0.09648600220680237,0.49480193853378296,0.20004187524318695,10.0,1.0,10.0
39.0,3.4497313499450684,3.4497313499450684,0.09743722528219223,0.495033860206604,0.19803251326084137,10.0,1.0,10.0
40.0,3.4412946701049805,3.4412946701049805,0.09839943051338196,0.49533581733703613,0.19619646668434143,10.0,1.0,10.0
41.0,3.4338467121124268,3.4338467121124268,0.09923186898231506,0.49555718898773193,0.19459708034992218,10.0,1.0,10.0
42.0,3.4261088371276855,3.4261088371276855,0.09979088604450226,0.4955659806728363,0.19326339662075043,10.0,1.0,10.0
43.0,3.416891574859619,3.416891574859619,0.09996496140956879,0.49527275562286377,0.19219692051410675,10.0,1.0,10.0
44.0,3.4056129455566406,3.4056129455566406,0.09971502423286438,0.49464327096939087,0.19138193130493164,10.0,1.0,10.0
45.0,3.3924736976623535,3.3924736976623535,0.09908469021320343,0.49370330572128296,0.19079235196113586,10.0,1.0,10.0
46.0,3.378206729888916,3.378206729888916,0.09817501157522202,0.4925346374511719,0.19039218127727509,10.0,1.0,10.0
47.0,3.3637287616729736,3.3637287616729736,0.09711257368326187,0.491260290145874,0.19013427197933197,10.0,1.0,10.0
48.0,3.349806547164917,3.349806547164917,0.09602722525596619,0.49001505970954895,0.18995192646980286,10.0,1.0,10.0
49.0,3.336678981781006,3.336678981781006,0.0950360968708992,0.4889075458049774,0.18974106013774872,10.0,1.0,10.0
50.0,3.3239309787750244,3.3239309787750244,0.09423644840717316,0.4879886507987976,0.18935778737068176,10.0,1.0,10.0
51.0,3.3108158111572266,3.3108158111572266,0.09370647370815277,0.4872446656227112,0.18865063786506653,10.0,1.0,10.0
52.0,3.2966837882995605,3.2966837882995605,0.0934963971376419,0.48661887645721436,0.18751008808612823,10.0,1.0,10.0
53.0,3.2812530994415283,3.2812530994415283,0.0936119556427002,0.48604440689086914,0.18590891361236572,10.0,1.0,10.0
54.0,3.2647593021392822,3.2647593021392822,0.09400907158851624,0.4854689836502075,0.18391995131969452,10.0,1.0,10.0
55.0,3.2477922439575195,3.2477922439575195,0.09459518641233444,0.48486489057540894,0.1816975474357605,10.0,1.0,10.0
56.0,3.2308061122894287,3.2308061122894287,0.09523028880357742,0.4842250645160675,0.17942781746387482,10.0,1.0,10.0
57.0,3.213805913925171,3.213805913925171,0.09574668854475021,0.4835527241230011,0.17727862298488617,10.0,1.0,10.0
58.0,3.1963725090026855,3.1963725090026855,0.09598547220230103,0.4828488230705261,0.17536689341068268,10.0,1.0,10.0
59.0,3.177891969680786,3.177891969680786,0.0958297923207283,0.48210766911506653,0.17374864220619202,10.0,1.0,10.0
60.0,3.1580052375793457,3.1580052375793457,0.09523484855890274,0.4813234806060791,0.17243333160877228,10.0,1.0,10.0
61.0,3.13687801361084,3.13687801361084,0.09424518048763275,0.4804947078227997,0.17139312624931335,10.0,1.0,10.0
62.0,3.11495304107666,3.11495304107666,0.09299197793006897,0.4796147644519806,0.17054183781147003,10.0,1.0,10.0
63.0,3.0925300121307373,3.0925300121307373,0.09167537093162537,0.4786533713340759,0.16971229016780853,10.0,1.0,10.0
64.0,3.0694265365600586,3.0694265365600586,0.09051448106765747,0.47755131125450134,0.16867303848266602,10.0,1.0,10.0
65.0,3.045042037963867,3.045042037963867,0.089676633477211,0.4762426018714905,0.16720330715179443,10.0,1.0,10.0
66.0,3.018913745880127,3.018913745880127,0.08923015743494034,0.47468656301498413,0.16519255936145782,10.0,1.0,10.0
67.0,2.9910688400268555,2.9910688400268555,0.0891309306025505,0.47287845611572266,0.16268812119960785,10.0,1.0,10.0
68.0,2.961902141571045,2.961902141571045,0.08923444151878357,0.4708349406719208,0.15987229347229004,10.0,1.0,10.0
69.0,2.9316024780273438,2.9316024780273438,0.08930997550487518,0.4685747027397156,0.15699279308319092,10.0,1.0,10.0
70.0,2.8997111320495605,2.8997111320495605,0.08907446265220642,0.46610409021377563,0.1542862355709076,10.0,1.0,10.0
71.0,2.8654537200927734,2.8654537200927734,0.08828838914632797,0.46340638399124146,0.15191632509231567,10.0,1.0,10.0
72.0,2.8284049034118652,2.8284049034118652,0.08687632530927658,0.4604374170303345,0.14992040395736694,10.0,1.0,10.0
73.0,2.788766860961914,2.788766860961914,0.084986113011837,0.4571308195590973,0.14817747473716736,10.0,1.0,10.0
74.0,2.746760368347168,2.746760368347168,0.08291580528020859,0.45341193675994873,0.14641904830932617,10.0,1.0,10.0
75.0,2.702054500579834,2.702054500579834,0.08096396178007126,0.4492194950580597,0.144319549202919,10.0,1.0,10.0
76.0,2.654014825820923,2.654014825820923,0.07930279523134232,0.4445258677005768,0.1416461020708084,10.0,1.0,10.0
77.0,2.602421998977661,2.602421998977661,0.07792534679174423,0.43932610750198364,0.13838425278663635,10.0,1.0,10.0
78.0,2.547457456588745,2.547457456588745,0.07663415372371674,0.43359291553497314,0.1347523033618927,10.0,1.0,10.0
79.0,2.4889678955078125,2.4889678955078125,0.07508579641580582,0.4272356927394867,0.13108742237091064,10.0,1.0,10.0
80.0,2.4263124465942383,2.4263124465942383,0.07296524196863174,0.4201050102710724,0.1276555210351944,10.0,1.0,10.0
81.0,2.3591737747192383,2.3591737747192383,0.07021184265613556,0.4120674133300781,0.12449879944324493,10.0,1.0,10.0
82.0,2.2878096103668213,2.2878096103668213,0.06705813109874725,0.40311354398727417,0.12141146510839462,10.0,1.0,10.0
83.0,2.2122573852539062,2.2122573852539062,0.06384947896003723,0.3934015929698944,0.11803609132766724,10.0,1.0,10.0
84.0,2.132081985473633,2.132081985473633,0.060831218957901,0.38317304849624634,0.11405965685844421,10.0,1.0,10.0
85.0,2.047245502471924,2.047245502471924,0.05801258981227875,0.37256908416748047,0.10945503413677216,10.0,1.0,10.0
86.0,1.9581687450408936,1.9581687450408936,0.055133696645498276,0.3614448010921478,0.10453870892524719,10.0,1.0,10.0
87.0,1.8648567199707031,1.8648567199707031,0.05183570459485054,0.34935110807418823,0.09971486032009125,10.0,1.0,10.0
88.0,1.7671787738800049,1.7671787738800049,0.04799780994653702,0.3358517289161682,0.09513489902019501,10.0,1.0,10.0
89.0,1.6656864881515503,1.6656864881515503,0.043864693492650986,0.32100555300712585,0.09060339629650116,10.0,1.0,10.0
90.0,1.5609663724899292,1.5609663724899292,0.03982309252023697,0.30547094345092773,0.08572645485401154,10.0,1.0,10.0
91.0,1.4533331394195557,1.4533331394195557,0.036110229790210724,0.2899811863899231,0.08022496849298477,10.0,1.0,10.0
92.0,1.3436787128448486,1.3436787128448486,0.03261468559503555,0.27461475133895874,0.07429172098636627,10.0,1.0,10.0
93.0,1.2329292297363281,1.2329292297363281,0.028987957164645195,0.25861856341362,0.06844311207532883,10.0,1.0,10.0
94.0,1.121754765510559,1.121754765510559,0.025098595768213272,0.24132435023784637,0.0629444494843483,10.0,1.0,10.0
95.0,1.0116193294525146,1.0116193294525146,0.021206969395279884,0.2233062982559204,0.05762433260679245,10.0,1.0,10.0
