case,config_path,seed,run_name,reliability_raw,rel_l2,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
poisson,/root/dev/pinn-reliability-paper/minimal_pinn/configs/poisson_clean_baseline.json,41,poisson_clean_baseline_seed41,0.7366782219198106,0.09644695371389389,0.18643885850906372,0.08695368468761444,0.0009563565254211426,0.0007751776373101584,0.0011903292752732152
poisson,/root/dev/pinn-reliability-paper/minimal_pinn/configs/poisson_clean_baseline.json,42,poisson_clean_baseline_seed42,0.7246072717480025,0.09985332936048508,0.19957353174686432,0.09237642586231232,0.000989675521850586,0.0008330037777156676,0.0012172249225989957
poisson,/root/dev/pinn-reliability-paper/minimal_pinn/configs/poisson_clean_baseline.json,43,poisson_clean_baseline_seed43,0.7282795414606038,0.10177266597747803,0.19245770573616028,0.09142949432134628,0.0009468793869018555,0.0007807908487552213,0.0012963137383791726
poisson,/root/dev/pinn-reliability-paper/minimal_pinn/configs/poisson_clean_baseline.json,44,poisson_clean_baseline_seed44,0.7488435419262149,0.09592221677303314,0.17082026600837708,0.08763235807418823,0.0011237859725952148,0.0007543882891922651,0.0011955140380063153
poisson,/root/dev/pinn-reliability-paper/minimal_pinn/configs/poisson_clean_baseline.json,45,poisson_clean_baseline_seed45,0.7858859085112425,0.08866319060325623,0.13669827580451965,0.08614544570446014,0.0010051727294921875,0.0010454795486551007,0.0010770631920158926
stokes_poiseuille,/root/dev/pinn-reliability-paper/minimal_pinn/configs/stokes_clean_baseline.json,41,stokes_clean_baseline_seed41,0.9449829474552055,0.007208952214568853,0.031382326036691666,0.0062940167263150215,3.2186508178710938e-06,1.3238902138749538e-05,0.00011001262854055133
stokes_poiseuille,/root/dev/pinn-reliability-paper/minimal_pinn/configs/stokes_clean_baseline.json,42,stokes_clean_baseline_seed42,0.933299319141181,0.01136197242885828,0.050913095474243164,0.012023628689348698,1.7821788787841797e-05,5.353840204169013e-05,0.0002487561714296588
stokes_poiseuille,/root/dev/pinn-reliability-paper/minimal_pinn/configs/stokes_clean_baseline.json,43,stokes_clean_baseline_seed43,0.934556817088563,0.014056968502700329,0.0479174442589283,0.011939014308154583,5.900859832763672e-06,6.152843938620518e-05,0.000370463479557411
stokes_poiseuille,/root/dev/pinn-reliability-paper/minimal_pinn/configs/stokes_clean_baseline.json,44,stokes_clean_baseline_seed44,0.9389285715330661,0.009666060097515583,0.04210147261619568,0.010094640776515007,1.2993812561035156e-05,4.941862253163946e-05,0.00021400274290947233
stokes_poiseuille,/root/dev/pinn-reliability-paper/minimal_pinn/configs/stokes_clean_baseline.json,45,stokes_clean_baseline_seed45,0.9381009644760077,0.008970842696726322,0.044308140873909,0.009266670793294907,1.0907649993896484e-05,4.525106241507818e-05,0.00018899394240302035
burgers,/root/dev/pinn-reliability-paper/minimal_pinn/configs/burgers_clean_baseline.json,41,burgers_clean_baseline_seed41,0.9354435768856059,0.016476092860102654,0.046139657497406006,0.010073274374008179,0.0004601478576660156,3.772916724018091e-05,0.0006094940868925572
burgers,/root/dev/pinn-reliability-paper/minimal_pinn/configs/burgers_clean_baseline.json,42,burgers_clean_baseline_seed42,0.9384577993439956,0.012351179495453835,0.042147230356931686,0.009397080168128014,0.0001602768898010254,8.74271085861135e-05,0.0004506670204052002
burgers,/root/dev/pinn-reliability-paper/minimal_pinn/configs/burgers_clean_baseline.json,43,burgers_clean_baseline_seed43,0.9109121919727957,0.03457187861204147,0.06158262863755226,0.01972900703549385,0.0015416145324707031,0.003008443324186236,0.0014438232075270516
burgers,/root/dev/pinn-reliability-paper/minimal_pinn/configs/burgers_clean_baseline.json,44,burgers_clean_baseline_seed44,0.9379073226008336,0.01556521188467741,0.040908779948949814,0.01116009708493948,0.00016444921493530273,0.00017515462153664573,0.00056759276860406
burgers,/root/dev/pinn-reliability-paper/minimal_pinn/configs/burgers_clean_baseline.json,45,burgers_clean_baseline_seed45,0.942038555870843,0.0099971704185009,0.035854604095220566,0.008877342566847801,0.0002595186233520508,2.960507851478693e-05,0.0003919968572283723
