case,config_path,n_seed,rel_l2_mean,rel_l2_std,rel_l2_min,rel_l2_max,physics_rms_mean,physics_rms_std,physics_rms_min,physics_rms_max,boundary_rms_mean,boundary_rms_std,boundary_rms_min,boundary_rms_max,structure_error_mean,structure_error_std,structure_error_min,structure_error_max,loss_std_mean,loss_std_std,loss_std_min,loss_std_max,loss_ratio_mean,loss_ratio_std,loss_ratio_min,loss_ratio_max,reliability_raw_mean,reliability_raw_std,reliability_raw_min,reliability_raw_max
poisson,/root/dev/pinn-reliability-paper/minimal_pinn/configs/poisson_clean_baseline.json,5,0.09653167128562927,0.005019786794401828,0.08866319060325623,0.10177266597747803,0.177197727560997,0.0249990982662397,0.13669827580451965,0.19957353174686432,0.08890748172998428,0.0028047382734775173,0.08614544570446014,0.09237642586231232,0.0010043740272521972,7.086467883936198e-05,0.0009468793869018555,0.0011237859725952148,0.0008377680203256827,0.00011966924280978649,0.0007543882891922651,0.0010454795486551007,0.0011952890332547182,7.856394473581482e-05,0.0010770631920158926,0.0012963137383791726,0.7448588971131749,0.02475388792163928,0.7246072717480025,0.7858859085112425
stokes_poiseuille,/root/dev/pinn-reliability-paper/minimal_pinn/configs/stokes_clean_baseline.json,5,0.010252959188073873,0.0025958933399039463,0.007208952214568853,0.014056968502700329,0.043324495851993564,0.007479317859228865,0.031382326036691666,0.050913095474243164,0.009923594258725642,0.002350888183214156,0.0062940167263150215,0.012023628689348698,1.016855239868164e-05,5.779591665696284e-06,3.2186508178710938e-06,1.7821788787841797e-05,4.45950857026725e-05,1.8531246819854034e-05,1.3238902138749538e-05,6.152843938620518e-05,0.00022644579296802277,9.533231275616645e-05,0.00011001262854055133,0.000370463479557411,0.9379737239388046,0.004571171923607679,0.933299319141181,0.9449829474552055
burgers,/root/dev/pinn-reliability-paper/minimal_pinn/configs/burgers_clean_baseline.json,5,0.017792306654155255,0.00972903410729119,0.0099971704185009,0.03457187861204147,0.045326580107212064,0.009801323396714249,0.035854604095220566,0.06158262863755226,0.011847360245883464,0.004487898865911073,0.008877342566847801,0.01972900703549385,0.0005172014236450196,0.0005854286882492573,0.0001602768898010254,0.0015416145324707031,0.0006676718600127926,0.0013098115573501306,2.960507851478693e-05,0.003008443324186236,0.0006927147881314482,0.0004288832761953284,0.0003919968572283723,0.0014438232075270516,0.9329518893348148,0.012543879376814577,0.9109121919727957,0.942038555870843
