matrix_name,case,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_recal_mean,reliability_raw_recal_std,crosses_threshold_count,crosses_threshold_rate
probability_v2_burgers,burgers,64,0.05,5,0.03157511316239834,0.015903230668130538,0.8223556899563988,0.21930846146995314,2,0.4
probability_v2_burgers,burgers,48,0.05,5,0.017844684049487115,0.002497194939014805,0.9613685342862269,0.006250646703826062,0,0.0
probability_v2_burgers,burgers,32,0.05,5,0.027687595039606095,0.009782455432926123,0.8650321081723497,0.1328310015470375,2,0.4
probability_v2_burgers,burgers,24,0.05,5,0.028618498146533965,0.0061039062618344336,0.9023450940239351,0.08136611708386897,3,0.6
probability_v2_burgers,burgers,16,0.05,5,0.03699894547462464,0.017218448546348127,0.8055441378602453,0.17160551765211657,3,0.6
probability_v2_burgers,burgers,64,0.1,5,0.03978323489427567,0.019206866571124137,0.7190465560256991,0.2836401730479931,3,0.6
probability_v2_burgers,burgers,48,0.1,5,0.032624673843383786,0.01030494939425695,0.844430103953096,0.19647615327817872,3,0.6
probability_v2_burgers,burgers,32,0.1,5,0.040836728364229205,0.017662062326687666,0.753849801807093,0.30583455421868844,4,0.8
probability_v2_burgers,burgers,24,0.1,5,0.036429583095014095,0.013844949148222948,0.8396555318673801,0.11299036924629531,4,0.8
probability_v2_burgers,burgers,16,0.1,5,0.058971793949604036,0.018993035738091513,0.6565537085002855,0.26384564064190125,5,1.0
probability_v2_burgers,burgers,64,0.125,5,0.030998680740594864,0.007313954956357913,0.8849922831267656,0.031079207602225906,4,0.8
probability_v2_burgers,burgers,48,0.125,5,0.03013114258646965,0.007200528583401291,0.9164853806794577,0.015385144992289159,3,0.6
probability_v2_burgers,burgers,32,0.125,5,0.04513696506619454,0.010008554324703118,0.7859271655989453,0.09627672630969453,5,1.0
probability_v2_burgers,burgers,24,0.125,5,0.045849496871232985,0.018591597008732242,0.8313690992929328,0.1295629706846858,4,0.8
probability_v2_burgers,burgers,16,0.125,5,0.07332261353731155,0.014940372333831635,0.4853249626196405,0.26310364071342995,5,1.0
probability_v2_burgers,burgers,64,0.15,5,0.03483288586139679,0.01045726646845729,0.7977390845261998,0.10777637860866118,4,0.8
probability_v2_burgers,burgers,48,0.15,5,0.03853143788874149,0.01048519838140478,0.8073374436305794,0.09756490017902414,4,0.8
probability_v2_burgers,burgers,32,0.15,5,0.05281845927238464,0.013297804301597056,0.6548104237991352,0.1587586310798612,5,1.0
probability_v2_burgers,burgers,24,0.15,5,0.05287473201751709,0.021410377352412777,0.7502179063740012,0.1762688557660154,4,0.8
probability_v2_burgers,burgers,16,0.15,5,0.07340290322899819,0.0186343148460638,0.45159830993427896,0.10860313510608698,5,1.0
probability_v2_burgers,burgers,64,0.175,5,0.04002093225717544,0.010739138898805317,0.6797300763230912,0.14959662647158042,4,0.8
probability_v2_burgers,burgers,48,0.175,5,0.04590418823063373,0.017942458467423247,0.6737004509547846,0.2339269592405579,4,0.8
probability_v2_burgers,burgers,32,0.175,5,0.06119306311011315,0.015547882119076642,0.49778683228293624,0.18686509844120705,5,1.0
probability_v2_burgers,burgers,24,0.175,5,0.06133016087114811,0.024138665948786435,0.6418755792589141,0.20219293929840917,4,0.8
probability_v2_burgers,burgers,16,0.175,5,0.09712316915392875,0.04263388344820269,0.3313649030889922,0.2428625661982554,5,1.0
