protocol,case,seed,run_name,activation,hidden_layers,epochs,num_collocation,rel_l2,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,reliability_raw
protocol_b,nls_soliton,1,nls_soliton_protocol_b_seed1,sin,"[128, 128, 128, 128]",2000,4096,0.01078773383051157,0.009900582022964954,0.0009232435841113329,7.450580596923828e-06,1.308122159180733e-08,0.00011512948711732035,0.9518277229368414
protocol_b,nls_soliton,2,nls_soliton_protocol_b_seed2,sin,"[128, 128, 128, 128]",2000,4096,0.0059079453349113464,0.006881845649331808,0.0006120686302892864,1.0013580322265625e-05,4.723832816777649e-09,7.341733557264738e-05,0.9534122855504532
protocol_b,nls_soliton,3,nls_soliton_protocol_b_seed3,sin,"[128, 128, 128, 128]",2000,4096,0.01123717613518238,0.007980410940945148,0.0006589837139472365,1.1682510375976562e-05,7.752553460495986e-09,7.044863801759763e-05,0.9522110373942363
