matrix_name,case,num_observation,noise_std,seed,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
coarse_v2_nls_soliton,nls_soliton,256,0.0,42,1.0,nls_soliton_coarse_v2_nls_soliton_obs256_noise000_seed42,0.06423989683389664,0.9296291519612238,0.03279109299182892,0.0038517522625625134,0.0002372264862060547,1.4519294418402125e-05,0.002368364688987879
coarse_v2_nls_soliton,nls_soliton,128,0.0,42,0.5,nls_soliton_coarse_v2_nls_soliton_obs128_noise000_seed42,0.06838730722665787,0.9273159181476113,0.03450878709554672,0.0037250262685120106,0.00036156177520751953,1.807232476776349e-05,0.0025938126889450464
coarse_v2_nls_soliton,nls_soliton,64,0.0,42,0.25,nls_soliton_coarse_v2_nls_soliton_obs64_noise000_seed42,0.11481433361768723,0.9029096073834897,0.03377457335591316,0.005255445837974548,0.000896453857421875,0.00025484806039551146,0.0021512942029383235
coarse_v2_nls_soliton,nls_soliton,32,0.0,42,0.125,nls_soliton_coarse_v2_nls_soliton_obs32_noise000_seed42,0.10702318698167801,0.9084172895065468,0.03384581208229065,0.004052172880619764,0.0006856322288513184,1.3126191092852948e-05,0.0023641248769642824
coarse_v2_nls_soliton,nls_soliton,16,0.0,42,0.0625,nls_soliton_coarse_v2_nls_soliton_obs16_noise000_seed42,0.44886675477027893,0.6912954466775745,0.03646714985370636,0.005689543671905994,0.07047736644744873,1.2000169357369466e-05,0.002468425088374464
coarse_v2_nls_soliton,nls_soliton,8,0.0,42,0.03125,nls_soliton_coarse_v2_nls_soliton_obs8_noise000_seed42,0.4101358950138092,0.6981483675936505,0.04235126078128815,0.005385617259889841,0.055546343326568604,1.855526107946896e-05,0.004439101522988476
coarse_v2_nls_soliton,nls_soliton,256,0.05,42,1.0,nls_soliton_coarse_v2_nls_soliton_obs256_noise050_seed42,0.06450363248586655,0.9295265743571441,0.03272542357444763,0.003992151934653521,0.0001761317253112793,1.5118645304214127e-05,0.003190770733419973
coarse_v2_nls_soliton,nls_soliton,128,0.05,42,0.5,nls_soliton_coarse_v2_nls_soliton_obs128_noise050_seed42,0.06964395195245743,0.9268115855585538,0.03446362540125847,0.003820192301645875,0.0003453493118286133,1.7772755345276156e-05,0.0031996588731464165
coarse_v2_nls_soliton,nls_soliton,64,0.05,42,0.25,nls_soliton_coarse_v2_nls_soliton_obs64_noise050_seed42,0.11307497322559357,0.9038562014520439,0.033720944076776505,0.0035288555081933737,0.0007953047752380371,0.000515602690154142,0.003698702333909764
coarse_v2_nls_soliton,nls_soliton,32,0.05,42,0.125,nls_soliton_coarse_v2_nls_soliton_obs32_noise050_seed42,0.11574941128492355,0.9011914024035189,0.03380799666047096,0.007923956960439682,0.0009537935256958008,0.0005360104272356212,0.003402237127681939
coarse_v2_nls_soliton,nls_soliton,16,0.05,42,0.0625,nls_soliton_coarse_v2_nls_soliton_obs16_noise050_seed42,0.44425997138023376,0.6926644550372969,0.03594181314110756,0.005731997080147266,0.06851708889007568,1.3090807020833755e-05,0.0031003891755839973
coarse_v2_nls_soliton,nls_soliton,8,0.05,42,0.03125,nls_soliton_coarse_v2_nls_soliton_obs8_noise050_seed42,0.41172876954078674,0.6937706215387441,0.042472757399082184,0.01632840186357498,0.05665242671966553,0.0006782992819969673,0.008990376936465058
