matrix_name,case,num_observation,noise_std,seed,run_name,rel_l2,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,reliability_raw,reliability_raw_recal,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,threshold_rel_l2,crosses_threshold
probability_v2_poisson,poisson,16,0.05,41,poisson_probability_v2_poisson_obs16_noise050_seed41,0.10485058277845383,0.18689310550689697,0.0919887125492096,0.0008879303932189941,0.0007029879168315395,0.0011610352893954511,0.7301952295050891,0.9910680006746702,0.9999999961584428,0.9999903309656649,0.9999808933122297,0.9643007822623432,0.112968810275197,0
probability_v2_poisson,poisson,16,0.05,42,poisson_probability_v2_poisson_obs16_noise050_seed42,0.0977591723203659,0.19564232230186462,0.09289032965898514,0.0008248090744018555,0.0009143851355761069,0.001226305554747593,0.7278214477076733,0.9946527177209431,0.999999988868418,0.9999681315533333,0.999999981109264,0.978642769352757,0.112968810275197,0
probability_v2_poisson,poisson,16,0.05,43,poisson_probability_v2_poisson_obs16_noise050_seed43,0.10337532311677933,0.18646149337291718,0.09297453612089157,0.0009676218032836914,0.000831912156122642,0.0012691529231850004,0.730738288293593,0.9831705671891448,0.9999999963506775,0.999979816008685,0.9999954704104218,0.9327069859867946,0.112968810275197,0
probability_v2_poisson,poisson,16,0.05,44,poisson_probability_v2_poisson_obs16_noise050_seed44,0.10003617405891418,0.18661046028137207,0.08786168694496155,0.0010898709297180176,0.0007629710037274976,0.00118813303429447,0.7343059860242173,0.9581918632796512,0.9999999962890694,0.9999864280277497,0.9999998257730488,0.832781203028737,0.112968810275197,0
probability_v2_poisson,poisson,16,0.05,45,poisson_probability_v2_poisson_obs16_noise050_seed45,0.09264550358057022,0.17971427738666534,0.08941297978162766,0.0013676881790161133,0.0007923665861131954,0.0012311851238969171,0.7427076473380935,0.8318090533864583,0.9999999983954659,0.9999839209917801,0.9999999998713645,0.3272522942872225,0.112968810275197,0
probability_v2_poisson,poisson,12,0.05,41,poisson_probability_v2_poisson_obs12_noise050_seed41,0.10511124134063721,0.18402831256389618,0.09174471348524094,0.0008370876312255859,0.0006949878801665387,0.0011635618958547663,0.7321439748642541,0.9940877526618496,0.999999997288366,0.9999907540565084,0.999975360290355,0.9763848990121687,0.112968810275197,0
probability_v2_poisson,poisson,12,0.05,42,poisson_probability_v2_poisson_obs12_noise050_seed42,0.10048241913318634,0.20424310863018036,0.09557070583105087,0.0006944537162780762,0.0009468107394897234,0.0012606536967504852,0.7205710699646205,0.9981719601348212,0.9999999678618419,0.9999616608177427,0.9999997307168954,0.9927264811428048,0.112968810275197,0
probability_v2_poisson,poisson,12,0.05,43,poisson_probability_v2_poisson_obs12_noise050_seed43,0.10384270548820496,0.18168292939662933,0.09081433713436127,0.0011532306671142578,0.0007572776061949172,0.0011741962212383826,0.7347106536537835,0.9363801492262548,0.9999999979614551,0.9999868690766314,0.9999928532541887,0.745540876612744,0.112968810275197,0
probability_v2_poisson,poisson,12,0.05,44,poisson_probability_v2_poisson_obs12_noise050_seed44,0.09696033596992493,0.17830225825309753,0.08689962327480316,0.0010411739349365234,0.0007996847199351997,0.0011419763248123915,0.7424124764844895,0.9705397888004557,0.9999999986485871,0.9999833551348223,0.9999999913354397,0.8821758100829733,0.112968810275197,0
probability_v2_poisson,poisson,12,0.05,45,poisson_probability_v2_poisson_obs12_noise050_seed45,0.09798424690961838,0.16901524364948273,0.09164338558912277,0.001544356346130371,0.0010236017553343804,0.001307469964551398,0.7469714451238213,0.7749262720352305,0.9999999995625893,0.9999407262145977,0.9999999764699444,0.09976438589379047,0.112968810275197,0
probability_v2_poisson,poisson,10,0.05,41,poisson_probability_v2_poisson_obs10_noise050_seed41,0.1065952405333519,0.1858653575181961,0.09260810911655426,0.0007528066635131836,0.0006993507375475907,0.001160373802861609,0.7296950324281836,0.9970209953226328,0.9999999966078433,0.9999905270262073,0.9998951817333318,0.9881982759231489,0.112968810275197,0
probability_v2_poisson,poisson,10,0.05,42,poisson_probability_v2_poisson_obs10_noise050_seed42,0.09741127490997314,0.19282636046409607,0.09181483089923859,0.0006826519966125488,0.0009018498101748671,0.001161144010429121,0.7301404474613226,0.9983441709017409,0.9999999920980484,0.9999703836123989,0.9999999865466844,0.9934063213498319,0.112968810275197,0
probability_v2_poisson,poisson,10,0.05,43,poisson_probability_v2_poisson_obs10_noise050_seed43,0.10437929630279541,0.18641285598278046,0.09168381989002228,0.0010703802108764648,0.0007526184898195035,0.001195387896800804,0.7307656198332052,0.9635665051541394,0.9999999963766448,0.9999871858360603,0.999987936217355,0.8542909021864976,0.112968810275197,0
probability_v2_poisson,poisson,10,0.05,44,poisson_probability_v2_poisson_obs10_noise050_seed44,0.09937519580125809,0.17390482127666473,0.08730088174343109,0.0013529062271118164,0.000755856012413689,0.0011239915065212754,0.7444911335757876,0.8387616012156063,0.9999999992082428,0.9999870043274933,0.9999999085824457,0.35505949274424337,0.112968810275197,0
probability_v2_poisson,poisson,10,0.05,45,poisson_probability_v2_poisson_obs10_noise050_seed45,0.10009516775608063,0.17625075578689575,0.09234465658664703,0.0013541579246520996,0.0009968960971320894,0.0013093660452541498,0.7398177466585694,0.8381530052345465,0.9999999989452606,0.9999489380544327,0.9999998154502013,0.3526632684882913,0.112968810275197,0
probability_v2_poisson,poisson,8,0.05,41,poisson_probability_v2_poisson_obs8_noise050_seed41,0.10782584547996521,0.18515387177467346,0.09235163033008575,0.0007902383804321289,0.0006642949699499787,0.001158666038589563,0.7296016908649487,0.9958920451189591,0.9999999968896803,0.9999922210228592,0.9996518285913519,0.9839241339719449,0.112968810275197,0
probability_v2_poisson,poisson,8,0.05,42,poisson_probability_v2_poisson_obs8_noise050_seed42,0.09680859744548798,0.1926276832818985,0.09094825387001038,0.0007191896438598633,0.000884305567678404,0.0011744163841309822,0.7308857089694957,0.9977602052903738,0.999999992287133,0.9999731610403588,0.9999999925278052,0.9910676753061982,0.112968810275197,0
probability_v2_poisson,poisson,8,0.05,43,poisson_probability_v2_poisson_obs8_noise050_seed43,0.10492750257253647,0.18649302423000336,0.09185721725225449,0.0011023879051208496,0.0007735238785361072,0.0012118705661410937,0.7302825481651155,0.9544096797210022,0.9999999963409757,0.9999855667546333,0.9999794041801285,0.8176737516082715,0.112968810275197,0
probability_v2_poisson,poisson,8,0.05,44,poisson_probability_v2_poisson_obs8_noise050_seed44,0.1023232489824295,0.18488359451293945,0.08868727833032608,0.0014119148254394531,0.000748501169387879,0.001194099022367901,0.7339544080235771,0.8128568105443845,0.9999999969918456,0.9999874800400816,0.9999983772572071,0.251441387888404,0.112968810275197,0
probability_v2_poisson,poisson,8,0.05,45,poisson_probability_v2_poisson_obs8_noise050_seed45,0.10227818787097931,0.17765143513679504,0.0922277495265007,0.0011585354804992676,0.0009946064989696773,0.0012974974581952566,0.7375914068441153,0.9342428341798412,0.9999999987500537,0.9999496739709546,0.9999984470576639,0.7370232169406928,0.112968810275197,0
probability_v2_poisson,poisson,6,0.05,41,poisson_probability_v2_poisson_obs6_noise050_seed41,0.1066373810172081,0.20173975825309753,0.09322421997785568,0.0009472966194152832,0.0005975910527317921,0.0011842480812001822,0.7197137163661744,0.9856296702039202,0.9999999766389043,0.9999946262349747,0.99989078259509,0.9426332953467119,0.112968810275197,0
probability_v2_poisson,poisson,6,0.05,42,poisson_probability_v2_poisson_obs6_noise050_seed42,0.10131776332855225,0.19229736924171448,0.0919887125492096,0.0010243654251098633,0.0008454919576823451,0.001216069172043027,0.7283222403107116,0.9740033487473406,0.9999999925899986,0.9999783772151355,0.999999391611065,0.8960356335731634,0.112968810275197,0
probability_v2_poisson,poisson,6,0.05,43,poisson_probability_v2_poisson_obs6_noise050_seed43,0.1062360405921936,0.19826741516590118,0.09332086890935898,0.001020967960357666,0.0009147009736513828,0.001299988313936426,0.7212455346337017,0.9746374511747853,0.9999999846799308,0.9999677786927749,0.9999261685323251,0.8986558727941104,0.112968810275197,0
