experiment_name,case,label,budget_name,num_observation,noise_std,seed,run_name,epochs,num_collocation,num_boundary,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2,crosses_threshold
budget_control_v1,poisson,stable_noisy_obs64_noise020,baseline_budget,64,0.2,51,poisson_stable_noisy_obs64_noise020_baseline_budget_seed51,500,2048,256,0.09183266013860703,0.747639721357494,0.1751275211572647,0.08669856935739517,0.0007140636444091797,0.0008551481877069725,0.0014247986516067914,0.24039905567165729,0.9513399029347182,0.8424105668284514,0.9564093599951495,0.170778,0
budget_control_v1,poisson,stable_noisy_obs64_noise020,baseline_budget,64,0.2,52,poisson_stable_noisy_obs64_noise020_baseline_budget_seed52,500,2048,256,0.0922723338007927,0.7531057518605218,0.1671914905309677,0.08890275657176971,0.0010573267936706543,0.0008697094738981104,0.001556369462816225,0.26352787243390435,0.9512041797837609,0.8415039097765731,0.9561870454478492,0.170778,0
budget_control_v1,poisson,stable_noisy_obs64_noise020,baseline_budget,64,0.2,53,poisson_stable_noisy_obs64_noise020_baseline_budget_seed53,500,2048,256,0.10144311934709549,0.7359253512383204,0.18284662067890167,0.08676819503307343,0.0011706948280334473,0.0010505711224800924,0.0015924087325770385,0.21639628719448217,0.9495748480983868,0.8216168844422339,0.9561133852181785,0.170778,0
budget_control_v1,poisson,stable_noisy_obs64_noise020,stronger_budget,64,0.2,51,poisson_stable_noisy_obs64_noise020_stronger_budget_seed51,1500,4096,512,0.01879105530679226,0.9300698543259459,0.05157965049147606,0.017644954845309258,1.2099742889404297e-05,6.503740437605869e-05,0.0003555426727656494,0.8626769328449219,0.9576243214053125,0.9431175235578186,0.9568606394957304,0.170778,0
budget_control_v1,poisson,stable_noisy_obs64_noise020,stronger_budget,64,0.2,52,poisson_stable_noisy_obs64_noise020_stronger_budget_seed52,1500,4096,512,0.018646709620952606,0.9076057920954906,0.07535349577665329,0.012288746424019337,2.7477741241455078e-05,0.0022095056302293397,0.00035157462302271947,0.7931870244500289,0.9371479336511266,0.943237409048468,0.9568508012323395,0.170778,0
budget_control_v1,poisson,stable_noisy_obs64_noise020,stronger_budget,64,0.2,53,poisson_stable_noisy_obs64_noise020_stronger_budget_seed53,1500,4096,512,0.03176482021808624,0.8930251228258945,0.08899348229169846,0.022911440581083298,8.153915405273438e-05,8.793906405437876e-05,0.0004427331495479976,0.7265071216516978,0.9574569395004634,0.931320232380196,0.9568161977712212,0.170778,0
budget_control_v1,poisson,stable_sparse_obs32_noise020,baseline_budget,32,0.2,51,poisson_stable_sparse_obs32_noise020_baseline_budget_seed51,500,2048,256,0.09191974997520447,0.7450181536518579,0.17727605998516083,0.08913575857877731,0.0005939006805419922,0.0008612745286292692,0.0017069716386515063,0.2300855450690475,0.9512688274779563,0.842231313176208,0.9564869288842197,0.170778,0
budget_control_v1,poisson,stable_sparse_obs32_noise020,baseline_budget,32,0.2,52,poisson_stable_sparse_obs32_noise020_baseline_budget_seed52,500,2048,256,0.09218460321426392,0.75024121852812,0.16954031586647034,0.09155726432800293,0.0008944272994995117,0.0008065036508392157,0.0015719735382224407,0.25123363415808775,0.9517534003148733,0.841685157692003,0.9562926819475159,0.170778,0
budget_control_v1,poisson,stable_sparse_obs32_noise020,baseline_budget,32,0.2,53,poisson_stable_sparse_obs32_noise020_baseline_budget_seed53,500,2048,256,0.10025200992822647,0.7689826366497203,0.14635777473449707,0.08655539900064468,0.0015579462051391602,0.0011453715043333785,0.001451831440869252,0.3470649079396902,0.9486985656381353,0.8243061942698413,0.9558608787512145,0.170778,0
budget_control_v1,poisson,stable_sparse_obs32_noise020,stronger_budget,32,0.2,51,poisson_stable_sparse_obs32_noise020_stronger_budget_seed51,1500,4096,512,0.02258460409939289,0.9230929041464496,0.06007278338074684,0.019619015976786613,7.2479248046875e-05,3.708648706008871e-05,0.0005745224758674215,0.8378622868388456,0.9578070411027718,0.9398802899888132,0.956821998655368,0.170778,0
budget_control_v1,poisson,stable_sparse_obs32_noise020,stronger_budget,32,0.2,52,poisson_stable_sparse_obs32_noise020_stronger_budget_seed52,1500,4096,512,0.016293464228510857,0.9214161572417521,0.06412763148546219,0.016315553337335587,1.9669532775878906e-06,0.0004462399050304489,0.00036143458216247756,0.828848144554783,0.9547906854657324,0.9451586780448664,0.9568671209016266,0.170778,0
budget_control_v1,poisson,stable_sparse_obs32_noise020,stronger_budget,32,0.2,53,poisson_stable_sparse_obs32_noise020_stronger_budget_seed53,1500,4096,512,0.03399887681007385,0.9182297716564004,0.06258690357208252,0.020628632977604866,0.00012606382369995117,4.582426946469173e-05,0.0004108724610227715,0.8293030022843596,0.9577559911483164,0.9290724145308898,0.9567876786620357,0.170778,0
budget_control_v1,stokes_poiseuille,near_boundary_obs12_noise020,baseline_budget,12,0.2,51,stokes_poiseuille_near_boundary_obs12_noise020_baseline_budget_seed51,500,2048,256,0.015503467060625553,0.938553609325127,0.03680667653679848,0.01723659411072731,6.270408630371094e-05,5.349421180307656e-05,0.0032462362275462154,0.8940709782791015,0.9575253907116034,0.9457898116402548,0.9568282566695487,0.040039,0
budget_control_v1,stokes_poiseuille,near_boundary_obs12_noise020,baseline_budget,12,0.2,52,stokes_poiseuille_near_boundary_obs12_noise020_baseline_budget_seed52,500,2048,256,0.04674496501684189,0.9207062169014928,0.045034635812044144,0.03587769716978073,7.706880569458008e-05,2.8164318144066965e-05,0.006233460184646951,0.8535902097482974,0.9575146022536183,0.9149009954614734,0.9568190601425817,0.040039,1
budget_control_v1,stokes_poiseuille,near_boundary_obs12_noise020,baseline_budget,12,0.2,53,stokes_poiseuille_near_boundary_obs12_noise020_baseline_budget_seed53,500,2048,256,0.031203705817461014,0.9293913661113538,0.042582493275403976,0.027193358168005943,2.7835369110107422e-05,5.0259714906305034e-05,0.00578005208014106,0.8714518798757765,0.9573886650624971,0.9318743470971153,0.9568505724100261,0.040039,0
budget_control_v1,stokes_poiseuille,near_boundary_obs12_noise020,stronger_budget,12,0.2,51,stokes_poiseuille_near_boundary_obs12_noise020_stronger_budget_seed51,1500,4096,512,0.023418406024575233,0.9373141399705459,0.033089619129896164,0.021504538133740425,6.556510925292969e-05,3.394279814153696e-05,0.0026112179424515295,0.8955819934690663,0.9577021465328721,0.9391459947349493,0.9568264251452958,0.040039,0
budget_control_v1,stokes_poiseuille,near_boundary_obs12_noise020,stronger_budget,12,0.2,52,stokes_poiseuille_near_boundary_obs12_noise020_stronger_budget_seed52,1500,4096,512,0.04504356160759926,0.9221856783144076,0.03657073527574539,0.039197035133838654,0.00015693902969360352,0.0008339603237451255,0.005131301912423479,0.8637494072462104,0.9512939105481044,0.9169315036627916,0.9567678918005239,0.040039,1
budget_control_v1,stokes_poiseuille,near_boundary_obs12_noise020,stronger_budget,12,0.2,53,stokes_poiseuille_near_boundary_obs12_noise020_stronger_budget_seed53,1500,4096,512,0.03864326328039169,0.9307409344093502,0.03670947626233101,0.025458786636590958,1.531839370727539e-05,7.551552144317523e-05,0.004960471868561927,0.8846620925096568,0.9572624881731786,0.924180576452978,0.9568585805015877,0.040039,0
budget_control_v1,stokes_poiseuille,boundary_obs8_noise0125,baseline_budget,8,0.125,51,stokes_poiseuille_boundary_obs8_noise0125_baseline_budget_seed51,500,2048,256,0.01733097806572914,0.9398193238445633,0.0364961177110672,0.011246676556766033,5.245208740234375e-06,4.056363852448975e-05,0.0021582604186675693,0.9004088628538934,0.9576841240661995,0.9443192843802075,0.9568650240779533,0.040039,0
budget_control_v1,stokes_poiseuille,boundary_obs8_noise0125,baseline_budget,8,0.125,52,stokes_poiseuille_boundary_obs8_noise0125_baseline_budget_seed52,500,2048,256,0.020420661196112633,0.938729795119173,0.03577212989330292,0.014612050727009773,2.8967857360839844e-05,3.665474601361746e-05,0.0008022276926349729,0.8985259488816921,0.9577959212003491,0.9417474625962619,0.9568498477983889,0.040039,0
budget_control_v1,stokes_poiseuille,boundary_obs8_noise0125,baseline_budget,8,0.125,53,stokes_poiseuille_boundary_obs8_noise0125_baseline_budget_seed53,500,2048,256,0.011698344722390175,0.938751453614937,0.039432648569345474,0.014432904310524464,2.849102020263672e-05,9.352365975992212e-05,0.002141583752669456,0.8921091280522347,0.9573116117865063,0.948734921721565,0.9568501528994419,0.040039,0
budget_control_v1,stokes_poiseuille,boundary_obs8_noise0125,stronger_budget,8,0.125,51,stokes_poiseuille_boundary_obs8_noise0125_stronger_budget_seed51,1500,4096,512,0.020765060558915138,0.9434946478807344,0.02492659166455269,0.011682468466460705,6.139278411865234e-06,9.51598441208248e-06,0.0018803434829698748,0.9177422209337578,0.9579179399803366,0.9414539784087852,0.9568644522000584,0.040039,0
budget_control_v1,stokes_poiseuille,boundary_obs8_noise0125,stronger_budget,8,0.125,52,stokes_poiseuille_boundary_obs8_noise0125_stronger_budget_seed52,1500,4096,512,0.025497328490018845,0.9422918751228189,0.024005791172385216,0.013735291548073292,3.9696693420410156e-05,2.5438090128618194e-06,0.0006067551034376551,0.9170004591311195,0.9580455603214528,0.9372784985586413,0.9568429824800618,0.040039,0
budget_control_v1,stokes_poiseuille,boundary_obs8_noise0125,stronger_budget,8,0.125,53,stokes_poiseuille_boundary_obs8_noise0125_stronger_budget_seed53,1500,4096,512,0.018913891166448593,0.9423654790077738,0.026625150814652443,0.015593172051012516,3.039836883544922e-05,9.480101638714305e-06,0.0016384448053365346,0.9116643980357775,0.9579332699320986,0.9430153155803492,0.9568489324828702,0.040039,0
budget_control_v1,stokes_poiseuille,failure_obs8_noise020,baseline_budget,8,0.2,51,stokes_poiseuille_failure_obs8_noise020_baseline_budget_seed51,500,2048,256,0.02713129296898842,0.9343226217579615,0.041161034256219864,0.015952136367559433,9.5367431640625e-06,5.988981311276905e-05,0.005291771399600963,0.8873030783008506,0.9573518124102585,0.9357733173227096,0.9568622789980274,0.040039,0
budget_control_v1,stokes_poiseuille,failure_obs8_noise020,baseline_budget,8,0.2,52,stokes_poiseuille_failure_obs8_noise020_baseline_budget_seed52,500,2048,256,0.030668215826153755,0.9315089048364127,0.04209091514348984,0.02182547003030777,7.30752944946289e-05,4.259313464655153e-05,0.0018217242278986837,0.8791238102949225,0.9576909018822318,0.9323992901273762,0.9568216170411199,0.040039,0
budget_control_v1,stokes_poiseuille,failure_obs8_noise020,baseline_budget,8,0.2,53,stokes_poiseuille_failure_obs8_noise020_baseline_budget_seed53,500,2048,256,0.01803438365459442,0.9333349817578105,0.04454510658979416,0.02027362957596779,6.383657455444336e-05,0.00012839749682896483,0.004959176485184623,0.8758830227205018,0.9568860354528249,0.943743337157845,0.9568275317000703,0.040039,0
budget_control_v1,stokes_poiseuille,failure_obs8_noise020,stronger_budget,8,0.2,51,stokes_poiseuille_failure_obs8_noise020_stronger_budget_seed51,1500,4096,512,0.037318628281354904,0.9323429433947704,0.03851405158638954,0.018906889483332634,1.9550323486328125e-05,1.849822145744113e-05,0.004602085176679314,0.8892244300024402,0.9576849511505428,0.925606519263321,0.9568558731627775,0.040039,0
