matrix_name,case,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_recal_mean,reliability_raw_recal_std,crosses_threshold_count,crosses_threshold_rate,cross_rate_ci_low,cross_rate_ci_high,cross_rate_ci_width
burgers_probability_boundary_v2_5seed,burgers,64,0.05,5,0.0317111585289239,0.0140466586800873,0.7923133311774826,0.1951950343764595,2,0.4,0.11762077423264794,0.769275718723987,0.6516549444913391
burgers_probability_boundary_v2_5seed,burgers,48,0.05,5,0.0343395598232746,0.0103242981249858,0.781597979594683,0.1338958908303624,3,0.6,0.23072428127601297,0.8823792257673521,0.6516549444913391
burgers_probability_boundary_v2_5seed,burgers,32,0.05,5,0.0289317265152931,0.0075468553032486,0.8155156226787914,0.1228464417494887,3,0.6,0.23072428127601297,0.8823792257673521,0.6516549444913391
burgers_probability_boundary_v2_5seed,burgers,24,0.05,5,0.0291671253740787,0.0049521294990663,0.8604154357715129,0.0944036056183214,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,16,0.05,5,0.0306348819285631,0.0060341539121275,0.8470220206429043,0.0833152766429809,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,64,0.1,5,0.0280374933034181,0.0029405802042583,0.8555200431127434,0.0685919236142546,3,0.6,0.23072428127601297,0.8823792257673521,0.6516549444913391
burgers_probability_boundary_v2_5seed,burgers,48,0.1,5,0.0356439441442489,0.0075526348627838,0.7964720075217234,0.0474826671211727,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,32,0.1,5,0.0472653001546859,0.0295408403620027,0.6645811321088315,0.3219849768430005,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,24,0.1,5,0.038563809916377,0.013920744090666,0.7565367823545364,0.1499745913442096,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,16,0.1,5,0.0445734202861785,0.0068457861287254,0.771630621577761,0.0305735945431984,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,64,0.125,5,0.035009603947401,0.0070759310497843,0.7888182370323837,0.079964505754096,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,48,0.125,5,0.0325017534196376,0.0042920490882473,0.8412370946766091,0.0514697810531754,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,32,0.125,5,0.0461420964449644,0.0101378859662389,0.6336290115832749,0.2348004261347412,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,24,0.125,5,0.0571597024798393,0.0273626276962451,0.5509096921267261,0.3189616448349174,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,16,0.125,5,0.0638088814914226,0.0159847828746406,0.5588089784766672,0.1427042008702438,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,64,0.15,5,0.0439530499279499,0.0092736937556289,0.5849085911967804,0.1297658305584012,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,48,0.15,5,0.0387793935835361,0.0096790407834662,0.761145501476799,0.0656087479329175,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,32,0.15,5,0.0504310093820095,0.010088253025554,0.5632198054360268,0.1205295127156428,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,24,0.15,5,0.0552450485527515,0.0168507837757041,0.474278021159732,0.2432298626041457,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,16,0.15,5,0.0676665477454662,0.0178635202754417,0.4644909650433682,0.0795449190405097,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,64,0.175,5,0.0490256287157535,0.0236204427609454,0.5243768413456771,0.2383788703946552,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,48,0.175,5,0.0403013929724693,0.0082029814402303,0.6826335454109489,0.0728686067164442,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,32,0.175,5,0.0723536692559719,0.0216387763548157,0.3103565991061532,0.1857578494298505,5,1.0,0.5655175352168254,1.0,0.43448246478317465
burgers_probability_boundary_v2_5seed,burgers,24,0.175,5,0.0732448630034923,0.037010420700678,0.4549134855767304,0.3064828070955999,4,0.8,0.3755346297625255,0.9637758913675698,0.5882412616050443
burgers_probability_boundary_v2_5seed,burgers,16,0.175,5,0.0789303839206695,0.0204359159363214,0.3359819926525583,0.1206039228153821,5,1.0,0.5655175352168254,1.0,0.43448246478317465
