matrix_name,case,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_recal_mean,reliability_raw_recal_std,crosses_threshold_count,crosses_threshold_rate
burgers_probability_boundary_v1,burgers,64,0.05,3,0.024517137557268143,0.0033933932956714233,0.8688900807798585,0.07463188803962588,1,0.3333333333333333
burgers_probability_boundary_v1,burgers,48,0.05,3,0.029875452319780987,0.010628987374999196,0.8477014259015516,0.12187905212361891,1,0.3333333333333333
burgers_probability_boundary_v1,burgers,32,0.05,3,0.031940714766581856,0.005923504690524385,0.7335110073580584,0.0905074732908576,2,0.6666666666666666
burgers_probability_boundary_v1,burgers,24,0.05,3,0.031127702444791794,0.0017123599965997121,0.828008789144148,0.10716860747662255,3,1.0
burgers_probability_boundary_v1,burgers,16,0.05,3,0.033655778194467224,0.00552776741712785,0.7854609666030383,0.04429004344700944,3,1.0
burgers_probability_boundary_v1,burgers,64,0.1,3,0.02689872371653716,0.0030471804244765364,0.8249071237895096,0.07396012417169014,1,0.3333333333333333
burgers_probability_boundary_v1,burgers,48,0.1,3,0.02994539091984431,0.004781558638625049,0.8132706000237455,0.05379579352236332,2,0.6666666666666666
burgers_probability_boundary_v1,burgers,32,0.1,3,0.05665655558307966,0.034573316791621116,0.5252905335603831,0.3517427180462896,3,1.0
burgers_probability_boundary_v1,burgers,24,0.1,3,0.03738001361489296,0.002394695057382678,0.7541275286188466,0.12179996953974138,3,1.0
burgers_probability_boundary_v1,burgers,16,0.1,3,0.041239265352487564,0.007078977335691338,0.7535495614854175,0.013965627555721978,3,1.0
burgers_probability_boundary_v1,burgers,64,0.125,3,0.03327922088404497,0.004940074862295813,0.7888453183805061,0.0799808240574825,3,1.0
burgers_probability_boundary_v1,burgers,48,0.125,3,0.030173542598883312,0.0035903846787167506,0.8260289022502546,0.05969273275322544,2,0.6666666666666666
burgers_probability_boundary_v1,burgers,32,0.125,3,0.04941120743751526,0.008752352260054434,0.533637248106545,0.2530610469943595,3,1.0
burgers_probability_boundary_v1,burgers,24,0.125,3,0.06310703108708064,0.02391953223111098,0.47916215445296323,0.32562263992951096,3,1.0
burgers_probability_boundary_v1,burgers,16,0.125,3,0.061005283147096634,0.02015365246641002,0.5125733086464586,0.1683786170771401,3,1.0
burgers_probability_boundary_v1,burgers,64,0.15,3,0.04603288074334463,0.011143721927142034,0.49923098791222886,0.09448443887501778,3,1.0
burgers_probability_boundary_v1,burgers,48,0.15,3,0.033457113429903984,0.005407311801016523,0.7772531567837823,0.06452561125313391,3,1.0
burgers_probability_boundary_v1,burgers,32,0.15,3,0.05388789623975754,0.009253349618201746,0.5756969184871934,0.06806698027681243,3,1.0
burgers_probability_boundary_v1,burgers,24,0.15,3,0.05515431985259056,0.008052193216191763,0.4919710603904431,0.18989438618518026,3,1.0
burgers_probability_boundary_v1,burgers,16,0.15,3,0.056462266792853676,0.014529896476320919,0.4868701299127313,0.09583015488042938,3,1.0
burgers_probability_boundary_v1,burgers,64,0.175,3,0.05275681366523107,0.029576205497757576,0.4840937644322561,0.2959237191791991,3,1.0
burgers_probability_boundary_v1,burgers,48,0.175,3,0.036697431157032646,0.0075304727217946855,0.6803941870171779,0.08776060657300822,3,1.0
burgers_probability_boundary_v1,burgers,32,0.175,3,0.08526438598831494,0.017517637962983643,0.19022861926963797,0.14049155431974875,3,1.0
burgers_probability_boundary_v1,burgers,24,0.175,3,0.07966287185748418,0.03586782618856036,0.4062456797851719,0.27547666115724234,3,1.0
burgers_probability_boundary_v1,burgers,16,0.175,3,0.06578604380289714,0.015841837456267105,0.4061372433046264,0.08878571574738688,3,1.0
