matrix_name,case,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_recal_mean,reliability_raw_recal_std,crosses_threshold_count,crosses_threshold_rate,cross_rate_ci_low,cross_rate_ci_high,cross_rate_ci_width
burgers_probability_boundary_v1,burgers,64,0.05,3,0.0245171375572681,0.0033933932956714,0.8688900807798585,0.0746318880396258,1,0.3333333333333333,0.06149194472039632,0.7923403991979523,0.730848454477556
burgers_probability_boundary_v1,burgers,48,0.05,3,0.0298754523197809,0.0106289873749991,0.8477014259015516,0.1218790521236189,1,0.3333333333333333,0.06149194472039632,0.7923403991979523,0.730848454477556
burgers_probability_boundary_v1,burgers,32,0.05,3,0.0319407147665818,0.0059235046905243,0.7335110073580584,0.0905074732908576,2,0.6666666666666666,0.20765960080204782,0.9385080552796038,0.730848454477556
burgers_probability_boundary_v1,burgers,24,0.05,3,0.0311277024447917,0.0017123599965997,0.828008789144148,0.1071686074766225,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,16,0.05,3,0.0336557781944672,0.0055277674171278,0.7854609666030383,0.0442900434470094,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,64,0.1,3,0.0268987237165371,0.0030471804244765,0.8249071237895096,0.0739601241716901,1,0.3333333333333333,0.06149194472039632,0.7923403991979523,0.730848454477556
burgers_probability_boundary_v1,burgers,48,0.1,3,0.0299453909198443,0.004781558638625,0.8132706000237455,0.0537957935223633,2,0.6666666666666666,0.20765960080204782,0.9385080552796038,0.730848454477556
burgers_probability_boundary_v1,burgers,32,0.1,3,0.0566565555830796,0.0345733167916211,0.5252905335603831,0.3517427180462896,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,24,0.1,3,0.0373800136148929,0.0023946950573826,0.7541275286188466,0.1217999695397413,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,16,0.1,3,0.0412392653524875,0.0070789773356913,0.7535495614854175,0.0139656275557219,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,64,0.125,3,0.0332792208840449,0.0049400748622958,0.7888453183805061,0.0799808240574825,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,48,0.125,3,0.0301735425988833,0.0035903846787167,0.8260289022502546,0.0596927327532254,2,0.6666666666666666,0.20765960080204782,0.9385080552796038,0.730848454477556
burgers_probability_boundary_v1,burgers,32,0.125,3,0.0494112074375152,0.0087523522600544,0.533637248106545,0.2530610469943595,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,24,0.125,3,0.0631070310870806,0.0239195322311109,0.4791621544529632,0.3256226399295109,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,16,0.125,3,0.0610052831470966,0.02015365246641,0.5125733086464586,0.1683786170771401,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,64,0.15,3,0.0460328807433446,0.011143721927142,0.4992309879122288,0.0944844388750177,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,48,0.15,3,0.0334571134299039,0.0054073118010165,0.7772531567837823,0.0645256112531339,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,32,0.15,3,0.0538878962397575,0.0092533496182017,0.5756969184871934,0.0680669802768124,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,24,0.15,3,0.0551543198525905,0.0080521932161917,0.4919710603904431,0.1898943861851802,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,16,0.15,3,0.0564622667928536,0.0145298964763209,0.4868701299127313,0.0958301548804293,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,64,0.175,3,0.052756813665231,0.0295762054977575,0.4840937644322561,0.2959237191791991,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,48,0.175,3,0.0366974311570326,0.0075304727217946,0.6803941870171779,0.0877606065730082,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,32,0.175,3,0.0852643859883149,0.0175176379629836,0.1902286192696379,0.1404915543197487,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,24,0.175,3,0.0796628718574841,0.0358678261885603,0.4062456797851719,0.2754766611572423,3,1.0,0.4385029682449546,1.0,0.5614970317550454
burgers_probability_boundary_v1,burgers,16,0.175,3,0.0657860438028971,0.0158418374562671,0.4061372433046264,0.0887857157473868,3,1.0,0.4385029682449546,1.0,0.5614970317550454
