probe_name,case,label,num_observation,noise_std,seed,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,threshold_rel_l2,crosses_threshold
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,71,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed71,0.031756650656461716,0.9002608468906631,0.0812898725271225,0.02294107712805271,0.0032529234886169434,0.00037443617431682846,0.003010245293458758,0.02668845998123288,1
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,72,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed72,0.022293029353022575,0.9225838820235935,0.060935597866773605,0.016842059791088104,0.0009925365447998047,0.00029325813984531574,0.0021695549689255043,0.02668845998123288,0
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,73,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed73,0.0234343484044075,0.9209653893453007,0.06467226892709732,0.011811022646725178,0.0013105273246765137,5.302849647716081e-05,0.0023726208577196147,0.02668845998123288,0
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,74,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed74,0.024808913469314575,0.9210718432012444,0.06286463886499405,0.015403729863464832,0.0018509626388549805,0.000126395230661279,0.0021993103211072253,0.02668845998123288,0
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,75,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed75,0.03165997937321663,0.9104644536752494,0.07012555748224258,0.022479776293039322,0.0015602707862854004,0.0007876544804038692,0.0024028697600655857,0.02668845998123288,1
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,76,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed76,0.030162734910845757,0.863414910437971,0.09221776574850082,0.02444017119705677,0.002834320068359375,0.006140347687859366,0.004169263391725698,0.02668845998123288,1
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,77,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed77,0.020822133868932724,0.9244391980524135,0.05934210121631622,0.016686635091900826,0.0004093050956726074,0.00016151765120530072,0.0023218257678480985,0.02668845998123288,0
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,78,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed78,0.015405486337840557,0.9335731864709003,0.04850054159760475,0.012744558975100517,0.00044220685958862305,0.00012464696290856304,0.0017427657504955284,0.02668845998123288,0
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,79,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed79,0.021395502611994743,0.9166368802264842,0.06867113709449768,0.01717768982052803,0.0006178617477416992,0.0002625695287778453,0.00250169019612803,0.02668845998123288,0
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,safe_edge_obs64_noise005,64,0.05,80,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs64_noise050_seed80,0.040194638073444366,0.888930083935662,0.08857233077287674,0.027211686596274376,0.003266632556915283,0.000435591770874238,0.004462776463558295,0.02668845998123288,1
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,transition_obs48_noise005,48,0.05,71,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs48_noise050_seed71,0.027321157976984978,0.9076299703889147,0.07315541058778763,0.021174386143684387,0.001429736614227295,0.0014422415638632002,0.0026307829390762906,0.02668845998123288,1
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,transition_obs48_noise005,48,0.05,72,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs48_noise050_seed72,0.022792266681790352,0.9219384795495977,0.06128844618797302,0.018106626346707344,0.0009465217590332031,0.0002780770737647235,0.002042781334865639,0.02668845998123288,0
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,transition_obs48_noise005,48,0.05,73,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs48_noise050_seed73,0.040948282927274704,0.8832812376495442,0.07231802493333817,0.016867568716406822,0.0032330751419067383,0.006120467220932582,0.004507403096706669,0.02668845998123288,1
burgers_boundary_keypoints_v5_transition_seed71_80,burgers,transition_obs48_noise005,48,0.05,74,burgers_burgers_boundary_keypoints_v5_transition_seed71_80_obs48_noise050_seed74,0.025123029947280884,0.9188939196339244,0.06517090648412704,0.016287971287965775,0.002190232276916504,0.00014235882765857298,0.002167594850961352,0.02668845998123288,0
