epoch,loss_total,objective_total,loss_data,loss_physics,loss_boundary,weight_data,weight_physics,weight_boundary
1.0,5.206905841827393,5.206905841827393,0.2173803150653839,0.5016278624534607,0.2531474828720093,10.0,1.0,10.0
2.0,4.461132049560547,4.461132049560547,0.1744372546672821,0.49925416707992554,0.22175052762031555,10.0,1.0,10.0
3.0,3.9227542877197266,3.9227542877197266,0.14006631076335907,0.49349817633628845,0.2028593122959137,10.0,1.0,10.0
4.0,3.5882773399353027,3.5882773399353027,0.11431518942117691,0.48532599210739136,0.19597993791103363,10.0,1.0,10.0
5.0,3.4503142833709717,3.4503142833709717,0.09728039801120758,0.47626081109046936,0.20012496411800385,10.0,1.0,10.0
6.0,3.478163480758667,3.478163480758667,0.08842510730028152,0.4683268368244171,0.2125585675239563,10.0,1.0,10.0
7.0,3.5910277366638184,3.5910277366638184,0.08553121238946915,0.4632798433303833,0.227243572473526,10.0,1.0,10.0
8.0,3.685037612915039,3.685037612915039,0.0851757675409317,0.46109476685523987,0.23721851408481598,10.0,1.0,10.0
9.0,3.705932140350342,3.705932140350342,0.0850333720445633,0.4605536460876465,0.23950448632240295,10.0,1.0,10.0
10.0,3.658869743347168,3.658869743347168,0.08464871346950531,0.4608740210533142,0.23515087366104126,10.0,1.0,10.0
11.0,3.5754430294036865,3.5754430294036865,0.08455207198858261,0.46188706159591675,0.22680352628231049,10.0,1.0,10.0
12.0,3.4884495735168457,3.4884495735168457,0.08540090918540955,0.4635685980319977,0.21708717942237854,10.0,1.0,10.0
13.0,3.4208860397338867,3.4208860397338867,0.08755947649478912,0.46576279401779175,0.2079528570175171,10.0,1.0,10.0
14.0,3.3832380771636963,3.3832380771636963,0.09098188579082489,0.4681696593761444,0.2005249410867691,10.0,1.0,10.0
15.0,3.374880313873291,3.374880313873291,0.09526069462299347,0.4704475998878479,0.19518257677555084,10.0,1.0,10.0
16.0,3.387417793273926,3.387417793273926,0.0997559055685997,0.47231414914131165,0.19175444543361664,10.0,1.0,10.0
17.0,3.4087042808532715,3.4087042808532715,0.10375408828258514,0.4735944867134094,0.18975690007209778,10.0,1.0,10.0
18.0,3.4268553256988525,3.4268553256988525,0.1066349670290947,0.4742216169834137,0.1886284053325653,10.0,1.0,10.0
19.0,3.43355131149292,3.43355131149292,0.10801349580287933,0.4742089807987213,0.1879207342863083,10.0,1.0,10.0
20.0,3.425705909729004,3.425705909729004,0.10780402272939682,0.4736167788505554,0.18740488588809967,10.0,1.0,10.0
21.0,3.405123472213745,3.405123472213745,0.10618743300437927,0.4725273549556732,0.18707217276096344,10.0,1.0,10.0
22.0,3.3768506050109863,3.3768506050109863,0.10352072864770889,0.47103849053382874,0.18706049025058746,10.0,1.0,10.0
23.0,3.347165107727051,3.347165107727051,0.10023815929889679,0.46926602721214294,0.18755176663398743,10.0,1.0,10.0
24.0,3.3217642307281494,3.3217642307281494,0.09676982462406158,0.46734634041786194,0.18867197632789612,10.0,1.0,10.0
25.0,3.304386615753174,3.304386615753174,0.09348337352275848,0.46542948484420776,0.19041234254837036,10.0,1.0,10.0
26.0,3.2959821224212646,3.2959821224212646,0.09064679592847824,0.46365997195243835,0.19258542358875275,10.0,1.0,10.0
27.0,3.294610023498535,3.294610023498535,0.08841130882501602,0.46215131878852844,0.19483456015586853,10.0,1.0,10.0
28.0,3.296205520629883,3.296205520629883,0.08681732416152954,0.4609658718109131,0.1967066526412964,10.0,1.0,10.0
