case,num_observation,noise_std,n_seed,analysis_threshold_rel_l2,baseline_q90_rel_l2,cross_count,cross_rate,wilson_low,wilson_high,wilson_width,condition_label
burgers,16,0.125,30,0.03787031248211858,0.03787031248211858,25,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.26227808134567465,"N=16, σ=0.125"
burgers,24,0.125,40,0.03787031248211858,0.03787031248211858,31,0.775,0.6249690325769,0.8768390867645925,0.2518700541876926,"N=24, σ=0.125"
burgers,32,0.1,40,0.03787031248211858,0.03787031248211858,14,0.35,0.22134528873176293,0.504941191627423,0.28359590289566006,"N=32, σ=0.100"
burgers,32,0.175,40,0.03787031248211858,0.03787031248211858,31,0.775,0.6249690325769,0.8768390867645925,0.2518700541876926,"N=32, σ=0.175"
burgers,48,0.05,40,0.03787031248211858,0.03787031248211858,11,0.275,0.16108016247667342,0.4283495580621056,0.26726939558543217,"N=48, σ=0.050"
burgers,64,0.05,40,0.03787031248211858,0.03787031248211858,5,0.125,0.05459500250945401,0.2611211983885109,0.20652619587905688,"N=64, σ=0.050"
burgers,64,0.15,40,0.03787031248211858,0.03787031248211858,25,0.625,0.4703243913730111,0.7577702083276672,0.2874458169546561,"N=64, σ=0.150"
burgers,128,0.0,30,0.03787031248211858,0.03787031248211858,3,0.1,0.03459988874733419,0.25621082579184085,0.22161093704450666,"N=128, σ=0.000"
fisher_kpp,16,0.05,40,0.0188607699237763,0.014486629795283052,9,0.225,0.12316091323540745,0.37503096742310016,0.2518700541876927,"N=16, σ=0.050"
fisher_kpp,16,0.3,30,0.0188607699237763,0.014486629795283052,30,1.0,0.8864866068260314,1.0,0.11351339317396858,"N=16, σ=0.300"
fisher_kpp,32,0.1,40,0.0188607699237763,0.014486629795283052,26,0.65,0.495058808372577,0.778654711268237,0.28359590289566006,"N=32, σ=0.100"
fisher_kpp,32,0.2,30,0.0188607699237763,0.014486629795283052,27,0.9,0.7437891742081593,0.9654001112526658,0.22161093704450652,"N=32, σ=0.200"
fisher_kpp,64,0.0,30,0.0188607699237763,0.014486629795283052,0,0.0,0.0,0.11351339317396873,0.11351339317396873,"N=64, σ=0.000"
fisher_kpp,64,0.3,30,0.0188607699237763,0.014486629795283052,28,0.9333333333333333,0.7867654163738309,0.9815229762087296,0.19475755983489873,"N=64, σ=0.300"
fisher_kpp,128,0.2,40,0.0188607699237763,0.014486629795283052,21,0.525,0.3749736210669248,0.670645298873211,0.2956716778062862,"N=128, σ=0.200"
fisher_kpp,128,0.3,30,0.0188607699237763,0.014486629795283052,28,0.9333333333333333,0.7867654163738309,0.9815229762087296,0.19475755983489873,"N=128, σ=0.300"
