matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_rms_score,boundary_rms_score,rel_l2_score,structure_error_score,loss_std_score,loss_ratio_score,physics_score,training_score,reference_score,structure_score,R_lin_split,dominant_dimension_split,crosses_threshold,split
coarse_v1,poisson,256,0.05,1.0,poisson_coarse_v1_obs256_noise005,0.1142033189535141,0.6749447297952708,0.340813010931015,0.1056961417198181,0.0012646913528442,0.0024365899276023,0.0020464428445284,0.043428763492297844,0.9551795191275303,0.652928636816395,0.06500878772365086,0.26573648038394276,0.7520041567541181,0.20367195543048214,0.447029012313445,0.652928636816395,0.06500878772365086,0.3421595980709933,structure_score,False,noise_holdout_odd
coarse_v1,poisson,128,0.05,0.5,poisson_coarse_v1_obs128_noise005,0.1148025393486023,0.6755330299473093,0.3317669332027435,0.1060333624482154,0.0012595653533935,0.0023422026436747,0.0019773989267674,0.37008542619217694,0.8562568872680433,0.3601380282537555,0.07057648139148881,0.5972076514098057,0.96229953326028,0.562928232596821,0.7580848529097016,0.3601380282537555,0.07057648139148881,0.4379318987879417,structure_score,False,noise_holdout_odd
coarse_v1,poisson,64,0.05,0.25,poisson_coarse_v1_obs64_noise005,0.1147088706493377,0.6751339166852781,0.3349900543689728,0.1065304577350616,0.0012440085411071,0.002400554674628,0.0019851101287673,0.1909087975199045,0.47639924572697184,0.4046477626050183,0.0902692909357759,0.3827308737621552,0.9526520919175362,0.3015771993057925,0.6038289224034765,0.4046477626050183,0.0902692909357759,0.3500807938125158,structure_score,False,noise_holdout_odd
coarse_v1,poisson,32,0.05,0.125,poisson_coarse_v1_obs32_noise005,0.1129774451255798,0.6798574874592289,0.3105725049972534,0.1064226105809211,0.0010619759559631,0.0019654433384345,0.0018975201529894,0.9957937821244126,0.5776632463350847,0.9569169435768522,0.6942143286374212,0.9975831473141366,0.9966793945517382,0.7584414735905997,0.9971311685430714,0.9569169435768522,0.6942143286374212,0.8516759785869861,structure_score,False,noise_holdout_odd
coarse_v1,poisson,16,0.05,0.0625,poisson_coarse_v1_obs16_noise005,0.1129641607403755,0.6767932519957376,0.3276512324810028,0.1067478209733963,0.0010963678359985,0.002417517899179,0.0020347192651732,0.65318048699043,0.2857523178299453,0.9580064602614008,0.5568754319656888,0.3248844008985312,0.813217897697926,0.43202758953428866,0.5140056512272542,0.9580064602614008,0.5568754319656888,0.6152287832471581,physics_score,False,noise_holdout_odd
coarse_v1,poisson,8,0.05,0.03125,poisson_coarse_v1_obs8_noise005,0.1140516549348831,0.6740389158687198,0.3407540917396545,0.1061516255140304,0.0010215044021606,0.0027354767114244,0.0020869765789757,0.044126843781119876,0.7920800482900735,0.7185653787185758,0.8199263439229197,0.0041440746793735515,0.4647279702118587,0.18695452001232268,0.043884705925317874,0.7185653787185758,0.8199263439229197,0.44233273714478405,training_score,False,noise_holdout_odd
coarse_v1,poisson,256,0.15,1.0,poisson_coarse_v1_obs256_noise015,0.1149826571345329,0.6744843430695433,0.3405102491378784,0.1057404428720474,0.001278817653656,0.0024288822991268,0.0021663322703306,0.047131280805727885,0.9474384012320488,0.28140883110063,0.051713797855679526,0.28880274188091043,0.06979698269693402,0.21131489614931925,0.14197732205492894,0.28140883110063,0.051713797855679526,0.17160371179013942,structure_score,False,noise_holdout_odd
coarse_v1,poisson,128,0.15,0.5,poisson_coarse_v1_obs128_noise015,0.1160626485943794,0.674858860809012,0.3309067785739898,0.1057966724038124,0.0013043880462646,0.0023198343835691,0.0020963264756194,0.4283970917664301,0.9357898111368109,0.042600394522644226,0.033939650408340696,0.6743749868135069,0.3941716283198585,0.6331584585201927,0.5155768484430455,0.042600394522644226,0.033939650408340696,0.3063188379735558,structure_score,False,noise_holdout_odd
coarse_v1,poisson,64,0.15,0.25,poisson_coarse_v1_obs64_noise015,0.1171570718288421,0.6736405363417454,0.3349549472332001,0.1062401160597801,0.0012816190719604,0.0023721256140958,0.0020646781028909,0.1924483544720282,0.7316511079251127,0.0048869246724990625,0.04940177449258051,0.48669697652074334,0.6333668432271403,0.3752399922287392,0.5552096249410099,0.0048869246724990625,0.04940177449258051,0.2461845790837072,reference_score,False,noise_holdout_odd
coarse_v1,poisson,32,0.15,0.125,poisson_coarse_v1_obs32_noise015,0.1149717420339584,0.6788404731555802,0.3094756305217743,0.1067467331886291,0.0010122656822204,0.0019134721352894,0.0019974724093885,0.9969129064846202,0.2865922699441468,0.2858749998632256,0.8422038859908365,0.9988867441185659,0.932156284943092,0.5345161670202729,0.9649448463391384,0.2858749998632256,0.8422038859908365,0.6568849748033683,reference_score,False,noise_holdout_odd
coarse_v1,poisson,16,0.15,0.0625,poisson_coarse_v1_obs16_noise015,0.1128442138433456,0.6771984479059888,0.3265943229198456,0.1086180135607719,0.0008187890052795,0.0023298861945351,0.0022098952900457,0.7175202800455024,0.0003402749722592457,0.9667178768528012,0.9933188363554146,0.6405746968126926,0.019191076951542037,0.015625434182381288,0.11087523754086434,0.9667178768528012,0.9933188363554146,0.5216343462328654,physics_score,False,noise_holdout_odd
coarse_v1,poisson,8,0.15,0.03125,poisson_coarse_v1_obs8_noise015,0.1131840497255325,0.6748104951749158,0.336963027715683,0.1080217808485031,0.0008383393287658,0.0027374939004344,0.0021132879372448,0.11893627774740298,0.0032312114885455134,0.936107542244856,0.99067391870349,0.0040215382040084836,0.2782518409534216,0.01960378195813881,0.03345146347665341,0.936107542244856,0.99067391870349,0.4949591765957846,physics_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,256,0.05,1.0,stokes_poiseuille_coarse_v1_obs256_noise005,0.0255116391927003,0.8634081827774497,0.1124824434518814,0.0248025562614202,4.2557716369628906e-05,0.0007547744747784,0.0013973612870597,0.9336019617675393,0.9374013409473027,0.9165046012005963,0.8933758922230355,0.9446890224064028,0.9203850162002856,0.9354997225397363,0.932457838827981,0.9165046012005963,0.8933758922230355,0.9194595136978372,structure_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,128,0.05,0.5,stokes_poiseuille_coarse_v1_obs128_noise005,0.0257506966590881,0.8605277537718823,0.1146158277988433,0.0243630651384592,4.5180320739746094e-05,0.0007821813864683,0.0014275877340848,0.07724845747742,0.9616471913026754,0.885998161809981,0.7520052819241871,0.6301562391944157,0.9149450434449334,0.27255414538330747,0.7593143799815927,0.885998161809981,0.7520052819241871,0.667467992274767,physics_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,64,0.05,0.25,stokes_poiseuille_coarse_v1_obs64_noise005,0.0263098925352096,0.8614030174068211,0.1135136485099792,0.0264145899564027,4.7087669372558594e-05,0.0007952219711084,0.0013749239208595,0.5415920789312405,0.6933253781331836,0.7760584976588217,0.5914985139271056,0.36265429660746856,0.9242156312743031,0.6127801668779264,0.5789393488729281,0.7760584976588217,0.5914985139271056,0.6398191318341955,training_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,32,0.05,0.125,stokes_poiseuille_coarse_v1_obs32_noise005,0.0246232524514198,0.8622598083839136,0.1134901195764541,0.0244947001338005,4.00543212890625e-05,0.0007878448864978,0.001199169980445,0.5555849801837911,0.9555292307349913,0.9753709081287102,0.9567217089140583,0.5141390005730354,0.948818460222368,0.7286135386629412,0.6984443964010125,0.9753709081287102,0.9567217089140583,0.8397876380266807,training_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,16,0.05,0.0625,stokes_poiseuille_coarse_v1_obs16_noise005,0.0284704007208347,0.8591095441586811,0.1145712062716484,0.0283949505537748,4.804134368896485e-05,0.0007582284675892,0.0012926188842676,0.0852419248023611,0.18139398354154132,0.13266246752010677,0.5001443695821277,0.9273982478137616,0.9368593981279787,0.12434778769503216,0.932116819004862,0.13266246752010677,0.5001443695821277,0.42231786095053214,physics_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,8,0.05,0.03125,stokes_poiseuille_coarse_v1_obs8_noise005,0.0313751585781574,0.8582905496597371,0.1148681864142417,0.0269611719995737,3.814697265625e-05,0.0007828257986189,0.0011205938417032,0.043670955482253616,0.5435542075053033,0.0022989129816531366,0.9788561101217379,0.6174385582845231,0.9571834034761036,0.15406989192621556,0.7687665059406259,0.0022989129816531366,0.9788561101217379,0.4759978552425581,reference_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,256,0.15,1.0,stokes_poiseuille_coarse_v1_obs256_noise015,0.0253044739365577,0.8639174479827569,0.1121238768100738,0.0247622579336166,4.351139068603516e-05,0.0007539612727751,0.0031393738310134,0.970816855949089,0.94011809338966,0.9367302660176816,0.8527220021670909,0.9481558576839789,0.15403931085114167,0.9553441744446877,0.3821691705215287,0.9367302660176816,0.8527220021670909,0.7817414032877472,training_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,128,0.15,0.5,stokes_poiseuille_coarse_v1_obs128_noise015,0.02517063729465,0.8609648226795776,0.1144221052527427,0.0238513648509979,4.756450653076172e-05,0.0007991397401763,0.0031314865649274,0.11762944988517209,0.9785838632217433,0.9472645800668655,0.5462103884990653,0.29041745901858546,0.15650429763736823,0.3392790613894116,0.21319376267924184,0.9472645800668655,0.5462103884990653,0.511486948158646,training_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,64,0.15,0.25,stokes_poiseuille_coarse_v1_obs64_noise015,0.0259935669600963,0.8622694908907323,0.1129566431045532,0.0259455684572458,3.9458274841308594e-05,0.0008127095766288,0.0026261171749888,0.818245390187872,0.7967005178904462,0.8454979129191804,0.9653386166715446,0.11561586804706035,0.3821858136761035,0.807401093710027,0.2102064333064875,0.8454979129191804,0.9653386166715446,0.7071110141518099,training_score,False,noise_holdout_odd
coarse_v1,stokes_poiseuille,32,0.15,0.125,stokes_poiseuille_coarse_v1_obs32_noise015,0.0241133961826562,0.8640331984489193,0.1121814996004104,0.0246010310947895,4.220008850097656e-05,0.0008123882003457,0.0022256162767654,0.96662988057703,0.9499184842470303,0.9880533360766881,0.9058762745167277,0.1184083569680299,0.616337111057692,0.9582377528492708,0.270147116695262,0.9880533360766881,0.9058762745167277,0.7805786200344871,training_score,False,noise_holdout_odd
