case,rel_l2_median,rel_l2_min,rel_l2_max,physics_rms_median,physics_rms_min,physics_rms_max,boundary_rms_median,boundary_rms_min,boundary_rms_max,structure_error_median,structure_error_min,structure_error_max,loss_std_median,loss_std_min,loss_std_max,loss_ratio_median,loss_ratio_min,loss_ratio_max
burgers,0.031481051817536354,0.0172600466758012,0.0821601822972297,0.06674430891871444,0.0609715618193149,0.0908048823475837,0.017178073525428703,0.0146148931235075,0.0261779185384511,0.0023538768291473,0.0002889037132263,0.0183374881744384,0.00029436624087935,8.987298365013809e-05,0.0070502657220864,0.00398480704972855,0.0010113576964498,0.0159233169831649
poisson,0.11421960219740865,0.1122380644083023,0.1186216175556182,0.33344946801662445,0.3091263175010681,0.3410215079784393,0.106296706944704,0.1054766699671745,0.1096661314368248,0.0012307167053222001,0.0007106065750122,0.0013275146484375,0.00238528161070105,0.0018917658855654,0.0027828797661297,0.0020742511876768004,0.0018975201529894,0.0023613374334189
stokes_poiseuille,0.0260292841121554,0.0241133961826562,0.0526181422173976,0.1140796802937984,0.1117435917258262,0.1262373477220535,0.02528309822082515,0.023629629984498,0.0424089320003986,4.470348358154297e-05,3.069639205932617e-05,0.0001107454299926,0.0007872648427468001,0.00073178196266,0.0008612325978595,0.0017725182040442,0.0010584982082097,0.0046622881907743
