matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
coarse_fisher_kpp_v1,fisher_kpp,256,0.0,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise000,0.012573846615850925,0.9484934076346245,0.018688661977648735,0.004912571050226688,0.00016182661056518555,8.900050864960396e-06,9.084725333743727e-05
coarse_fisher_kpp_v1,fisher_kpp,128,0.0,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise000,0.012805859558284283,0.9485019937146805,0.0185372494161129,0.004847194068133831,0.00017499923706054688,9.134639251782243e-06,8.930145612808988e-05
coarse_fisher_kpp_v1,fisher_kpp,64,0.0,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise000,0.0116400346159935,0.9492179350294463,0.017340566962957382,0.0040600476786494255,0.000156402587890625,4.1355911669935275e-06,7.045991161417816e-05
coarse_fisher_kpp_v1,fisher_kpp,32,0.0,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise000,0.012325855903327465,0.9486906476218706,0.018575496971607208,0.00432689068838954,0.000141143798828125,7.5642236299812085e-06,8.438318273075957e-05
coarse_fisher_kpp_v1,fisher_kpp,16,0.0,0.0625,fisher_kpp_coarse_fisher_kpp_v1_obs16_noise000,0.011915691196918488,0.9478073224455072,0.021271226927638054,0.005238549783825874,0.0001500844955444336,5.029327523742167e-06,0.00011216747607960992
coarse_fisher_kpp_v1,fisher_kpp,8,0.0,0.03125,fisher_kpp_coarse_fisher_kpp_v1_obs8_noise000,0.016161823645234108,0.9475320472431099,0.018923796713352203,0.005915184039622545,0.0001633167266845703,6.512370207938662e-06,0.00012051620136975743
coarse_fisher_kpp_v1,fisher_kpp,256,0.05,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise005,0.012246125377714634,0.9486902499576195,0.017741279676556587,0.005558248609304428,0.00014698505401611328,9.765288697991788e-06,0.00043238343136594323
coarse_fisher_kpp_v1,fisher_kpp,128,0.05,0.5,fisher_kpp_coarse_fisher_kpp_v1_obs128_noise005,0.013381621800363064,0.9477210173693682,0.020294180139899254,0.005649343132972717,0.00018781423568725586,8.790956251226395e-06,0.00046356139751355894
coarse_fisher_kpp_v1,fisher_kpp,64,0.05,0.25,fisher_kpp_coarse_fisher_kpp_v1_obs64_noise005,0.011176171712577343,0.9492154399638132,0.01711549237370491,0.004816737957298756,0.0001506805419921875,4.78185322763413e-06,0.0004637061490233343
coarse_fisher_kpp_v1,fisher_kpp,32,0.05,0.125,fisher_kpp_coarse_fisher_kpp_v1_obs32_noise005,0.013288319110870361,0.9475522121484482,0.020020578056573868,0.006982830818742514,0.0001589655876159668,1.1600247423610223e-05,0.0004423525268698908
coarse_fisher_kpp_v1,fisher_kpp,16,0.05,0.0625,fisher_kpp_coarse_fisher_kpp_v1_obs16_noise005,0.021828755736351013,0.9445221799273037,0.022993551567196846,0.00883968360722065,0.00017774105072021484,6.1721873922943465e-06,0.0003838406426141154
coarse_fisher_kpp_v1,fisher_kpp,8,0.05,0.03125,fisher_kpp_coarse_fisher_kpp_v1_obs8_noise005,0.022115349769592285,0.9454529113669017,0.02138528786599636,0.006266373675316572,0.00038361549377441406,7.3242880884346654e-06,0.00047351581019712405
coarse_fisher_kpp_v1,fisher_kpp,256,0.1,1.0,fisher_kpp_coarse_fisher_kpp_v1_obs256_noise010,0.012556503526866436,0.948552492472546,0.017390374094247818,0.006354665849357843,0.00014144182205200195,1.0825064463984502e-05,0.0014345206889710997
