probe_name,case,label,num_observation,noise_std,seed,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,threshold_rel_l2,crosses_threshold
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,41,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed41,0.02940024808049202,0.9142621186509524,0.064217709004879,0.019195057451725006,0.001506030559539795,0.0018112632483753602,0.0018635107943867394,0.02668845998123288,1
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,42,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed42,0.017328467220067978,0.9230001810953765,0.0627797469496727,0.015176752582192421,0.00028890371322631836,0.00016316555420153284,0.0010115885219787461,0.02668845998123288,0
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,43,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed43,0.026230596005916595,0.9042663864851281,0.07895928621292114,0.022274108603596687,0.0011461973190307617,0.0004844019220544384,0.0018442319204719348,0.02668845998123288,0
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,44,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed44,0.03304531052708626,0.9108414689263415,0.06059001013636589,0.01976044662296772,0.0018788576126098633,0.0032921279078387193,0.0020237266563950173,0.02668845998123288,1
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,45,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed45,0.018809206783771515,0.9273765308176851,0.05685129761695862,0.013585099950432777,0.0009099245071411133,0.00010930060592099975,0.0009930186920028355,0.02668845998123288,0
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,46,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed46,0.025395365431904793,0.9167531525627093,0.06746476143598557,0.01683308184146881,0.0016692876815795898,0.0002305708479982718,0.001748803826234141,0.02668845998123288,0
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,47,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed47,0.02095220610499382,0.9311560021209,0.050201937556266785,0.01441177912056446,0.00039780139923095703,7.228054991586337e-05,0.0010321643940943166,0.02668845998123288,0
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,48,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed48,0.05129266530275345,0.840741135891597,0.08422698825597763,0.026557164266705513,0.0048673152923583984,0.008726972970785531,0.005822237819641886,0.02668845998123288,1
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,49,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed49,0.017955178394913673,0.9261965736979162,0.058563072234392166,0.014464875683188438,0.00035053491592407227,0.00013617942059954036,0.0010626401644563356,0.02668845998123288,0
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,50,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed50,0.03738684952259064,0.9126511333842163,0.0675775334239006,0.0205801073461771,0.00287628173828125,0.00018412914535044777,0.0020253739923122636,0.02668845998123288,1
