matrix_name,case,num_observation,noise_std,seed,run_name,rel_l2,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,reliability_raw,reliability_raw_recal,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,threshold_rel_l2,crosses_threshold
probability_v2_fisher_kpp,fisher_kpp,32,0.0,41,fisher_kpp_probability_v2_fisher_kpp_obs32_noise000_seed41,0.012972433120012283,0.020357122644782066,0.007968627847731113,0.00015789270401000977,2.169833409425431e-05,0.0001888471236896433,0.9472967586990957,0.9066023396740451,0.9189186265623842,0.8109439177048119,0.9474600426546919,0.9490867717742926,0.018860769923776388,0
probability_v2_fisher_kpp,fisher_kpp,32,0.0,42,fisher_kpp_probability_v2_fisher_kpp_obs32_noise000_seed42,0.01232586707919836,0.018575498834252357,0.004326886963099241,0.00014132261276245117,7.5643624045013016e-06,8.438323007142405e-05,0.9486906167897743,0.949372161447371,0.951532478033809,0.9456621701996512,0.9498155484233847,0.9504784491326391,0.018860769923776388,0
probability_v2_fisher_kpp,fisher_kpp,32,0.0,43,fisher_kpp_probability_v2_fisher_kpp_obs32_noise000_seed43,0.01523806992918253,0.026687119156122208,0.00888858549296856,0.0002561807632446289,3.180415792303568e-05,0.00023409156336747598,0.9446008402376241,0.8317679406013154,0.865860445191386,0.5828111058106391,0.9383575913924628,0.940042620010774,0.018860769923776388,0
probability_v2_fisher_kpp,fisher_kpp,32,0.0,44,fisher_kpp_probability_v2_fisher_kpp_obs32_noise000_seed44,0.008485320955514908,0.01572454161942005,0.004236369393765926,5.501508712768555e-05,4.778787643365476e-06,0.00011089913097128309,0.9502127529650618,0.9585731533923818,0.9607228924744566,0.9545418072267812,0.9618659620158111,0.9571619518524785,0.018860769923776388,0
probability_v2_fisher_kpp,fisher_kpp,32,0.0,45,fisher_kpp_probability_v2_fisher_kpp_obs32_noise000_seed45,0.01072952151298523,0.016003042459487915,0.005857419688254595,0.00014412403106689453,1.0982399439657988e-05,0.00012006133783922476,0.949388145168044,0.9463875749916074,0.9510956918497673,0.9289991052654387,0.9552097779164742,0.9502457249347495,0.018860769923776388,0
probability_v2_fisher_kpp,fisher_kpp,16,0.0,41,fisher_kpp_probability_v2_fisher_kpp_obs16_noise000_seed41,0.013702057301998138,0.01990337297320366,0.008248216472566128,0.0001443624496459961,2.213405776585034e-05,0.0001902380809330138,0.9472316758003854,0.9040806008333149,0.9181066017139616,0.8033132754544956,0.9446766553317942,0.9502258708330078,0.018860769923776388,0
probability_v2_fisher_kpp,fisher_kpp,16,0.0,42,fisher_kpp_probability_v2_fisher_kpp_obs16_noise000_seed42,0.011915693059563637,0.021271228790283203,0.005238549318164587,0.00015026330947875977,5.029878040746714e-06,0.00011216740959682792,0.9478072920143625,0.9474452929370722,0.9349478044490641,0.9538436495066185,0.9512576346191431,0.9497320831734634,0.018860769923776388,0
probability_v2_fisher_kpp,fisher_kpp,16,0.0,43,fisher_kpp_probability_v2_fisher_kpp_obs16_noise000_seed43,0.020960310474038124,0.03159000724554062,0.009445452131330967,0.0004202127456665039,3.8499319204170236e-05,0.0002788819219247239,0.9414583279918088,0.7605888906269505,0.7981155378579716,0.41425174915580243,0.9084502926727771,0.9215379828212505,0.018860769923776388,1
probability_v2_fisher_kpp,fisher_kpp,16,0.0,44,fisher_kpp_probability_v2_fisher_kpp_obs16_noise000_seed44,0.009296094998717308,0.015274092555046082,0.004632234573364258,4.684925079345703e-05,4.815204624996773e-06,0.00010262652935277487,0.9501087522419649,0.9579356253346043,0.9599182047539302,0.9544979271759907,0.9595786513245782,0.957747718083918,0.018860769923776388,0
probability_v2_fisher_kpp,fisher_kpp,16,0.0,45,fisher_kpp_probability_v2_fisher_kpp_obs16_noise000_seed45,0.010997514240443707,0.016977651044726372,0.006320367567241192,0.00013458728790283203,1.2543656371055669e-05,0.00011237996532554789,0.9489843319381841,0.9424009977749269,0.9452497873808218,0.9189759707334448,0.9543444714056951,0.9510337615797458,0.018860769923776388,0
