case,mean_abs_cross_span,mean_relative_cross_span,mean_r_unreliable_span,mean_r_mean_span,abs_majority_disagreement_fraction,relative_majority_disagreement_fraction,r_majority_disagreement_fraction
burgers,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.33726104290572056,0.5,0.5,1.0
fisher_kpp,0.16666666666666666,0.41666666666666663,0.0,0.13822820795561708,0.25,0.5,0.5
poisson,0.0,0.0,0.6666666666666666,0.31763065476056274,0.0,0.0,1.0
stokes_poiseuille,0.4444444444444445,0.6666666666666666,0.3333333333333333,0.1454149636156203,0.6666666666666666,0.6666666666666666,0.3333333333333333
