matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
refine_burgers_v1,burgers,128,0.0,1.0,burgers_refine_burgers_v1_obs128_noise000,0.017328467220067978,0.9230001810953765,0.0627797469496727,0.015176752582192421,0.00028890371322631836,0.00016316555420153284,0.0010115885219787461
refine_burgers_v1,burgers,96,0.0,0.75,burgers_refine_burgers_v1_obs96_noise000,0.016275469213724136,0.909030117970844,0.05956554785370827,0.014939168468117714,0.00036400556564331055,0.004860481470090386,0.0015696276837206212
refine_burgers_v1,burgers,64,0.0,0.5,burgers_refine_burgers_v1_obs64_noise000,0.020824596285820007,0.920343986696583,0.061017539352178574,0.01466127298772335,0.00033295154571533203,0.001669436913993976,0.0013546717250856161
refine_burgers_v1,burgers,48,0.0,0.375,burgers_refine_burgers_v1_obs48_noise000,0.016938215121626854,0.9250019505089608,0.06042570248246193,0.014666620641946793,0.0003247857093811035,0.00014284693190383757,0.0010126135310222519
refine_burgers_v1,burgers,40,0.0,0.3125,burgers_refine_burgers_v1_obs40_noise000,0.017680363729596138,0.9233499241952839,0.06213023513555527,0.01548614539206028,0.0004678964614868164,0.0001483946655834311,0.0011365124627649755
refine_burgers_v1,burgers,32,0.0,0.25,burgers_refine_burgers_v1_obs32_noise000,0.018952030688524246,0.9230843567442614,0.06144976615905762,0.01545763947069645,0.0006632804870605469,0.000412765759696711,0.0010113576964498453
refine_burgers_v1,burgers,24,0.0,0.1875,burgers_refine_burgers_v1_obs24_noise000,0.023129943758249283,0.9222062369228972,0.06207909807562828,0.016021613031625748,0.0007109642028808594,6.879402032622858e-05,0.001238838850451707
refine_burgers_v1,burgers,16,0.0,0.125,burgers_refine_burgers_v1_obs16_noise000,0.05800121650099754,0.8962832692078604,0.06786604225635529,0.026020044460892677,0.007867515087127686,0.0029425462231637478,0.002965022805900812
refine_burgers_v1,burgers,12,0.0,0.09375,burgers_refine_burgers_v1_obs12_noise000,0.015403940342366695,0.9254995606749569,0.06021927297115326,0.014529452659189701,0.00045621395111083984,0.00012633698385141226,0.0011279432713790834
refine_burgers_v1,burgers,8,0.0,0.0625,burgers_refine_burgers_v1_obs8_noise000,0.017260046675801277,0.9176872419892983,0.06864107400178909,0.016526516526937485,0.00039762258529663086,0.00028668394041176526,0.0015326377999158416
