label,failure_rate,training_stability_recal_mean,training_stability_recal_std,rel_l2_mean,reliability_raw_recal_mean
failure_obs16_noise0125,1.0,0.802705145174641,0.12346387173446324,0.05571819934993977,0.5910844858252888
failure_obs32_noise0175,1.0,0.34048334625967586,0.23729357255214714,0.06036604791879648,0.41157880980172745
failure_obs64_noise015,1.0,0.562169090571386,0.24635970704251306,0.04417679756879801,0.6264993612147759
safe_clean_obs128_noise000,0.4,0.8047568207142458,0.302820010295334,0.027779609337449017,0.8519461715059293
safe_edge_obs64_noise005,0.4,0.8657874610340217,0.21118160495896873,0.029487360455095712,0.829221273434805
seed_sensitive_obs32_noise010,0.9,0.7348136227610796,0.33442503180926414,0.04054816700518126,0.7511393324630278
transition_obs24_noise0125,0.9,0.6327945539591779,0.28657481945728297,0.0548852130770683,0.5643921729434188
transition_obs48_noise005,0.7,0.7868834616433735,0.3109942643977894,0.03134452365338798,0.8264854868058038
