matrix_name,case,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_recal_mean,reliability_raw_recal_std,crosses_threshold_count,crosses_threshold_rate
probability_v2_stokes,stokes_poiseuille,16,0.0,5,0.011487925797700882,0.0030041964623887217,0.9964423109695806,0.0008598190990166592,0,0.0
probability_v2_stokes,stokes_poiseuille,12,0.0,5,0.011416434962302446,0.0033109593517210625,0.9963174587644914,0.000738983580682162,1,0.2
probability_v2_stokes,stokes_poiseuille,10,0.0,5,0.0109260318800807,0.001686328999707877,0.9963842395305703,0.000807312936346207,0,0.0
probability_v2_stokes,stokes_poiseuille,8,0.0,5,0.012783592566847801,0.003037457276575517,0.9962738038269144,0.0007976855977302782,1,0.2
probability_v2_stokes,stokes_poiseuille,16,0.05,5,0.013156832382082938,0.003243320916745086,0.9940363381742763,0.0020754860114463075,2,0.4
probability_v2_stokes,stokes_poiseuille,12,0.05,5,0.0138420682400465,0.005025644091089513,0.9943927206299272,0.0027834462002246023,1,0.2
probability_v2_stokes,stokes_poiseuille,10,0.05,5,0.013632422499358653,0.0031795726581246527,0.9951428444177722,0.0007982431405156412,2,0.4
probability_v2_stokes,stokes_poiseuille,8,0.05,5,0.017200511321425437,0.0029816797310777948,0.9942832619211617,0.0016614843930631033,4,0.8
probability_v2_stokes,stokes_poiseuille,16,0.1,5,0.01709028836339712,0.004297471876400003,0.9792365275637953,0.008828634174958523,3,0.6
probability_v2_stokes,stokes_poiseuille,12,0.1,5,0.019804472103714943,0.006352207142063909,0.9819464316766121,0.01616745073294577,3,0.6
probability_v2_stokes,stokes_poiseuille,10,0.1,5,0.018585501797497274,0.004414036488747242,0.9879616904340867,0.005073122196995104,4,0.8
probability_v2_stokes,stokes_poiseuille,8,0.1,5,0.023549005389213562,0.00542197419911608,0.9807241424780881,0.010781547170728628,4,0.8
probability_v2_stokes,stokes_poiseuille,16,0.125,5,0.019527447409927845,0.005022949264104306,0.950942425489641,0.021995111207244483,3,0.6
probability_v2_stokes,stokes_poiseuille,12,0.125,5,0.023357156850397586,0.0071613288930394295,0.9613694639981474,0.03607496632337796,4,0.8
probability_v2_stokes,stokes_poiseuille,10,0.125,5,0.021479173004627226,0.004956752642436343,0.9764698337606684,0.013547226960479884,5,1.0
probability_v2_stokes,stokes_poiseuille,8,0.125,5,0.027113399654626846,0.006718229246501444,0.9563596765255221,0.028939335267881183,4,0.8
probability_v2_stokes,stokes_poiseuille,16,0.15,5,0.02218054160475731,0.0058180650388219,0.8839117756889963,0.05103734243346283,5,1.0
probability_v2_stokes,stokes_poiseuille,12,0.15,5,0.027157397568225862,0.008066394754508611,0.9170259589202215,0.07375411715985897,5,1.0
probability_v2_stokes,stokes_poiseuille,10,0.15,5,0.024536018073558808,0.0054847318770906124,0.949741222167355,0.03367151811960104,5,1.0
probability_v2_stokes,stokes_poiseuille,8,0.15,5,0.03085464648902416,0.007984439034529384,0.9020891708685723,0.07046117213692081,5,1.0
probability_v2_stokes,stokes_poiseuille,16,0.175,5,0.024999208375811578,0.006660243315519382,0.7778215880415305,0.08542638096383817,5,1.0
probability_v2_stokes,stokes_poiseuille,12,0.175,5,0.03117750324308872,0.009046543407606395,0.8430164570528488,0.1296614280824172,5,1.0
probability_v2_stokes,stokes_poiseuille,10,0.175,5,0.02771727629005909,0.006032368364447001,0.8934334209167528,0.07274705556218113,5,1.0
probability_v2_stokes,stokes_poiseuille,8,0.175,5,0.03474564515054226,0.009235397514580142,0.8119603524057917,0.13473415626773896,5,1.0
probability_v2_stokes,stokes_poiseuille,16,0.2,5,0.027942942827939986,0.0075345682685777704,0.6734541958551836,0.09743989690026073,5,1.0
probability_v2_stokes,stokes_poiseuille,12,0.2,5,0.03541834205389023,0.01008746042181882,0.7524138396546763,0.1781790730510041,5,1.0
probability_v2_stokes,stokes_poiseuille,10,0.2,5,0.03099414221942425,0.006601316088208019,0.8060634763799723,0.11674371516701172,5,1.0
probability_v2_stokes,stokes_poiseuille,8,0.2,5,0.038760970905423166,0.01048274308223905,0.7045187820782473,0.1951023003196476,5,1.0
