suite_name,case,label,variant,strategy,seed,num_observation,noise_std,run_name,rel_l2,threshold_rel_l2,crosses_threshold,reliability_raw_recal,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
variant_robustness_adaptive_base_v1,poisson,safe_obs256_noise000,adaptive_rar_v1,baseline,41,256,0.0,poisson_variant_robustness_adaptive_base_v1_safe_obs256_noise000_adaptive_rar_v1_seed41,0.12191708385944366,0.1707783825695514,0,0.46298031448276705,0.999994513395696,5.031733961308299e-07,0.003059446506221796,0.8488667948557542,0.20631657540798187,0.10089348256587982,0.0010755062103271484,0.010398841219110964,0.0022282559447748466
variant_robustness_adaptive_base_v1,poisson,safe_obs256_noise000,adaptive_rar_v1,baseline,42,256,0.0,poisson_variant_robustness_adaptive_base_v1_safe_obs256_noise000_adaptive_rar_v1_seed42,0.11721045523881912,0.1707783825695514,0,0.5456801994614007,0.9998747253649602,4.005520916113704e-07,0.23251484022277488,0.9503308317057758,0.24432982504367828,0.10266069322824478,0.0009291172027587891,0.01225445966675461,0.0022635884269314606
variant_robustness_adaptive_base_v1,poisson,safe_obs256_noise000,adaptive_rar_v1,baseline,43,256,0.0,poisson_variant_robustness_adaptive_base_v1_safe_obs256_noise000_adaptive_rar_v1_seed43,0.11913223564624786,0.1707783825695514,0,0.35022327533138786,0.9994952353449075,3.1906690582823713e-08,0.04439319619416804,0.35700463787978537,0.2638964354991913,0.10342120379209518,0.0013518929481506348,0.019823392850555604,0.002586189636059823
variant_robustness_adaptive_base_v1,poisson,degraded_obs8_noise020,adaptive_rar_v1,baseline,41,8,0.2,poisson_variant_robustness_adaptive_base_v1_degraded_obs8_noise020_adaptive_rar_v1_seed41,0.1336475908756256,0.1707783825695514,0,0.4889732327668529,0.9645291497691749,6.065064207467993e-07,3.282751488444436e-08,0.9913631419643009,0.20906317234039307,0.1059269830584526,0.0007151365280151367,0.009584369263566091,0.002194956498379005
variant_robustness_adaptive_base_v1,poisson,degraded_obs8_noise020,adaptive_rar_v1,baseline,42,8,0.2,poisson_variant_robustness_adaptive_base_v1_degraded_obs8_noise020_adaptive_rar_v1_seed42,0.12223966419696808,0.1707783825695514,0,0.49018838978365775,0.9837253403111277,2.1311294279830564e-07,0.0022351682091047795,0.9747928375014558,0.2286459356546402,0.10546622425317764,0.0008450746536254883,0.015291923375242385,0.002349290633208197
variant_robustness_adaptive_base_v1,poisson,degraded_obs8_noise020,adaptive_rar_v1,baseline,43,8,0.2,poisson_variant_robustness_adaptive_base_v1_degraded_obs8_noise020_adaptive_rar_v1_seed43,0.13374385237693787,0.1707783825695514,0,0.24925437435055642,0.9930080159754441,2.4623636179339052e-09,2.9884620482808155e-08,0.004009449079797515,0.27485543489456177,0.10496290773153305,0.001940310001373291,0.020772579510151483,0.0029020405940495954
variant_robustness_adaptive_base_v1,stokes_poiseuille,safe_obs64_noise000,adaptive_rar_v1,baseline,41,64,0.0,stokes_poiseuille_variant_robustness_adaptive_base_v1_safe_obs64_noise000_adaptive_rar_v1_seed41,0.013674262911081314,0.0400393344461917,0,0.9955625794037948,0.9999180045368917,0.9907980481825541,0.9967602142728343,0.9947740506228988,0.0434112548828125,0.012295559979975224,8.225440979003906e-06,0.0004086717971837829,0.0005446451610001225
variant_robustness_adaptive_base_v1,stokes_poiseuille,safe_obs64_noise000,adaptive_rar_v1,baseline,42,64,0.0,stokes_poiseuille_variant_robustness_adaptive_base_v1_safe_obs64_noise000_adaptive_rar_v1_seed42,0.02914237231016159,0.0400393344461917,0,0.49610370374846974,0.9160664817992588,0.1476618864326964,0.9035435758950736,0.017142870866850134,0.08688446879386902,0.028984354808926582,0.0001329183578491211,0.0011487992757505435,0.00153325719058249
variant_robustness_adaptive_base_v1,stokes_poiseuille,safe_obs64_noise000,adaptive_rar_v1,baseline,43,64,0.0,stokes_poiseuille_variant_robustness_adaptive_base_v1_safe_obs64_noise000_adaptive_rar_v1_seed43,0.024426450952887535,0.0400393344461917,0,0.9807169764178759,0.9948951429863694,0.9690416722357993,0.9644906736649673,0.9944404167843673,0.06119872257113457,0.022074783220887184,9.059906005859375e-06,0.0004506280338733889,0.0013533831721369409
variant_robustness_adaptive_base_v1,stokes_poiseuille,critical_obs8_noise0125,adaptive_rar_v1,baseline,41,8,0.125,stokes_poiseuille_variant_robustness_adaptive_base_v1_critical_obs8_noise0125_adaptive_rar_v1_seed41,0.036142781376838684,0.0400393344461917,0,0.8186911010478154,0.9990725604983214,0.9704422241998326,0.6585774102622196,0.6466722092308878,0.05479322001338005,0.018030133098363876,7.051229476928711e-05,0.00040416387575736477,0.0013226703516348844
variant_robustness_adaptive_base_v1,stokes_poiseuille,critical_obs8_noise0125,adaptive_rar_v1,baseline,42,8,0.125,stokes_poiseuille_variant_robustness_adaptive_base_v1_critical_obs8_noise0125_adaptive_rar_v1_seed42,0.038669027388095856,0.0400393344461917,0,0.41512158416089934,0.6682015209882071,0.04017285356648127,0.5216580586125862,0.4304539034763228,0.08480667322874069,0.03339620679616928,8.237361907958984e-05,0.0012866040098907293,0.002119136323183719
variant_robustness_adaptive_base_v1,stokes_poiseuille,critical_obs8_noise0125,adaptive_rar_v1,baseline,43,8,0.125,stokes_poiseuille_variant_robustness_adaptive_base_v1_critical_obs8_noise0125_adaptive_rar_v1_seed43,0.043004147708415985,0.0400393344461917,1,0.7256762595693755,0.9784912118304442,0.6677986331047361,0.2907130831186916,0.9657021102236301,0.05564850568771362,0.025532182306051254,3.3855438232421875e-05,0.0003879958648829955,0.0032678205051183246
variant_robustness_adaptive_base_v1,stokes_poiseuille,failure_obs8_noise0175,adaptive_rar_v1,baseline,41,8,0.175,stokes_poiseuille_variant_robustness_adaptive_base_v1_failure_obs8_noise0175_adaptive_rar_v1_seed41,0.044351816177368164,0.0400393344461917,1,0.5908983855091332,0.9972336216894832,0.9292343720255838,0.232161547796504,0.20496400052496178,0.056765127927064896,0.02061888761818409,9.679794311523438e-05,0.00037888143105300294,0.0019315094095000076
variant_robustness_adaptive_base_v1,stokes_poiseuille,failure_obs8_noise0175,adaptive_rar_v1,baseline,42,8,0.175,stokes_poiseuille_variant_robustness_adaptive_base_v1_failure_obs8_noise0175_adaptive_rar_v1_seed42,0.04594936594367027,0.0400393344461917,1,0.24892024920946676,0.22801644089077244,0.5097015223634893,0.17410965765978056,0.08385337592382466,0.08469979465007782,0.03974847123026848,0.00011068582534790039,0.0009419219737209158,0.0031139586739041066
