matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
refine_stokes_v1,stokes_poiseuille,64,0.0,1.0,stokes_poiseuille_refine_stokes_v1_obs64_noise000,0.026692889630794525,0.8606852987076161,0.11392200738191605,0.02685162052512169,5.412101745605469e-05,0.0007886169726295984,0.001208805046107668
refine_stokes_v1,stokes_poiseuille,32,0.0,0.5,stokes_poiseuille_refine_stokes_v1_obs32_noise000,0.025256602093577385,0.8611141055961961,0.11423735320568085,0.024602970108389854,3.921985626220703e-05,0.0007778061286359589,0.0010687770024838306
refine_stokes_v1,stokes_poiseuille,24,0.0,0.375,stokes_poiseuille_refine_stokes_v1_obs24_noise000,0.026436973363161087,0.8592681157334441,0.11497319489717484,0.02675354853272438,4.839897155761719e-05,0.0008312735239889345,0.0011119086021443227
refine_stokes_v1,stokes_poiseuille,16,0.0,0.25,stokes_poiseuille_refine_stokes_v1_obs16_noise000,0.029774434864521027,0.8585358076556335,0.11477356404066086,0.02857217565178871,4.976987838745117e-05,0.0007354579628318377,0.0011438478279222923
refine_stokes_v1,stokes_poiseuille,12,0.0,0.1875,stokes_poiseuille_refine_stokes_v1_obs12_noise000,0.030384788289666176,0.8553892002831258,0.11661618202924728,0.029340652748942375,5.8710575103759766e-05,0.0008964304031822551,0.0011254435688108884
refine_stokes_v1,stokes_poiseuille,10,0.0,0.15625,stokes_poiseuille_refine_stokes_v1_obs10_noise000,0.028197262436151505,0.8577934996085439,0.11576361209154129,0.026455726474523544,4.0650367736816406e-05,0.0008630698494685322,0.001092489322178583
refine_stokes_v1,stokes_poiseuille,8,0.0,0.125,stokes_poiseuille_refine_stokes_v1_obs8_noise000,0.027135375887155533,0.8628308597519977,0.11237898468971252,0.02569175325334072,3.069639205932617e-05,0.0008257696732966787,0.0010584982082097558
refine_stokes_v1,stokes_poiseuille,6,0.0,0.09375,stokes_poiseuille_refine_stokes_v1_obs6_noise000,0.031035425141453743,0.840602163470792,0.1275539994239807,0.027757208794355392,8.26120376586914e-05,0.000986345668401111,0.0012665237995093737
refine_stokes_v1,stokes_poiseuille,64,0.05,1.0,stokes_poiseuille_refine_stokes_v1_obs64_noise005,0.026309892535209656,0.8614030174068211,0.11351364850997925,0.02641458995640278,4.7087669372558594e-05,0.0007952219711084132,0.0013749239208595554
refine_stokes_v1,stokes_poiseuille,32,0.05,0.5,stokes_poiseuille_refine_stokes_v1_obs32_noise005,0.02462325245141983,0.8622598083839136,0.11349011957645416,0.024494700133800507,4.00543212890625e-05,0.0007878448864978085,0.0011991699804450898
refine_stokes_v1,stokes_poiseuille,24,0.05,0.375,stokes_poiseuille_refine_stokes_v1_obs24_noise005,0.026611056178808212,0.860479248057789,0.11396335065364838,0.027072595432400703,5.710124969482422e-05,0.0008433377035975148,0.0012483687476885549
refine_stokes_v1,stokes_poiseuille,16,0.05,0.25,stokes_poiseuille_refine_stokes_v1_obs16_noise005,0.028470400720834732,0.8591095441586811,0.11457120627164841,0.028394950553774834,4.8041343688964844e-05,0.000758228467589253,0.0012926188842676235
refine_stokes_v1,stokes_poiseuille,12,0.05,0.1875,stokes_poiseuille_refine_stokes_v1_obs12_noise005,0.030664140358567238,0.8542932653868425,0.11725787818431854,0.029786910861730576,6.431341171264648e-05,0.0009225943262745992,0.001282292417411091
refine_stokes_v1,stokes_poiseuille,10,0.05,0.15625,stokes_poiseuille_refine_stokes_v1_obs10_noise005,0.028521087020635605,0.8558252722330733,0.11712511628866196,0.026480915024876595,3.9517879486083984e-05,0.0008851803626608798,0.0013131974281063625
refine_stokes_v1,stokes_poiseuille,8,0.05,0.125,stokes_poiseuille_refine_stokes_v1_obs8_noise005,0.031375158578157425,0.8582905496597371,0.11486818641424179,0.026961171999573708,3.814697265625e-05,0.0007828257986189307,0.0011205938417032158
refine_stokes_v1,stokes_poiseuille,6,0.05,0.09375,stokes_poiseuille_refine_stokes_v1_obs6_noise005,0.03461023047566414,0.8369227785442053,0.1298021525144577,0.026928208768367767,6.717443466186523e-05,0.0009476259192218387,0.00139368460059371
refine_stokes_v1,stokes_poiseuille,64,0.1,1.0,stokes_poiseuille_refine_stokes_v1_obs64_noise010,0.026065001264214516,0.8619127146076953,0.11320897191762924,0.02610146626830101,4.220008850097656e-05,0.0008034301461450287,0.0018478524621000434
refine_stokes_v1,stokes_poiseuille,32,0.1,0.5,stokes_poiseuille_refine_stokes_v1_obs32_noise010,0.02423373982310295,0.863273829022989,0.11277657747268677,0.02449013851583004,4.118680953979492e-05,0.0007990313475031135,0.0015844877774224347
refine_stokes_v1,stokes_poiseuille,24,0.1,0.375,stokes_poiseuille_refine_stokes_v1_obs24_noise010,0.027467332780361176,0.8612485727707135,0.11306127160787582,0.027897793799638748,6.771087646484375e-05,0.0008605043541169264,0.0016381005742660683
refine_stokes_v1,stokes_poiseuille,16,0.1,0.25,stokes_poiseuille_refine_stokes_v1_obs16_noise010,0.0278477743268013,0.8591402992454706,0.11452231556177139,0.028874199837446213,5.7816505432128906e-05,0.0007866847989958498,0.001697183945988439
refine_stokes_v1,stokes_poiseuille,12,0.1,0.1875,stokes_poiseuille_refine_stokes_v1_obs12_noise010,0.03207016736268997,0.8521752636151345,0.11827613413333893,0.031118322163820267,7.05718994140625e-05,0.0009581446585461243,0.0016465883511831056
refine_stokes_v1,stokes_poiseuille,10,0.1,0.15625,stokes_poiseuille_refine_stokes_v1_obs10_noise010,0.0303865447640419,0.8529476917672044,0.11858037114143372,0.02831401117146015,3.838539123535156e-05,0.0009086700864232867,0.0018614234360624063
