case,label,variant,n_seed,rel_l2_mean,rel_l2_std,cross_rate,reliability_raw_recal_mean,reliability_raw_recal_std,physics_consistency_recal_mean,training_stability_recal_mean,numerical_accuracy_recal_mean,structural_stability_recal_mean
fisher_kpp,safe_obs64_noise000,baseline,3,0.013094793384273848,0.0018622311029319078,0,0.9064679725884948,0.04121046791848943,0.9233094186161406,0.8101365467931192,0.9465561943059245,0.9458697306387946
fisher_kpp,safe_obs64_noise000,capacity_v1,3,0.01003119225303332,0.000848152219464765,0,0.9547197289417417,0.00507971700059672,0.9604683121370973,0.9505475436213509,0.9573157818860423,0.9505472781224766
fisher_kpp,safe_obs64_noise000,weight_balanced_v2,3,0.01640141475945711,0.002055607773546429,0,0.8469636635924774,0.08033973412456388,0.9287463552226587,0.5917425529294943,0.9325059841246409,0.934859762093116
fisher_kpp,edge_obs16_noise005,baseline,3,0.01990067431082328,0.004592487808171072,0.6666666666666666,0.8591512612293323,0.06984675449143417,0.8451148797057786,0.7528214291937242,0.9111684890591502,0.9275002469586761
fisher_kpp,edge_obs16_noise005,capacity_v1,3,0.016054126744469006,0.00262919445104304,0,0.9335827974278056,0.018094237715663347,0.9187337028047785,0.9466181895630686,0.9337378842926706,0.935241413050705
fisher_kpp,edge_obs16_noise005,weight_balanced_v2,3,0.017489879081646603,0.003270969880808159,0.3333333333333333,0.8455845951129404,0.07317420210954177,0.9138106221915436,0.6112455772099201,0.9260833577132248,0.9311988233370727
fisher_kpp,transition_obs128_noise020,baseline,3,0.02134247620900472,0.0020294857136840014,0.6666666666666666,0.8453032221546412,0.025721058336371134,0.8267974095378493,0.7224773202012127,0.9052641621678127,0.9266739967116897
fisher_kpp,transition_obs128_noise020,capacity_v1,3,0.019238668183485668,0.0021842486546935548,0.6666666666666666,0.8412265091470937,0.06125828390629572,0.8724444821099807,0.6385856413589921,0.917769784040788,0.9361061290786141
fisher_kpp,transition_obs128_noise020,weight_balanced_v2,3,0.018900887419780094,0.002662273635526837,0.6666666666666666,0.8299283751101807,0.09052045418674681,0.9033811808984629,0.5674880308616219,0.9192838541620968,0.929560434518541
fisher_kpp,failure_obs16_noise030,baseline,3,0.07543784628311793,0.027942178741471115,1,0.24470200325933664,0.21144920662991973,0.19565955062742238,0.2576321983505882,0.2836062855519557,0.24190997850738022
fisher_kpp,failure_obs16_noise030,capacity_v1,3,0.0771239660680294,0.02570304406207368,1,0.18798873802978236,0.21499000809979407,0.13527065649424952,0.11552567105604053,0.24972912748008302,0.2514294970887564
fisher_kpp,failure_obs16_noise030,weight_balanced_v2,3,0.04592402217288812,0.01656974090694046,1,0.5297724551436606,0.1166092395091568,0.5027900629517141,0.49409978023418394,0.5827163496715694,0.5394836277171746
