matrix_name,case,num_observation,noise_std,seed,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
coarse_v2,poisson,256,0.0,42,1.0,poisson_coarse_v2_obs256_noise000_seed42,0.09985329955816269,0.7246072179431939,0.1995736062526703,0.09237643331289291,0.0009897351264953613,0.0008330107681612469,0.0012172246457808737
coarse_v2,poisson,128,0.0,42,0.5,poisson_coarse_v2_obs128_noise000_seed42,0.099805548787117,0.7253605850063327,0.19830061495304108,0.09259147942066193,0.0009595751762390137,0.0008189087213822208,0.001186281589636201
coarse_v2,poisson,64,0.0,42,0.25,poisson_coarse_v2_obs64_noise000_seed42,0.09913300722837448,0.7266621084479361,0.19654080271720886,0.09300892800092697,0.0009248852729797363,0.0008258833353222514,0.0011899865374065018
coarse_v2,poisson,32,0.0,42,0.125,poisson_coarse_v2_obs32_noise000_seed42,0.09617564082145691,0.729441304389149,0.19536122679710388,0.09122107177972794,0.0008688569068908691,0.000863438935728089,0.0011555070733710756
coarse_v2,poisson,16,0.0,42,0.0625,poisson_coarse_v2_obs16_noise000_seed42,0.09800992906093597,0.7289366814674216,0.1939726173877716,0.09200599044561386,0.0009680986404418945,0.0009229028592678578,0.0011991345737708478
coarse_v2,poisson,8,0.0,42,0.03125,poisson_coarse_v2_obs8_noise000_seed42,0.09787004441022873,0.7299928414306733,0.19335788488388062,0.09034476429224014,0.0008026957511901855,0.0008887759696148306,0.0011718700529966576
coarse_v2,poisson,256,0.05,42,1.0,poisson_coarse_v2_obs256_noise050_seed42,0.10029245913028717,0.724451475948308,0.19939938187599182,0.09244618564844131,0.0009969472885131836,0.0008290432714129458,0.0012267700754109653
coarse_v2,poisson,128,0.05,42,0.5,poisson_coarse_v2_obs128_noise050_seed42,0.10054723918437958,0.7251241479225569,0.198014497756958,0.09257318079471588,0.0009865760803222656,0.0008149019058992175,0.0011938288678275402
coarse_v2,poisson,64,0.05,42,0.25,poisson_coarse_v2_obs64_noise050_seed42,0.10034462064504623,0.7261015801058054,0.19638808071613312,0.09295666217803955,0.0009424090385437012,0.0008207607955509702,0.0011877625315355358
coarse_v2,poisson,32,0.05,42,0.125,poisson_coarse_v2_obs32_noise050_seed42,0.09708546102046967,0.728797405501485,0.19556531310081482,0.09140025824308395,0.0008410215377807617,0.0008536517473943046,0.0011552045146574206
coarse_v2,poisson,16,0.05,42,0.0625,poisson_coarse_v2_obs16_noise050_seed42,0.0977591723203659,0.7278214477076733,0.19564232230186462,0.09289032965898514,0.0008248090744018555,0.0009143851355761069,0.001226305554747593
coarse_v2,poisson,8,0.05,42,0.03125,poisson_coarse_v2_obs8_noise050_seed42,0.09680859744548798,0.7308857089694957,0.1926276832818985,0.09094825387001038,0.0007191896438598633,0.000884305567678404,0.0011744163841309822
coarse_v2,poisson,256,0.1,42,1.0,poisson_coarse_v2_obs256_noise100_seed42,0.10077904909849167,0.7242523370769165,0.19923894107341766,0.09254123270511627,0.0010055303573608398,0.0008250086266476525,0.0012725525546553468
coarse_v2,poisson,128,0.1,42,0.5,poisson_coarse_v2_obs128_noise100_seed42,0.10132009536027908,0.7248353913407981,0.19778120517730713,0.09255465120077133,0.0010123252868652344,0.0008110333239731275,0.0012388641254615581
coarse_v2,poisson,64,0.1,42,0.25,poisson_coarse_v2_obs64_noise100_seed42,0.10175532847642899,0.7253637174352419,0.19629165530204773,0.09297825396060944,0.0009600520133972168,0.0008156527512010804,0.001218006827643503
coarse_v2,poisson,32,0.1,42,0.125,poisson_coarse_v2_obs32_noise100_seed42,0.09821850806474686,0.7279871962442396,0.19577783346176147,0.0916939452290535,0.0008146166801452637,0.0008442365815517686,0.00119622558773193
coarse_v2,poisson,16,0.1,42,0.0625,poisson_coarse_v2_obs16_noise100_seed42,0.09813985228538513,0.7256385660192833,0.19837458431720734,0.09424567967653275,0.0006928443908691406,0.0009003762448364639,0.0013065094726622524
coarse_v2,poisson,8,0.1,42,0.03125,poisson_coarse_v2_obs8_noise100_seed42,0.09612470865249634,0.7320855871472772,0.19100502133369446,0.0917343944311142,0.0006445646286010742,0.0008827449959198841,0.0011867748541072875
coarse_v2,poisson,256,0.15,42,1.0,poisson_coarse_v2_obs256_noise150_seed42,0.10127262026071548,0.7240577540873091,0.19906190037727356,0.09263403713703156,0.0010133981704711914,0.0008210335595058885,0.0013536723639441025
coarse_v2,poisson,128,0.15,42,0.5,poisson_coarse_v2_obs128_noise150_seed42,0.10214627534151077,0.7245113727860133,0.1975386142730713,0.09255743026733398,0.0010385513305664062,0.0008075123532072964,0.0013216246671030434
coarse_v2,poisson,64,0.15,42,0.25,poisson_coarse_v2_obs64_noise150_seed42,0.10337172448635101,0.7244567244203446,0.19621874392032623,0.09308532625436783,0.000978708267211914,0.0008102660916885745,0.0012808743257690769
coarse_v2,poisson,32,0.15,42,0.125,poisson_coarse_v2_obs32_noise150_seed42,0.09954972565174103,0.7270039103821271,0.19603407382965088,0.09209122508764267,0.0007877349853515625,0.0008344320721537187,0.001278372492856317
coarse_v2,poisson,16,0.15,42,0.0625,poisson_coarse_v2_obs16_noise150_seed42,0.09885033220052719,0.7239259642429539,0.19993597269058228,0.09576351195573807,0.0005713701248168945,0.000904739577936752,0.0014274746784592545
coarse_v2,poisson,8,0.15,42,0.03125,poisson_coarse_v2_obs8_noise150_seed42,0.0957450196146965,0.732970553315606,0.18958954513072968,0.09262772649526596,0.0005801916122436523,0.0008743048069380917,0.0012118361447973531
coarse_v2,poisson,256,0.2,42,1.0,poisson_coarse_v2_obs256_noise200_seed42,0.1018156036734581,0.7238035306938589,0.19892160594463348,0.09275726228952408,0.0010223388671875,0.0008167872163818855,0.0014710779799191065
coarse_v2,poisson,128,0.2,42,0.5,poisson_coarse_v2_obs128_noise200_seed42,0.10302458703517914,0.7241473680103772,0.19729693233966827,0.09257904440164566,0.0010654330253601074,0.0008039581618791998,0.0014421002848924965
coarse_v2,poisson,64,0.2,42,0.25,poisson_coarse_v2_obs64_noise200_seed42,0.1051625907421112,0.7233923245331487,0.19617728888988495,0.09325936436653137,0.0009976029396057129,0.0008052653838640959,0.001375909898837273
coarse_v2,poisson,32,0.2,42,0.125,poisson_coarse_v2_obs32_noise200_seed42,0.10109075903892517,0.7258400132568007,0.19632019102573395,0.09260433167219162,0.0007619261741638184,0.0008249525506937498,0.0014018335311764103
coarse_v2,poisson,16,0.2,42,0.0625,poisson_coarse_v2_obs16_noise200_seed42,0.09982221573591232,0.7226853431163568,0.20040534436702728,0.09738102555274963,0.0004659295082092285,0.0009025331699080646,0.00158975851520082
coarse_v2,poisson,8,0.2,42,0.03125,poisson_coarse_v2_obs8_noise200_seed42,0.0954393669962883,0.733491305306657,0.1887357085943222,0.09341632574796677,0.0005251765251159668,0.0008587301092894632,0.001245367946876289
coarse_v2,burgers,256,0.0,42,1.0,burgers_coarse_v2_obs256_noise000_seed42,0.012994281016290188,0.9381313397673148,0.04234557971358299,0.009688761085271835,0.0002211928367614746,0.00010576321657156897,0.0004426225943287673
coarse_v2,burgers,128,0.0,42,0.5,burgers_coarse_v2_obs128_noise000_seed42,0.010945294052362442,0.9407792514042611,0.03856988251209259,0.008375993929803371,0.00010967254638671875,2.6406171011770535e-05,0.00034950075825753785
