case,label,strategy,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_recal_mean,reliability_raw_recal_std,physics_consistency_recal_mean,training_stability_recal_mean,numerical_accuracy_recal_mean,structural_stability_recal_mean
burgers,transition_obs48_noise005,baseline,5,0.034339559823274614,0.010324298124985833,0.781597979594683,0.13389589083036244,0.7058872470504773,0.6521856147112653,0.8572890382325778,0.9110300183844116
burgers,transition_obs48_noise005,naive_region_aware_v1,5,0.04965838491916656,0.012807738093741186,0.6036973660727307,0.24832313163128775,0.4140510484610035,0.6855845439241316,0.6735306957500307,0.6416231761557569
burgers,transition_obs48_noise005,dim_guided_v2,5,0.034405128285288814,0.018075847138590624,0.7359400746488344,0.284426337306655,0.6575434793767908,0.6583453211495743,0.8130540232670954,0.8148174748018768
burgers,transition_obs48_noise005,non_dominant_guided_v3,5,0.026269671320915223,0.0062827683853560875,0.8776308566653185,0.06869436009987966,0.7379031405382611,0.9148524703601066,0.9243226374696507,0.9334451782932554
burgers,seed_sensitive_obs32_noise010,baseline,5,0.047265300154685976,0.029540840362002746,0.6645811321088315,0.32198497684300054,0.6370220870557479,0.5809676680134114,0.7158150220517675,0.7245197513143993
burgers,seed_sensitive_obs32_noise010,naive_region_aware_v1,5,0.04486939236521721,0.002773555641703837,0.6130575807020048,0.17392997790557654,0.42999650183579957,0.5306072260547919,0.7671785620668289,0.7244480328505987
burgers,seed_sensitive_obs32_noise010,dim_guided_v2,5,0.04466259852051735,0.01030801409106122,0.7393857339984151,0.12277586413724392,0.669854019364579,0.8246476500313769,0.7483765222419048,0.7146647443557997
burgers,seed_sensitive_obs32_noise010,non_dominant_guided_v3,5,0.028007423505187035,0.0028888153580580414,0.8227788325084644,0.10309434076946916,0.6723439617343836,0.7775609465911921,0.9204485886471312,0.9207618330611506
stokes_poiseuille,critical_obs8_noise0125,baseline,5,0.03610282391309738,0.00550142160147824,0.825985853551003,0.08524672272991764,0.8924979940953854,0.8937609638557756,0.6069811188836418,0.9107033373692089
stokes_poiseuille,critical_obs8_noise0125,naive_region_aware_v1,5,0.034724630415439606,0.012050010576872714,0.8173577958122391,0.13445556058274816,0.8284154098922726,0.8520745168368286,0.6681092117217998,0.9208320447980556
stokes_poiseuille,critical_obs8_noise0125,dim_guided_v2,5,0.036401817575097084,0.0057577798813600945,0.7907187389437365,0.06937002231801864,0.9081551190995812,0.889889342147152,0.5910989315764407,0.7737315629517723
stokes_poiseuille,critical_obs8_noise0125,non_dominant_guided_v3,5,0.035475656390190125,0.005632750663932969,0.8020980208888974,0.13909997733694043,0.777811289043628,0.8909210440660399,0.6321000659506989,0.9075596844952226
stokes_poiseuille,near_boundary_obs12_noise020,baseline,5,0.03661385551095009,0.009313153616605034,0.5580775056023028,0.12789791041116927,0.7036360466087764,0.2924176234383332,0.6162938129502047,0.619962539411897
stokes_poiseuille,near_boundary_obs12_noise020,naive_region_aware_v1,5,0.037285803630948064,0.01050209643151798,0.5861413312557097,0.20489069891890607,0.7595620301386412,0.3396430455253834,0.554484666071499,0.690875583287315
stokes_poiseuille,near_boundary_obs12_noise020,dim_guided_v2,5,0.0373299166560173,0.00998327418349719,0.5342270376244871,0.1269544777543721,0.7158745126386948,0.3031252254071648,0.6132049568579766,0.5047034555941122
stokes_poiseuille,near_boundary_obs12_noise020,non_dominant_guided_v3,5,0.03636303693056107,0.009073837315575312,0.5114544576364598,0.1463990150677735,0.5690256028762164,0.3062302990013672,0.6180792319322002,0.5524826967360555
