compare_name,case,label,strategy,seed,num_observation,noise_std,run_name,rel_l2,reliability_raw_recal,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,baseline,41,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_baseline_seed41,0.024579128250479698,0.9199352246344303,0.8524134882092076,0.9370127496169122,0.93852679426136,0.9517878664502419,0.0656203031539917,0.018619537353515625,0.0006784200668334961,0.0002834348779483609,0.0026295255380461616
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,baseline,42,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_baseline_seed42,0.01991483010351658,0.9532399554306475,0.9625422415767586,0.9480914897971838,0.9558716118510683,0.9464544784975795,0.0606631264090538,0.014614749699831009,0.0009499192237854004,0.0001482344957035858,0.0019047190114691518
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,baseline,43,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_baseline_seed43,0.03864536061882973,0.7481973236414293,0.28496307639841145,0.9340412592163552,0.841679646016579,0.9321053129343717,0.08235441148281097,0.024272490292787552,0.001570582389831543,0.0002958791831410277,0.0028617894381588217
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,baseline,44,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_baseline_seed44,0.04687562212347984,0.6722822330484047,0.6632492320898403,0.3999677389826437,0.7414522943914039,0.8844596667297311,0.06636500358581543,0.0215948224067688,0.0030052661895751953,0.003948615149278593,0.003114997426599752
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,baseline,45,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_baseline_seed45,0.041682858020067215,0.6143351612185031,0.7662681969781688,0.041814835943231786,0.8089148446424779,0.8403427673101336,0.0675782635807991,0.02004298008978367,0.00392526388168335,0.007960378894405649,0.002211156930671568
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,naive_region_aware_v1,41,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_naive_region_aware_v1_seed41,0.05550086870789528,0.5927057919463188,0.2774250634799862,0.8684149974586098,0.6002865956820385,0.6246965111646404,0.0753759890794754,0.02584715001285076,0.0067528486251831055,0.001359008599827102,0.00304824775634054
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,naive_region_aware_v1,42,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_naive_region_aware_v1_seed42,0.03966279700398445,0.760640406199347,0.6529807002750978,0.7145755698160116,0.8312446100106332,0.8437607446956453,0.07682494074106216,0.019766777753829956,0.003862142562866211,0.002480640580818626,0.0021864023008532677
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,naive_region_aware_v1,43,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_naive_region_aware_v1_seed43,0.07158509641885757,0.12805337912364848,0.003334418419000392,0.00010237517418370585,0.3101076441529847,0.19866907874842513,0.11596275866031647,0.0323445163667202,0.011429667472839355,0.018049322838731268,0.005985264985107498
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,naive_region_aware_v1,44,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_naive_region_aware_v1_seed44,0.03590264171361923,0.7299160815549207,0.2879134787940734,0.9471762048368935,0.8672058008747225,0.8173688417139932,0.09010093659162521,0.02065620943903923,0.00432354211807251,0.00017769843664676514,0.0019112219645810035
region_aware_compare_v3_u3,burgers,transition_obs48_noise005,naive_region_aware_v1,45,48,0.05,burgers_region_aware_compare_v3_u3_transition_obs48_noise005_naive_region_aware_v1_seed45,0.04564052075147629,0.8071711715394184,0.8486015813368597,0.8976535723349593,0.7588088280297741,0.7236207044560804,0.0717676505446434,0.016670163720846176,0.0056403279304504395,0.0011510035811368624,0.0018736399214135191
