label,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,rel_l2_min,rel_l2_max,reliability_raw_mean,reliability_raw_std,structure_error_mean,structure_error_std,crosses_threshold_count,crosses_threshold_rate
safe_clean_obs64_noise000,64,0.0,10,0.011020163353532553,0.0020287752850829503,0.007934165187180042,0.01572338677942753,0.9483963359021378,0.001324835675225986,0.00012745857238769532,6.452402090866725e-05,0,0.0
edge_obs16_noise005,16,0.05,10,0.017480901256203652,0.006015178009941031,0.009882135316729546,0.03020823933184147,0.9457112332829245,0.0030061843480075315,0.0003203272819519043,0.0003443508628275182,3,0.3
edge_obs32_noise010,32,0.1,10,0.021343058347702025,0.0049893735500975344,0.012609748169779778,0.031115438789129257,0.9441426571227993,0.0024072543844065064,0.00032218694686889646,0.0001484371728756488,6,0.6
transition_obs128_noise020,128,0.2,10,0.021928784158080816,0.006585831566777806,0.013888798654079437,0.03430764377117157,0.9433387562079849,0.002883252782800669,0.0003501474857330322,0.00024288923352754651,5,0.5
failure_obs32_noise020,32,0.2,10,0.038365346379578114,0.013072074088713383,0.015864422544836998,0.06782077997922897,0.9346579977077172,0.00736823865203498,0.0010608017444610595,0.0007828833066964855,9,0.9
transition_obs64_noise030,64,0.3,10,0.0350221861153841,0.013308137079719317,0.015352543443441391,0.0636916235089302,0.9338064288684922,0.007987026989917647,0.0006443738937377929,0.0008890496176989556,9,0.9
failure_obs128_noise030,128,0.3,10,0.030184032581746578,0.010577252005986373,0.01955273188650608,0.05043399706482887,0.9384978587590177,0.0054078303547524876,0.0006629109382629394,0.0005651551546890181,10,1.0
failure_obs16_noise030,16,0.3,10,0.0723335586488247,0.0367363489071736,0.032783735543489456,0.15275700390338898,0.89421894370599,0.04144885924483761,0.0055627524852752686,0.007292869898368442,10,1.0
