method,case,variant,metric,anchors,source_points,target_points
M4_rel2_constrained_R,fisher_kpp,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.954720,0.841227,0.187989","0.906468,0.845303,0.244702"
M1_two_anchor_linear,fisher_kpp,weight_balanced_v2,rel_l2,"safe_obs64_noise000,failure_obs16_noise030","0.016401,0.045924","0.013095,0.075438"
M2_three_anchor_piecewise,fisher_kpp,weight_balanced_v2,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.016401,0.018901,0.045924","0.013095,0.021342,0.075438"
M3_order_constrained_piecewise,fisher_kpp,weight_balanced_v2,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.016401,0.018901,0.045924","0.013095,0.021342,0.075438"
M4_rel2_constrained_R,fisher_kpp,weight_balanced_v2,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.016401,0.018901,0.045924","0.013095,0.021342,0.075438"
M1_two_anchor_linear,fisher_kpp,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,failure_obs16_noise030","0.846964,0.529772","0.906468,0.244702"
M2_three_anchor_piecewise,fisher_kpp,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.846964,0.829928,0.529772","0.906468,0.845303,0.244702"
M3_order_constrained_piecewise,fisher_kpp,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.846964,0.829928,0.529772","0.906468,0.845303,0.244702"
M4_rel2_constrained_R,fisher_kpp,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.846964,0.829928,0.529772","0.906468,0.845303,0.244702"
M1_two_anchor_linear,stokes_poiseuille,baseline,rel_l2,,,
M2_three_anchor_piecewise,stokes_poiseuille,baseline,rel_l2,,,
M3_order_constrained_piecewise,stokes_poiseuille,baseline,rel_l2,,,
M4_rel2_constrained_R,stokes_poiseuille,baseline,rel_l2,,,
M1_two_anchor_linear,stokes_poiseuille,baseline,reliability_raw_recal,,,
M2_three_anchor_piecewise,stokes_poiseuille,baseline,reliability_raw_recal,,,
M3_order_constrained_piecewise,stokes_poiseuille,baseline,reliability_raw_recal,,,
M4_rel2_constrained_R,stokes_poiseuille,baseline,reliability_raw_recal,,,
M1_two_anchor_linear,stokes_poiseuille,capacity_v1,rel_l2,"safe_obs64_noise000,failure_obs8_noise0175","0.013599,0.042684","0.021157,0.046464"
M2_three_anchor_piecewise,stokes_poiseuille,capacity_v1,rel_l2,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.013599,0.034212,0.042684","0.021157,0.038870,0.046464"
M3_order_constrained_piecewise,stokes_poiseuille,capacity_v1,rel_l2,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.013599,0.034212,0.042684","0.021157,0.038870,0.046464"
M4_rel2_constrained_R,stokes_poiseuille,capacity_v1,rel_l2,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.013599,0.034212,0.042684","0.021157,0.038870,0.046464"
M1_two_anchor_linear,stokes_poiseuille,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,failure_obs8_noise0175","0.995810,0.699026","0.967110,0.578701"
M2_three_anchor_piecewise,stokes_poiseuille,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.995810,0.913805,0.699026","0.967110,0.793277,0.578701"
M3_order_constrained_piecewise,stokes_poiseuille,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.995810,0.913805,0.699026","0.967110,0.793277,0.578701"
M4_rel2_constrained_R,stokes_poiseuille,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.995810,0.913805,0.699026","0.967110,0.793277,0.578701"
M1_two_anchor_linear,stokes_poiseuille,weight_balanced_v2,rel_l2,"safe_obs64_noise000,failure_obs8_noise0175","0.022836,0.037473","0.021157,0.046464"
M2_three_anchor_piecewise,stokes_poiseuille,weight_balanced_v2,rel_l2,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.022836,0.033455,0.037473","0.021157,0.038870,0.046464"
M3_order_constrained_piecewise,stokes_poiseuille,weight_balanced_v2,rel_l2,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.022836,0.033455,0.037473","0.021157,0.038870,0.046464"
M4_rel2_constrained_R,stokes_poiseuille,weight_balanced_v2,rel_l2,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.022836,0.033455,0.037473","0.021157,0.038870,0.046464"
M1_two_anchor_linear,stokes_poiseuille,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,failure_obs8_noise0175","0.982982,0.858704","0.967110,0.578701"
M2_three_anchor_piecewise,stokes_poiseuille,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.982982,0.920820,0.858704","0.967110,0.793277,0.578701"
M3_order_constrained_piecewise,stokes_poiseuille,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.982982,0.920820,0.858704","0.967110,0.793277,0.578701"
M4_rel2_constrained_R,stokes_poiseuille,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,critical_obs8_noise0125,failure_obs8_noise0175","0.982982,0.920820,0.858704","0.967110,0.793277,0.578701"
