epoch,loss_total,objective_total,loss_data,loss_physics,loss_boundary,weight_data,weight_physics,weight_boundary
1.0,12.609709739685059,12.609709739685059,0.6700097918510437,0.0021759457886219025,0.5907436013221741,10.0,1.0,10.0
2.0,11.072134017944336,11.072134017944336,0.5839993953704834,0.0018096003914251924,0.523033082485199,10.0,1.0,10.0
3.0,9.666706085205078,9.666706085205078,0.5050464868545532,0.001981416717171669,0.4614260196685791,10.0,1.0,10.0
4.0,8.380414962768555,8.380414962768555,0.43236294388771057,0.0027390297036617994,0.405404657125473,10.0,1.0,10.0
5.0,7.210463047027588,7.210463047027588,0.36573007702827454,0.004067111294716597,0.3549095094203949,10.0,1.0,10.0
6.0,6.159397125244141,6.159397125244141,0.30520498752593994,0.005947815254330635,0.310139924287796,10.0,1.0,10.0
7.0,5.2342376708984375,5.2342376708984375,0.25108376145362854,0.008363467641174793,0.27150362730026245,10.0,1.0,10.0
8.0,4.445728302001953,4.445728302001953,0.20388533174991608,0.011309598572552204,0.23955649137496948,10.0,1.0,10.0
9.0,3.806103467941284,3.806103467941284,0.1642497181892395,0.0147959403693676,0.2148810476064682,10.0,1.0,10.0
10.0,3.324876070022583,3.324876070022583,0.13273490965366364,0.018842224031686783,0.1978684812784195,10.0,1.0,10.0
11.0,3.0027732849121094,3.0027732849121094,0.10952355712652206,0.02348073571920395,0.18840569257736206,10.0,1.0,10.0
12.0,2.8248486518859863,2.8248486518859863,0.09407424926757812,0.028761999681591988,0.18553441762924194,10.0,1.0,10.0
13.0,2.7570302486419678,2.7570302486419678,0.08492500334978104,0.03477286919951439,0.18730074167251587,10.0,1.0,10.0
14.0,2.7513418197631836,2.7513418197631836,0.07991478592157364,0.04167178273200989,0.19105221331119537,10.0,1.0,10.0
15.0,2.7573604583740234,2.7573604583740234,0.07670316100120544,0.04970113933086395,0.19406278431415558,10.0,1.0,10.0
16.0,2.7347259521484375,2.7347259521484375,0.07334944605827332,0.059170473366975784,0.194206103682518,10.0,1.0,10.0
17.0,2.661682367324829,2.661682367324829,0.06872350722551346,0.0704227015376091,0.19040246307849884,10.0,1.0,10.0
18.0,2.5362865924835205,2.5362865924835205,0.06258784979581833,0.08380221575498581,0.18266059458255768,10.0,1.0,10.0
19.0,2.3714187145233154,2.3714187145233154,0.05539179965853691,0.09964663535356522,0.1717854142189026,10.0,1.0,10.0
20.0,2.1878464221954346,2.1878464221954346,0.04796352609992027,0.11830893903970718,0.15899021923542023,10.0,1.0,10.0
21.0,2.0079145431518555,2.0079145431518555,0.04121856018900871,0.1401752382516861,0.14555536210536957,10.0,1.0,10.0
22.0,1.8501501083374023,1.8501501083374023,0.03589964285492897,0.165639266371727,0.13255144655704498,10.0,1.0,10.0
23.0,1.7256417274475098,1.7256417274475098,0.03239620104432106,0.19504337012767792,0.12066364288330078,10.0,1.0,10.0
24.0,1.6369571685791016,1.6369571685791016,0.03068728931248188,0.2286028116941452,0.11014813929796219,10.0,1.0,10.0
25.0,1.5795120000839233,1.5795120000839233,0.030408620834350586,0.266324907541275,0.10091008991003036,10.0,1.0,10.0
26.0,1.5446419715881348,1.5446419715881348,0.03100886382162571,0.30793455243110657,0.09266188740730286,10.0,1.0,10.0
27.0,1.5231690406799316,1.5231690406799316,0.03193378821015358,0.3528159558773041,0.08510152250528336,10.0,1.0,10.0
28.0,1.508188247680664,1.508188247680664,0.03277146816253662,0.39997148513793945,0.07805021107196808,10.0,1.0,10.0
29.0,1.4962692260742188,1.4962692260742188,0.0333150215446949,0.44799113273620605,0.07151279598474503,10.0,1.0,10.0
30.0,1.4869680404663086,1.4869680404663086,0.03353685140609741,0.4950386583805084,0.06565609574317932,10.0,1.0,10.0
31.0,1.4811656475067139,1.4811656475067139,0.033501189202070236,0.5388908982276917,0.06072628125548363,10.0,1.0,10.0
32.0,1.4791195392608643,1.4791195392608643,0.03326108679175377,0.5770913362503052,0.05694173276424408,10.0,1.0,10.0
33.0,1.479205846786499,1.479205846786499,0.03279012069106102,0.6072645783424377,0.05440400540828705,10.0,1.0,10.0
34.0,1.4780032634735107,1.4780032634735107,0.03198174387216568,0.6275399327278137,0.05306459963321686,10.0,1.0,10.0
35.0,1.4716166257858276,1.4716166257858276,0.030710337683558464,0.6369300484657288,0.05275832489132881,10.0,1.0,10.0
36.0,1.457413673400879,1.457413673400879,0.028913147747516632,0.6354990601539612,0.05327831208705902,10.0,1.0,10.0
37.0,1.4352104663848877,1.4352104663848877,0.02664625085890293,0.6242785453796387,0.05444693565368652,10.0,1.0,10.0
