probe_name,case,label,num_observation,noise_std,seed,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,threshold_rel_l2,crosses_threshold,reliability_raw_recal,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,dominant_dimension
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,41,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed41,0.029400248080492,0.9142621186509524,0.064217709004879,0.019195057451725,0.0015060305595397,0.0018112632483753,0.0018635107943867,0.0266884599812328,1,0.8771933454486721,0.833367858610121,0.8276042214548173,0.9140514877218373,0.9337498140079129,training_stability
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,42,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed42,0.0173284672200679,0.9230001810953764,0.0627797469496727,0.0151767525821924,0.0002889037132263,0.0001631655542015,0.0010115885219787,0.0266884599812328,0,0.9564063355487216,0.9494185495383347,0.9542741324377563,0.9633672072873471,0.9585654529314479,physics_consistency
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,43,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed43,0.0262305960059165,0.904266386485128,0.0789592862129211,0.0222741086035966,0.0011461973190307,0.0004844019220544,0.0018442319204719,0.0266884599812328,0,0.8184010407069154,0.46339969016310706,0.9369666417598328,0.9309808170115839,0.9422570138931382,physics_consistency
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,44,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed44,0.0330453105270862,0.9108414689263415,0.0605900101363658,0.0197604466229677,0.0018788576126098,0.0032921279078387,0.002023726656395,0.0266884599812328,1,0.7930610312479898,0.8149762170520669,0.5435469647087268,0.8900026551433498,0.9237182880878161,training_stability
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,45,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed45,0.0188092067837715,0.9273765308176852,0.0568512976169586,0.0135850999504327,0.0009099245071411,0.0001093006059209,0.0009930186920028,0.0266884599812328,0,0.9601935529070601,0.9783298942630146,0.9559306096695903,0.9592399649842824,0.9472737427113529,structural_stability
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,46,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed46,0.0253953654319047,0.9167531525627092,0.0674647614359855,0.0168330818414688,0.0016692876815795,0.0002305708479982,0.0017488038262341,0.0266884599812328,0,0.9264658431131496,0.894537547182994,0.9469096485698587,0.9348987403685732,0.9295174363311726,physics_consistency
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,47,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed47,0.0209522061049938,0.9311560021209,0.0502019375562667,0.0144117791205644,0.0003978013992309,7.228054991586337e-05,0.0010321643940943,0.0266884599812328,0,0.9612352227211983,0.9790163296587502,0.9566853366822166,0.9524710082098987,0.9567682163339281,numerical_accuracy
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,48,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed48,0.0512926653027534,0.840741135891597,0.0842269882559776,0.0265571642667055,0.0048673152923583,0.0087269729707855,0.0058222378196418,0.0266884599812328,1,0.4104610544256661,0.16183198488358874,0.024929890659347392,0.6731053213251673,0.781977020834561,training_stability
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,49,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed49,0.0179551783949136,0.9261965736979162,0.0585630722343921,0.0144648756831884,0.000350534915924,0.0001361794205995,0.0010626401644563,0.0266884599812328,0,0.960770679087811,0.9691272694946194,0.9547263166968133,0.9616718667668679,0.9575572633929433,training_stability
burgers_boundary_keypoints_v3_10seed,burgers,safe_clean_obs128_noise000,128,0.0,50,burgers_burgers_boundary_keypoints_v3_10seed_obs128_noise000_seed50,0.0373868495225906,0.9126511333842164,0.0675775334239006,0.0205801073461771,0.0028762817382812,0.0001841291453504,0.0020253739923122,0.0266884599812328,1,0.855273609852109,0.7315258392683515,0.9459944445034983,0.8538552377540598,0.889718917882526,physics_consistency
burgers_boundary_keypoints_v3_10seed,burgers,safe_edge_obs64_noise005,64,0.05,41,burgers_burgers_boundary_keypoints_v3_10seed_obs64_noise050_seed41,0.0283857509493827,0.9164170417262236,0.0664348602294921,0.0206496212631464,0.0011206269264221,1.6177965922197862e-05,0.0028684602336142,0.0266884599812328,1,0.8846760366984979,0.7340267001372145,0.9420130442156425,0.9198435419498299,0.9428208604913045,physics_consistency
burgers_boundary_keypoints_v3_10seed,burgers,safe_edge_obs64_noise005,64,0.05,42,burgers_burgers_boundary_keypoints_v3_10seed_obs64_noise050_seed42,0.0201235525310039,0.923083759085068,0.0617731139063835,0.0146148931235075,0.0010572671890258,0.0002165250809333,0.0017685289318926,0.0266884599812328,0,0.9513739846285557,0.9589056071174806,0.947187959078684,0.9552065923707992,0.9441957799472588,structural_stability
