analysis_type,variant,feature,transition_mean,instability_mean,mean_gap,range_overlap_ratio,best_threshold,best_accuracy,instability_positive_high,subtype,distance_to_reliable,distance_to_unreliable,closer_to
feature_threshold,baseline,transferred_R,0.7727036130902322,0.5252905335603831,-0.24741307952984903,0.020890782123447454,0.6856215357948636,0.8333333333333334,False,,,,
feature_threshold,baseline,transferred_rel_l2,0.035737967739502566,0.05665655558307964,0.02091858784357707,0.19667595217254716,0.027938025072216946,0.6666666666666666,True,,,,
feature_threshold,baseline,structural_stability_recal,0.8823119857580197,0.5947809800541258,-0.2875310057038939,0.10195110084064424,0.907857082942022,0.8333333333333334,False,,,,
feature_threshold,baseline,training_stability_recal,0.7602862508405511,0.3798464528467849,-0.3804397979937662,0.3953102455871256,0.3633157882321224,0.8333333333333334,False,,,,
centroid_adjacency,baseline,all_features_zscore,,,,,,,,critical_transition,0.692554287819509,3.3997136679379727,reliable
centroid_adjacency,baseline,all_features_zscore,,,,,,,,critical_instability,2.2977760839104415,1.902810468612827,unreliable
feature_threshold,capacity_v1,transferred_R,0.8884523071438218,0.8768479543037148,-0.01160435284010708,0.6366270893266319,0.9766673870136542,0.8333333333333334,False,,,,
feature_threshold,capacity_v1,transferred_rel_l2,0.026439622964177335,0.04332681205534147,0.016887189091164132,0.09942308554385827,0.028752094935005752,0.8333333333333334,True,,,,
feature_threshold,capacity_v1,structural_stability_recal,0.9336605578893579,0.813653756115694,-0.12000680177366385,0.0,0.8963791101539957,1.0,False,,,,
feature_threshold,capacity_v1,training_stability_recal,0.6170625467646546,0.8301542028216011,0.21309165605694658,0.2607168317190685,0.8919903107919385,0.8333333333333334,True,,,,
centroid_adjacency,capacity_v1,all_features_zscore,,,,,,,,critical_transition,0.56139481672445,3.82564577414605,reliable
centroid_adjacency,capacity_v1,all_features_zscore,,,,,,,,critical_instability,0.8479362346652947,3.5952091620498208,reliable
feature_threshold,weight_balanced_v2,transferred_R,0.8743721733450404,0.394159529834555,-0.48021264351048537,0.1322089689062942,0.5251348102986854,0.8333333333333334,False,,,,
feature_threshold,weight_balanced_v2,transferred_rel_l2,0.029312693875944734,0.13169737668468423,0.1023846828087395,0.0,0.03774524805972815,1.0,True,,,,
feature_threshold,weight_balanced_v2,structural_stability_recal,0.9393586085855786,0.8287166040556113,-0.11064200452996731,0.0,0.9248894778460122,1.0,False,,,,
feature_threshold,weight_balanced_v2,training_stability_recal,0.9186658948786902,0.7544388312500935,-0.16422706362859674,0.08627930771103445,0.6449403406345473,0.6666666666666666,False,,,,
centroid_adjacency,weight_balanced_v2,all_features_zscore,,,,,,,,critical_transition,0.23383291815989324,2.525323000475985,reliable
centroid_adjacency,weight_balanced_v2,all_features_zscore,,,,,,,,critical_instability,2.7105249516813044,1.072289244088674,unreliable
feature_threshold,all_variants,transferred_R,0.8451760311930314,0.598766005899551,-0.24641002529348044,0.34005633445982275,0.6159495936924908,0.7222222222222222,False,,,,
feature_threshold,all_variants,transferred_rel_l2,0.030496761526541547,0.07722691477436844,0.046730153247826894,0.07014565013853685,0.029756619348923347,0.7777777777777778,True,,,,
feature_threshold,all_variants,structural_stability_recal,0.9184437174109854,0.745717113408477,-0.1727266040025084,0.12753450135546407,0.907857082942022,0.8888888888888888,False,,,,
feature_threshold,all_variants,training_stability_recal,0.7653382308279653,0.6548131623061599,-0.11052506852180533,0.8935017339493824,0.46284320436930126,0.6111111111111112,False,,,,
centroid_adjacency,all_variants,all_features_zscore,,,,,,,,critical_transition,0.22680105526870092,2.9876292915102365,reliable
centroid_adjacency,all_variants,all_features_zscore,,,,,,,,critical_instability,1.4639063268469386,1.7418930150478762,reliable
