case,full_vs_rel_l2_only_jaccard,full_vs_physics_only_jaccard
poisson,0.3333333333333333,0.09090909090909091
burgers,0.7777777777777778,0.8823529411764706
stokes_poiseuille,0.7142857142857143,0.8461538461538461
fisher_kpp,1.0,1.0
