case,tag,num_observation,noise_std,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error
poisson,s4_n80,4,0.8,0.1259283572435379,0.6592953784328748,0.38860100507736206,0.12409621477127075,0.0007295608520507812
poisson,s2_n120,2,1.2,0.14297884702682495,0.651185186393665,0.339073121547699,0.10975324362516403,0.0040351152420043945
burgers,s48_n10,48,0.1,0.03554311394691467,0.9033413322917873,0.06874402612447739,0.01970316842198372,0.002010166645050049
burgers,s40_n10,40,0.1,0.03138544782996178,0.9186714923970103,0.06387079507112503,0.015463538467884064,0.002202749252319336
stokes_poiseuille,s12_n20,12,0.2,0.03776315227150917,0.845744089415079,0.12088293582201004,0.03601229935884476,8.45193862915039e-05
stokes_poiseuille,s8_n15,8,0.15,0.04459657147526741,0.8435661744240701,0.1216135025024414,0.035999756306409836,5.9723854064941406e-05
