label,run_name,case,activation,hidden_layers,epochs,num_observation,num_collocation,num_boundary,rel_l2,physics_rms,boundary_rms,structure_error,reliability_raw
tanh_minimal_mode2,helmholtz_tanh_minimal_mode2,helmholtz,tanh,64-64-64,1000,512,4096,512,1.0605677366256714,8.991610527038574,0.5326654314994812,1.3357741832733154,6.52668947498612e-07
sin_minimal_mode2,helmholtz_sin_minimal_mode2,helmholtz,sin,64-64-64,1000,512,4096,512,1.0153536796569824,9.607705116271973,0.51325523853302,0.05320650339126587,0.46044183324790844
sin_wider_mode2,helmholtz_sin_wider_mode2,helmholtz,sin,96-96-96,1200,512,4096,512,1.0154428482055664,9.611373901367188,0.5139918923377991,0.037789762020111084,0.3364190728230647
sin_mode3,helmholtz_sin_mode3,helmholtz,sin,96-96-96,1200,512,4096,512,1.0000240802764893,2.4989511966705322,0.5066690444946289,1.0596784353256226,0.23923767531860368
